case,sha256,compute_ops,weak_components,largest_component_fraction,vector_share,compute_cycles,critical_path_cycles,shared_input_tensors
case_001,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,600,200,0.005,0.11550151975683891,263200,1316,201
case_002,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,1798,1,1.0,0.13020788031660432,275928,2976,199
case_003,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,13455,10,0.9806020066889632,0.42565063790853436,763981,28285,93
case_004,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,777,111,0.009009009009009009,0.11059907834101383,433566,2748,114
case_005,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,4113,1,1.0,0.4881742140178829,124812,6894,71
case_006,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,678,27,0.20058997050147492,0.7871321013004792,87660,2836,72
case_007,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,3885,555,0.0018018018018018018,0.20540540540540542,1232100,1632,558
case_008,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,864,108,0.009259259259259259,0.4867021276595745,487296,4512,0
case_009,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,5671,25,0.8418268383001234,0.6480729346698928,185152,9965,213
case_010,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,667,36,0.19940029985007496,0.5543723652927897,100106,3146,58
case_011,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,688,16,0.0625,0.12160926546784517,209984,2120,176
case_012,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,972,50,0.10082304526748971,0.47540886902918494,67809,2506,108
case_013,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,1968,246,0.0040650406504065045,0.14102564102564102,307008,400,4
case_014,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,35705,1340,0.0034729029547682397,0.0874825953802826,18877172,31968,1615
case_015,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,1013,46,0.14313919052319843,0.5165846384055132,196477,7913,101
case_016,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,17995,1,1.0,1.0,7714975,655140,12
case_017,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,1373,60,0.11798980335032774,0.37795975298365597,177802,5980,178
case_018,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,2727,126,0.021635496883021636,0.10399049491213974,1084051,3539,242
case_019,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,647,31,0.26275115919629055,0.4540084768689692,88712,12234,39
case_020,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,7008,288,0.003995433789954338,1.0,532608,1824,288
case_021,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,3920,80,0.0125,0.11230388109000826,6975360,5544,450
case_022,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,1356,32,0.13495575221238937,0.9234433422683581,58571,1986,113
case_023,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,1011,43,0.12561819980217606,0.5232206526154263,132942,4218,71
case_024,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,5959,1,1.0,1.0,2554795,216948,12
case_025,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,18662,2666,0.00037509377344336085,0.20540540540540542,5918520,1632,2669
case_026,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,636,31,0.3113207547169811,0.6332140300644238,111760,4319,58
case_027,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,1424,16,0.0625,0.11414619258354952,2516352,21048,360
case_028,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,19584,153,0.006535947712418301,0.04824246771879483,40950144,246816,54
case_029,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,861,21,0.047619047619047616,1.0,37485,407,147
case_030,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,10070,486,0.005660377358490566,0.12779874482534173,3183302,1494,596
case_031,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,6135,107,0.34995925020374896,0.14209102182746958,1555517,13057,497
case_032,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,827,25,0.22853688029020555,0.7700758862838374,44145,1146,80
