case,variant,cores,status,makespan_cycles,original_copy_bytes,scheduled_copy_bytes,added_copy_bytes,cache_hit_rate,cache_hit_bytes,wall_seconds,error
case_086,singlecore,1,ok,118403,338022,338022,0,,,5.845,
case_086,q1,2,ok,118403,338022,338022,0,,,5.694,
case_086,q1,3,ok,118403,338022,338022,0,,,5.838,
case_086,q1,4,ok,118403,338022,338022,0,,,5.743,
case_086,q1,5,ok,118403,338022,338022,0,,,5.727,
case_086,q2,1,ok,118403,338022,338022,0,,,1.444,
case_086,q2,2,ok,118403,338022,338022,0,,,1.457,
case_086,q2,3,ok,118403,338022,338022,0,,,1.426,
case_086,q2,4,ok,118403,338022,338022,0,,,1.388,
case_086,q2,5,ok,118403,338022,338022,0,,,1.304,
case_086,q3,1,ok,118403,338022,338022,0,0.0,0,1.327,
case_086,q3,2,ok,118403,338022,338022,0,0.0,0,1.421,
case_086,q3,3,ok,118403,338022,338022,0,0.0,0,1.318,
case_086,q3,4,ok,118403,338022,338022,0,0.0,0,1.474,
case_086,q3,5,ok,118403,338022,338022,0,0.0,0,1.376,
case_087,singlecore,1,ok,3974071,5919098,13821818,7902720,,,350.927,
case_087,q1,2,ok,1985234,5919098,15918458,9999360,,,441.204,
case_087,q1,3,ok,1385253,5919098,16641914,10722816,,,444.363,
case_087,q1,4,ok,1069661,5919098,17715578,11796480,,,344.237,
case_087,q1,5,ok,888504,5919098,17692538,11773440,,,304.245,
case_087,q2,1,ok,3974071,5919098,13821818,7902720,,,27.504,
case_087,q2,2,ok,1985234,5919098,15918458,9999360,,,17.913,
case_087,q2,3,ok,1385253,5919098,16641914,10722816,,,15.584,
case_087,q2,4,ok,1069661,5919098,17715578,11796480,,,15.203,
case_087,q2,5,ok,888504,5919098,17692538,11773440,,,14.865,
case_087,q3,1,ok,3969779,5919098,13821818,7902720,0.18336776784760794,2534400,26.884,
case_087,q3,2,ok,1984074,5919098,15918458,9999360,0.26835055864904006,4271616,18.406,
case_087,q3,3,ok,1383483,5919098,16641914,10722816,0.22511816843433585,3746304,16.148,
case_087,q3,4,ok,1069661,5919098,17715578,11796480,0.31265959490976203,5538816,15.942,
case_087,q3,5,ok,888460,5919098,17692538,11773440,0.27790535494777224,4916736,14.723,
case_088,singlecore,1,ok,243623,1829798,1829798,0,,,2.893,
case_088,q1,2,ok,202290,1829798,1829798,0,,,2.535,
case_088,q1,3,ok,202428,1829798,1903526,73728,,,2.73,
case_088,q1,4,ok,202670,1829798,1977254,147456,,,2.724,
case_088,q1,5,ok,202791,1829798,2050982,221184,,,2.673,
case_088,q2,1,ok,243623,1829798,1829798,0,,,0.876,
case_088,q2,2,ok,202290,1829798,1829798,0,,,0.747,
case_088,q2,3,ok,202428,1829798,1903526,73728,,,0.843,
case_088,q2,4,ok,202670,1829798,1977254,147456,,,0.817,
case_088,q2,5,ok,202791,1829798,2050982,221184,,,0.818,
case_088,q3,1,ok,243623,1829798,1829798,0,0.0,0,0.973,
case_088,q3,2,ok,202290,1829798,1829798,0,0.0,0,0.859,
case_088,q3,3,ok,202428,1829798,1903526,73728,0.012911238388238669,24576,0.822,
case_088,q3,4,ok,202670,1829798,1977254,147456,0.03728935972639903,73728,0.808,
case_088,q3,5,ok,202791,1829798,2050982,221184,0.0,0,0.836,
case_089,singlecore,1,ok,693092,566400,566400,0,,,6.686,
case_089,q1,2,ok,346832,566400,805120,238720,,,4.093,
case_089,q1,3,ok,243614,566400,1043840,477440,,,2.885,
case_089,q1,4,ok,178160,566400,1282560,716160,,,2.385,
case_089,q1,5,ok,147432,566400,1521280,954880,,,2.084,
case_089,q2,1,ok,693092,566400,566400,0,,,1.758,
case_089,q2,2,ok,346832,566400,805120,238720,,,1.377,
case_089,q2,3,ok,243614,566400,1043840,477440,,,1.115,
case_089,q2,4,ok,178160,566400,1282560,716160,,,1.033,
case_089,q2,5,ok,147432,566400,1521280,954880,,,1.032,
case_089,q3,1,ok,693092,566400,566400,0,0.0,0,1.565,
case_089,q3,2,ok,346832,566400,805120,238720,0.0,0,1.257,
case_089,q3,3,ok,243614,566400,1043840,477440,0.0,0,1.146,
case_089,q3,4,ok,178160,566400,1282560,716160,0.0,0,1.13,
case_089,q3,5,ok,147432,566400,1521280,954880,0.0,0,1.166,
case_090,singlecore,1,ok,1178363,2228352,23461944,21233592,,,1.464,
case_090,q1,2,ok,769224,2228352,23726832,21498480,,,1.007,
case_090,q1,3,ok,657430,2228352,23666856,21438504,,,0.654,
case_090,q1,4,ok,608275,2228352,23620488,21392136,,,0.622,
case_090,q1,5,ok,542638,2228352,23953056,21724704,,,0.537,
case_090,q2,1,ok,1178363,2228352,23461944,21233592,,,0.478,
case_090,q2,2,ok,769224,2228352,23726832,21498480,,,0.44,
case_090,q2,3,ok,657430,2228352,23666856,21438504,,,0.407,
case_090,q2,4,ok,608275,2228352,23620488,21392136,,,0.364,
case_090,q2,5,ok,542638,2228352,23953056,21724704,,,0.325,
case_090,q3,1,ok,1178363,2228352,23461944,21233592,0.0,0,0.507,
case_090,q3,2,ok,763401,2228352,23726832,21498480,0.020732303907339482,490248,0.457,
case_090,q3,3,ok,653823,2228352,23666856,21438504,0.003916644212731127,92448,0.416,
case_090,q3,4,ok,604430,2228352,23620488,21392136,0.004547569285022748,107208,0.43,
