returncode,process_wall_s,case,cores,already_completed,makespan_cycles,initial_cycles,singlecore_cycles,speedup,component_baseline_cycles,baseline_speedup,selected,evaluations,added_copy_bytes
0,0.7082278999951086,case_004,5,True,88341,94979,392357,4.441391879195391,88341,4.441391879195391,component_baseline,2,442368
0,1.1749340999958804,case_013,5,True,54363,54363,263949,4.855305998565201,54363,4.855305998565201,component_baseline,1,32768
0,18.357714900004794,case_016,5,True,7357373,7378973,7715523,1.0486790597676643,7715523,1.0,greedy_schedule,2,19269072
0,6.577057999995304,case_021,5,True,1250168,1250168,6567937,5.253643510312214,1250168,5.253643510312214,component_baseline,1,11431936
0,2.0091200999959256,case_027,5,True,558753,681447,2363952,4.230763861670542,558753,4.230763861670542,component_baseline,3,5529600
0,1.408825300000899,case_036,5,True,187182,187182,931510,4.976493466252097,187182,4.976493466252097,component_baseline,1,4608
0,0.9695700000011129,case_057,5,True,16538,16538,59726,3.6114403192647235,16538,3.6114403192647235,component_baseline,4,27936
0,124.351410700001,case_062,5,True,1139999,1140264,2854809,2.504220617737384,2854809,1.0,greedy_coarsen,3,54117888
0,4.069342199996754,case_082,5,True,206645,207263,721041,3.4892738754869463,721041,1.0,greedy_schedule,3,2687818
0,26.075449600000866,case_084,5,True,503472,503472,2507412,4.98024120507198,503472,4.98024120507198,component_baseline,2,0
