case,cores,component_cycles,component_added_copy_bytes
case_001,5,47502,4608
case_002,5,261945,0
case_003,5,539607,393216
case_004,5,88341,442368
case_005,5,95618,0
case_006,5,31733,63616
case_007,5,203834,110592
case_008,5,100603,0
case_009,5,92225,49152
case_010,5,31015,145152
case_011,5,47287,1622016
case_012,5,14300,49536
case_013,5,54363,32768
case_014,5,3694640,87765000
case_015,5,43437,321536
case_016,5,7715523,0
case_017,5,35496,340992
case_018,5,203865,5693440
case_019,5,24169,73728
case_020,5,107650,0
case_021,5,1250168,11431936
case_022,5,11828,20736
case_023,5,25191,280992
case_024,5,2555343,0
case_025,5,975282,110592
case_026,5,44114,211680
case_027,5,558753,5529600
case_028,5,11491035,277818912
case_029,5,9383,0
case_030,5,561192,11644416
case_031,5,308135,8217600
case_032,5,10415,12360
case_033,5,376794,8297088
case_034,5,178096,3536896
case_035,5,95460,0
case_036,5,187182,4608
case_037,5,43800,1925120
case_038,5,280919,9070080
case_039,5,431161,20480000
case_040,5,110337,66048
case_041,5,1213259,38200320
case_042,5,362266,10073088
case_043,5,269612,1155080
case_044,5,132892,6196032
case_045,5,26164,0
case_046,5,131039,5013664
case_047,5,326508,0
case_048,5,222220,0
case_049,5,160260,0
case_050,5,108160,13824
case_051,5,607628,0
case_052,5,51670,328704
case_053,5,492699,6918912
case_054,5,518133,196608
case_055,5,26781,198656
case_056,5,265764,0
case_057,5,16538,27936
case_058,5,1004819,32104448
case_059,5,150782,4325376
case_060,5,183272,4290944
case_061,5,22283,83712
case_062,5,2854809,0
case_063,5,1070397,0
case_064,5,19116,0
case_065,5,12156,55584
case_066,5,250449,29280
case_067,5,15931687,262750080
case_068,5,304058,1944
case_069,5,25144,0
case_070,5,27664,462848
case_071,5,18919,0
case_072,5,4863110,121488048
case_073,5,3517515,139772800
case_074,5,347042,9035776
case_075,5,1441809,0
case_076,5,1238120,37194752
case_077,5,121081,172032
case_078,5,663941,13620024
case_079,5,6075976,47677440
case_080,5,113455,4571136
case_081,5,30943,0
case_082,5,721041,0
case_083,5,442480,15058048
case_084,5,503472,0
case_085,5,3187899,0
case_086,5,118403,0
case_087,5,888504,11773440
case_088,5,202791,221184
case_089,5,147432,954880
case_090,5,542638,21724704
case_091,5,1874503,71279104
case_092,5,1661234,66980256
case_093,5,15876,32768
case_094,5,25530,259200
case_095,5,420852,0
case_096,5,27053,134784
case_097,5,2102348,21311488
case_098,5,90168,0
case_099,5,337221,10698752
case_100,5,58085,211968
