case,cores,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_added_copy_bytes,plan_sha256,seconds,error
case_001,2,ok,116868,1152,1640704,0,1c6cf2db91449c12c3f74d32318e7eb99bc2b42e8e9d12be444e905170f9c7b9,0.12784380000084639,
case_001,3,ok,78545,2304,1641856,0,615c13f2ec631ff23820de604f6b709a649e3e6e7d9e7f88769397c5311404a2,0.12895949999801815,
case_001,4,ok,58984,3456,1643008,0,24e0f017ce3f83737422c6595a29d122fe67b93a2fb3278d0dbecde6ce1ecadc,0.11894509999547154,
case_001,5,ok,47502,4608,1644160,0,5bc2ca2ae4423fdc659215ac6f3a876f85f88764538eaf3752d0a4901f62a878,0.12116930000775028,
case_002,2,ok,132845,56832,1281024,0,c714f82484bd458e640f220b26aed616f8c005e2c9fb229fdda33491efd1f83d,0.49733410000044387,
case_002,3,ok,89748,56832,1281024,0,dc2a581b8dc9c0f98ceb59ca71a183cbb6b0321f1f24c4e102b5086cbaa8c2fd,0.38121350000437815,
case_002,4,ok,68731,56832,1281024,0,0fb5c9a3448ad39bee6055cc1feef407596d1d9dcf2ae3c333589a17dfdb4ba7,0.3440061000001151,
case_002,5,ok,57312,1714176,2938368,0,a75b808b7bb6db441e3b212d675e8390b28e9fa23988a579ef0385a1fa9818dc,0.34362279999186285,
case_003,2,ok,336799,1965240,3249504,0,de3ecdcf805dd67efa0911a62fadb623508d5109bec2a06928d8eb62ca969056,4.6426325000065845,
case_003,3,ok,241876,3010640,4294904,0,30d64de960a1e250a49a197a17aa74c677206b0d82db929bae5fe1a1db7db7b5,3.9823824999912176,
case_003,4,ok,209284,3196140,4480404,0,5793acea7944e43605adbc7e8a514be94ee81a9a12f10afab95290d2fe422129,3.2003644999931566,
case_003,5,ok,179247,4404992,5689256,0,2627ed1a3ddcad9cf5d26906cbbcb7c5092bd0ee8ed233f6dc35c67e58b6db4c,3.2116389000002528,
case_004,2,ok,202270,3520512,4313088,0,7a343ebc81c89832b2d06f774468ac100812feb8fcb182fa2cc232ab79b1adce,0.2359749000024749,
case_004,3,ok,134043,221184,1013760,0,c6380c9f79c67c63fc0afb1aa0442d26baa646556142c3690856816a511bf384,0.11453469999833032,
case_004,4,ok,104188,331776,1124352,0,5f0ad1404f00cbab6a0ab7b4563ea12b3489768efb878552d04665f147b59bf5,0.10838579999108333,
case_004,5,ok,94979,3852288,4644864,0,88ad374dd53859596b22f2601eb765df55f6283c2a438968eb5af7e6813e9d2d,0.18577430000004824,
case_005,2,ok,59346,712540,1045954,0,4e9336b360b856257e431354aa47db7ee74e211c870f49321969481738f67914,0.8931617000052938,
case_005,3,ok,48016,1050090,1383504,0,c67525db8b88453cf54fe5809b4bd7009a94d7ae23dc92d84cbc578742631860,0.8458673999994062,
case_005,4,ok,42690,1122676,1456090,0,ec8388db51c16be651d2047e5cdbf0f1f60582c4dda292237230002e3534c281,0.6962315999990096,
case_005,5,ok,39995,1323714,1657128,0,dc5e0672fd57bd0f50676f83e7d5374716511586e5da307de263e982307dc3ff,0.8453881000023102,
case_006,2,ok,46100,29576,572924,12296,0907767061f23cafcb97280a4e0abfe609f3644c996104e484a64674312c4c21,0.14428519998909906,
case_006,3,ok,33964,797604,1340952,0,13cfbdef47d0f94ce78074a6b053656277427612514d349c72436b46bd740101,0.1512157999968622,
case_006,4,ok,29485,864038,1407386,0,0c2ced26814e342bbaa181780209d0d35b6a2189f758edd492966fd89c01479e,0.141871199986781,
case_006,5,ok,27152,858920,1402268,0,fb6001b5beed76b978d41efb6fa07776b6c7bb463d871fa8b81a5fef0a51f767,0.153509199997643,
case_007,2,ok,507494,27648,1760256,0,52aa1f97cf1fa06190d3174d72460f81c27f12823ae206d812d0bffcfe849811,2.4458780999993905,
case_007,3,ok,338094,55296,1787904,0,d20378d444bc7d56eeb2e595c0b1302ce6cef4879fa599bb2bf2a04ec28c1d7a,1.6264472999901045,
case_007,4,ok,254398,82944,1815552,0,589758759dabf6d3e6074eb11040ff599ab83dd833132e3d60ce78b9901b3e96,1.3365925000107381,
case_007,5,ok,203834,110592,1843200,0,8de95c02ab9d47e7a9c4c97ef5f10fd6c26f1c90b7978fa9fe4744b7332ef71f,1.1252510999911465,
case_008,2,ok,244266,0,2654424,0,af37836db1a0d98ee189c59118c62497aa444e874523f14049b6e466a3c44705,0.2756121999991592,
case_008,3,ok,163359,0,2654424,0,012571a3b509f712b79c71d362fc65d3a60489be5cb7963d5911b8363ef19fc1,0.21774760000698734,
case_008,4,ok,123060,0,2654424,0,70d7ed600c2b1eef7945bbb9910043e313ac6bc397d5771f91b5848fc6725930,0.20612380000238772,
case_008,5,ok,100603,0,2654424,0,07a18d1888b2516c41957b36c86a05ecdc8ce35652d4130f728c3fafd007ff54,0.19264290000137407,
case_009,2,ok,96252,691132,1186464,0,98e512094c64e8c1147ccd94bae66baa05036b02cd06629e3e16af8d8db393e6,1.3492132000101265,
case_009,3,ok,71406,647448,1142780,0,89b167b440f7dc36885ee36f8f88490b0ac2c618656ae34485721e7ac6d1ad29,1.31000800000038,
case_009,4,ok,57977,702550,1197882,0,412ab551f3d3223338e1faf1e903a4dd9e9d1088f8734ec59094681b13289c16,1.3293145000061486,
case_009,5,ok,52000,777248,1272580,0,8bca2f7456575cf2d3fee3d473ceda83674af399cdc0afa0a78d53770b032f33,1.4130497000005562,
case_010,2,ok,47199,575046,959196,0,ae0fa5e4c2869f7f522f4ea6e109f8cda12f4a2cbe440ba37c7156d44b79c909,0.12832640000851825,
case_010,3,ok,34792,627528,1011678,0,94622a0976e26c2cbd88ef31f5c179cdfcfaa675a22d503c14383a736b7f74c8,0.14639270000043325,
case_010,4,ok,32845,853738,1237888,0,a0872aa8cec120b7fc28e669aa77ad01a9efe5eb0507c800db79f7deaec72e75,0.16232439999294002,
case_010,5,ok,28622,716874,1101024,0,41533fc538b4a45158b1ed9e9025f914b927f08ab24058416ca235a087ec9690,0.12875580000400078,
case_011,2,ok,92646,180224,786432,0,dd85bbfff3f3136169313b512d6335441de960542e153517eb9de9743d101fa3,0.135429900008603,
case_011,3,ok,76172,2502656,3108864,0,22461f6d74ac6d40c1582d132c16564b9ae36f106ec99685d320eef6dee02a62,0.20438920000742655,
case_011,4,ok,46880,540672,1146880,0,de8fa7c3d5a69aff0fc399972935ca452d9dd4ee376ec7d1effa8f7ed70c5a90,0.12893299999996088,
case_011,5,ok,46880,540672,1146880,0,f9238d45e682bcaf27f8d5159a7ac1850bcda5c77c3cd6c95c8a8a154e09cd6c,0.12309790001017973,
case_012,2,ok,30094,28800,583698,0,8dab0436206aa0df418e8d884e9e3da31989be16a9379feb81a2ef7736f9f24a,0.2742156000022078,
case_012,3,ok,21894,20160,575058,0,ce4aa888b6ce9a66a32379cf84f4a82383825902c8e5422033887a26082092b1,0.282438700000057,
case_012,4,ok,17236,39168,594066,0,ab2c527bc80d54a6812400ffecee72db3bf300e1ba391a8ee3873c222782d2ac,0.2945624999993015,
case_012,5,ok,17236,39168,594066,0,adbe13c3194ce051a4598bb6e5eb6bc5b8ce0709c1a7eccbd2b380514ea47930,0.2665801000111969,
case_013,2,ok,132198,8192,2535424,0,1e53c296a600aed044668be3fc7f55cdf3f477a31b4e9f9de4c4e1098b54912a,1.0083073999994667,
case_013,3,ok,88351,16384,2543616,0,55efd77e51de13a1a870aa20893a094fe82ccfa4f7d781aac417ade89b306ac9,0.6576338000013493,
case_013,4,ok,66982,24576,2551808,0,78ac79ccf69c9fae54d00e8815aa03504db9cadebcf71f6b0c1dbf8212c55870,0.5729576000012457,
case_013,5,ok,54363,32768,2560000,0,5ddfcd4283c7a16c47e466899301f1846a18d1695cde56169bb0025a7f578e3d,0.5034906000073534,
