case,cores,singlecore_cycles,baseline_cycles,makespan_cycles,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,bound_pruned,invalid_candidates,cold_search_wall_seconds,selected
case_001,2,233110,116868,116868,1.9946435294520313,0.0,1152,0,13440,8192,15,5,0,1.7959295000000566,cold
case_001,3,233110,78545,78545,2.9678528232223567,0.0,2304,0,13440,8192,24,9,0,2.5547062999976333,cold
case_001,4,233110,58984,58984,3.952088702020887,0.0,3456,0,13440,8192,24,12,0,2.55815640000219,cold
case_001,5,233110,47502,47502,4.9073723211654245,0.0,4608,0,13440,8192,24,15,0,2.5259157000000414,cold
case_002,2,261945,261945,124255,2.1081244215524526,52.56446964057341,1121280,178176,463872,130560,16,12,0,5.971310499997344,cold
case_002,3,261945,261945,83772,3.1268801031370863,68.01924068029548,1003008,0,311808,102912,17,21,0,6.101019699999597,cold
case_002,4,261945,261945,65958,3.9713908851087054,74.81990494187711,1274880,0,67584,24576,24,64,0,9.76910670000143,cold
case_002,5,261945,261945,53071,4.93574645286503,79.73964000076353,1287168,0,53760,21504,24,31,0,9.172337600000901,cold
case_003,2,602212,538381,310518,1.9393787155656033,42.323744708672855,1059210,0,174720,70350,24,5,0,152.12767539999913,cold
case_003,3,602212,538764,217191,2.7727299934159335,59.68717286232933,2471182,0,118784,29058,24,6,0,144.56024770000295,cold
case_003,4,602212,539155,180280,3.3404260039937874,66.56249130583969,2854806,0,118272,21252,24,3,0,132.56154489999972,cold
case_003,5,602212,539607,157729,3.81801697848842,70.76965272874519,4863512,0,116736,19204,24,3,0,139.57674829999814,cold
case_004,2,392357,199074,196032,2.0014946539340515,1.528074987190693,983040,872448,258048,129024,24,12,0,3.755163400001038,cold
case_004,3,392357,134043,131412,2.985701458009923,1.96280298113292,847872,626688,199680,129024,24,21,0,3.8591735000009066,cold
case_004,4,392357,104188,101428,3.8683302441140515,2.6490574730295235,712704,380928,172032,129024,24,41,0,4.24933609999789,cold
case_004,5,392357,88341,85236,4.603184100614763,3.514789282439637,577536,135168,156672,129024,24,45,0,4.4242210000011255,cold
case_005,2,95618,95618,49399,1.9356262272515639,48.337133175761885,324966,0,38400,55988,24,4,0,28.35177769999791,cold
case_005,3,95618,95618,39595,2.4149008713221365,58.59043276370558,879756,0,47232,21844,24,1,0,30.521305199999915,cold
case_005,4,95618,95618,33060,2.8922565033272836,65.42491999414337,976336,0,32256,18484,24,3,0,30.61535069999809,cold
case_005,5,95618,95618,33341,2.8678803875108727,65.1310422723755,977392,0,32256,18484,24,4,0,33.927273099998274,cold
case_006,2,82837,46100,39002,2.1239167222193736,15.396963123644253,823894,119848,145024,123926,24,35,0,4.45694690000164,cold
case_006,3,82837,31153,31151,2.6592083721228854,0.0064199274548197615,30080,0,196608,94352,24,35,0,2.9913746999991417,cold
case_006,4,82837,31428,24586,3.369275197266737,21.770395825378642,637248,0,100992,51200,24,45,0,4.450897099999565,cold
case_006,5,82837,31733,27228,3.042346114294109,14.196577695143855,481768,131072,88192,131072,24,42,0,4.977073100002599,neighbor
case_007,2,1012562,507494,490814,2.063025912056298,3.2867383653796893,2933760,2906112,451584,129024,24,12,0,37.903721500002575,cold
case_007,3,1012562,338094,326994,3.096576695596861,3.2831106142078834,2709504,2654208,308736,129024,24,21,0,37.683922500000335,cold
case_007,4,1012562,254398,246058,4.115135455868129,3.2783276598086464,2485248,2402304,238080,129024,24,28,0,35.94306180000058,cold
case_007,5,1012562,203834,197052,5.1385522603170735,3.3272172454055755,2260992,2150400,195072,129024,24,33,0,34.800041800001054,cold
case_008,2,487605,244266,136244,3.5789098969495905,44.22310104558146,3538944,3538944,30720,129216,22,12,0,5.4931620999996085,cold
case_008,3,487605,163359,110229,4.4235636719919444,32.52346059904872,3317760,3317760,30720,129216,24,25,0,6.194241500001226,cold
case_008,4,487605,123060,104264,4.676638149313281,15.273850154396229,3096576,3096576,30720,129216,24,19,0,6.583072800000082,cold
case_008,5,487605,100603,97488,5.001692516001969,3.0963291353140563,2875392,2875392,30720,129216,24,6,0,6.253064399999857,cold
case_009,2,153261,92198,88429,1.7331531511155842,4.087941170090457,740494,7616,36992,127052,24,7,0,54.15755619999982,cold
case_009,3,153261,92207,70920,2.1610406091370558,23.086099753814786,618700,0,39712,78222,24,3,0,59.10903029999827,cold
case_009,4,153261,92216,64259,2.3850511212437167,30.316864752320637,747262,0,36992,72776,24,1,0,55.892764699998224,cold
case_009,5,153261,92225,53909,2.842957576656959,41.54621848739496,861326,0,32800,47114,24,3,0,69.26651549999951,cold
case_010,2,86969,45272,43504,1.9991035307098197,3.90528361901396,492368,0,181760,74500,24,7,0,3.638456299999234,cold
case_010,3,86969,30856,30457,2.8554683652362347,1.293103448275862,55680,0,229376,32776,24,16,0,2.7168274999967252,cold
case_010,4,86969,29856,25156,3.4571871521704565,15.742229367631296,395096,0,115072,55042,24,19,0,4.376251800000318,cold
case_010,5,86969,31015,22105,3.9343587423659807,28.728034821860387,411780,0,115072,41634,24,15,0,5.67535190000126,cold
case_011,2,184697,92646,92646,1.9935777043801135,0.0,180224,0,241664,0,24,9,0,2.8154161000020395,cold
case_011,3,184697,69625,63552,2.906234264853978,8.722441651705566,1392640,0,202752,0,24,19,0,5.094445200000337,cold
case_011,4,184697,46880,46880,3.9397824232081913,0.0,540672,0,110592,0,24,18,0,3.5692266000005475,cold
case_011,5,184697,47287,45978,4.017073382922267,2.7682026772685937,2101248,0,102400,0,24,38,0,4.296022799997445,first_range
case_012,2,59088,30094,28465,2.075812401194449,5.413039144015419,244050,0,30720,65274,24,6,0,5.553639800000383,cold
case_012,3,59088,21894,19092,3.0949088623507226,12.798026856673062,184188,0,28224,39438,24,6,0,6.672576100001606,neighbor
case_012,4,59088,17236,16384,3.6064453125,4.94314226038524,120608,0,28224,40974,24,18,0,5.120319699999527,neighbor
case_012,5,59088,14300,14022,4.213949507916132,1.944055944055944,49552,0,28224,30728,24,20,0,5.2191641999997955,cold
case_013,2,263949,132198,132198,1.9966187083011846,0.0,8192,0,20480,0,14,4,0,6.769336099998327,cold
case_013,3,263949,88351,88351,2.98750438591527,0.0,16384,0,20480,0,24,8,0,12.94161780000286,cold
case_013,4,263949,66982,66982,3.9405959810098237,0.0,24576,0,20480,0,24,11,0,12.03717890000189,cold
case_013,5,263949,54363,54363,4.855305998565201,0.0,32768,0,20480,0,24,14,0,11.983649800000421,cold
case_014,2,17698626,8891974,8810735,2.0087570446733447,0.9136216547641728,68201188,58288128,523776,4870,5,5,0,183.98346749999837,first_range
case_014,3,17698626,5980632,5903600,2.9979378684192697,1.288024409460405,66718248,48221184,523776,202,5,11,0,198.25831140000082,neighbor
case_014,4,17698626,4526660,4477460,3.9528272726054503,1.0868940896820172,76569888,46843392,523776,200,5,16,0,204.68149260000064,neighbor
case_014,5,17698626,3694640,3636000,4.867608910891089,1.58716410800511,83093316,46689792,523776,160,5,20,0,209.4678473999993,neighbor
case_015,2,177362,92411,92184,1.9239998264340883,0.24564175260520932,224564,114712,196608,122900,24,13,0,5.518201700000645,cold
case_015,3,177362,60807,60807,2.916802341835644,0.0,306448,98320,196608,122898,24,9,0,4.999129100000573,cold
case_015,4,177362,53421,51930,3.415405353360293,2.7910372325489976,979116,0,180224,128142,24,19,0,7.809216500001639,cold
case_015,5,177362,43437,43286,4.097444901353787,0.3476299007758363,313376,0,196608,114700,24,35,0,6.393317400001251,cold
case_016,2,7715523,7715523,4033396,1.9129098655326677,47.723621587285784,8536,0,196608,65546,13,6,0,186.8456389000021,cold
case_016,3,7715523,7715523,2876681,2.682091966401558,62.71567073288487,12192,0,131072,65542,15,6,0,184.26721359999647,cold
case_016,4,7715523,7715523,2241799,3.441665822850309,70.94430280358182,14628,0,98304,65540,15,6,0,181.27505699999892,cold
case_016,5,7715523,7715523,2241799,3.441665822850309,70.94430280358182,14628,0,98304,65540,15,7,0,187.83438249999745,cold
case_017,2,162810,87680,81968,1.986262931875854,6.514598540145985,286284,0,105472,119824,24,13,0,10.161540200002491,cold
case_017,3,162810,58579,56662,2.8733542762345134,3.2725037982894896,474344,0,101376,80404,24,10,0,10.789681800000835,cold
case_017,4,162810,42384,42150,3.8626334519572953,0.5520951302378255,259264,0,86016,49164,24,21,0,10.505374700001994,cold
case_017,5,162810,35496,35470,4.590076120665351,0.07324768988054993,340992,0,86016,49164,24,36,0,10.847685299999284,cold
case_018,2,1004367,502105,500869,2.00524887745099,0.24616365102916718,3195912,1896448,524288,65536,24,13,0,21.461685999998735,cold
case_018,3,1004367,338272,338158,2.97011160463452,0.033700690568536563,3748232,1273856,524288,65536,24,20,0,22.658257299997786,cold
case_018,4,1004367,258133,257641,3.8983197550079374,0.19059941967900268,4919040,1204224,524288,131072,24,28,0,26.052093800000875,cold
case_018,5,1004367,203865,201684,4.979904206580591,1.0698256198955192,5115980,466944,524288,98304,24,68,0,31.991991099999723,cold
case_019,2,81144,43224,37639,2.1558489864236563,12.921062372755877,712280,0,102944,97408,24,5,0,3.1990971000013815,cold
case_019,3,81144,29121,29109,2.787591466556735,0.04120737612032554,24576,0,36864,55426,24,13,0,2.8195749999977124,cold
case_019,4,81144,24099,22371,3.6271959232935496,7.170422009212,62500,0,36864,18432,24,18,0,2.8894430000000284,cold
case_019,5,81144,24169,17830,4.550981491867639,26.227812487070214,60004,0,36864,19968,24,32,0,5.348123700001452,cold
case_020,2,532746,266580,266580,1.9984469952734638,0.0,0,0,0,32768,7,20,0,22.14239810000072,cold
case_020,3,532746,177950,177950,2.993796010115201,0.0,0,0,0,32768,14,30,0,29.932431199998973,cold
case_020,4,532746,133704,133704,3.984518039849219,0.0,0,0,0,32768,14,33,0,30.445552099998167,cold
