case,cores,strategy,active_cores,band_width,data_aware,status,makespan_cycles,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,wall_seconds,error
case_044,5,band_w4_k2,2,4,0,ok,47049,930400,930400,0,172288,0,0.193,
case_044,5,band_w8_k2,2,8,0,ok,48853,930400,930400,0,282496,0,0.189,
case_044,5,band_w12_k2,2,12,0,ok,51437,930400,930400,0,392704,0,0.183,
case_044,5,band_w4_k3,3,4,0,ok,55556,1860800,1860800,0,164096,0,0.183,
case_044,5,band_w8_k3,3,8,0,ok,55423,1860800,1860800,0,274304,0,0.171,
case_044,5,band_w12_k3,3,12,0,ok,56876,1860800,1860800,0,384768,0,0.199,
case_044,5,band_w4_k4,4,4,0,ok,68057,2791200,2791200,0,160000,0,0.175,
case_044,5,band_w8_k4,4,8,0,ok,68063,2791200,2791200,0,270208,0,0.176,
case_044,5,band_w12_k4,4,12,0,ok,68973,2791200,2791200,0,380800,0,0.196,
case_044,5,band_w4_k5,5,4,0,ok,83125,3721600,3721600,0,160000,0,0.173,
case_044,5,band_w8_k5,5,8,0,ok,83485,3721600,3721600,0,270208,0,0.182,
case_044,5,band_w12_k5,5,12,0,ok,84038,3721600,3721600,0,380800,0,0.168,
case_048,5,band_w4_k2,2,4,0,ok,147659,346022,346022,0,20992,12484,0.307,
case_048,5,band_w8_k2,2,8,0,ok,151967,314182,314182,0,20096,13684,0.303,
case_048,5,band_w12_k2,2,12,0,ok,156614,315206,315206,0,19968,15124,0.459,
case_048,5,band_w4_k3,3,4,0,ok,127741,495820,495820,0,20736,11460,0.46,
case_048,5,band_w8_k3,3,8,0,ok,133333,441164,441164,0,20480,12708,0.508,
case_048,5,band_w12_k3,3,12,0,ok,138308,436940,436940,0,20480,14612,0.482,
case_048,5,band_w4_k4,4,4,0,ok,125014,506224,506224,0,20672,11524,0.448,
case_048,5,band_w8_k4,4,8,0,ok,133347,442894,442894,0,20480,12708,0.454,
case_048,5,band_w12_k4,4,12,0,ok,138343,437902,437902,0,20480,14612,0.452,
case_048,5,band_w4_k5,5,4,0,ok,125625,511028,511028,0,20864,11332,0.438,
case_048,5,band_w8_k5,5,8,0,ok,133433,443216,443216,0,20480,12708,0.457,
case_048,5,band_w12_k5,5,12,0,ok,138378,438096,438096,0,20480,14612,0.423,
case_064,5,band_w4_k2,2,4,0,ok,14818,46854,46854,0,8864,5124,0.174,
case_064,5,band_w8_k2,2,8,0,ok,14214,41028,41028,0,6144,7700,0.198,
case_064,5,band_w12_k2,2,12,0,ok,13632,40068,40068,0,6656,7892,0.19,
case_064,5,band_w4_k3,3,4,0,ok,13107,70380,70380,0,7968,4100,0.188,
case_064,5,band_w8_k3,3,8,0,ok,11948,67208,67208,0,5632,7428,0.198,
case_064,5,band_w12_k3,3,12,0,ok,11923,65544,65544,0,6400,7636,0.208,
case_064,5,band_w4_k4,4,4,0,ok,11807,100400,100400,0,7168,3620,0.215,
case_064,5,band_w8_k4,4,8,0,ok,11651,84812,84812,0,5632,6388,0.201,
case_064,5,band_w12_k4,4,12,0,ok,11252,83018,83018,0,6144,7348,0.184,
case_064,5,band_w4_k5,5,4,0,ok,11916,106962,106962,0,6816,3588,0.216,
case_064,5,band_w8_k5,5,8,0,ok,11643,84908,84908,0,5632,6388,0.223,
case_064,5,band_w12_k5,5,12,0,ok,11261,83180,83180,0,6144,7348,0.193,
case_098,5,band_w4_k2,2,4,0,ok,96471,2258252,1810718,447534,237568,131072,0.41,
case_098,5,band_w8_k2,2,8,0,ok,100723,1170540,752740,417800,217088,131072,0.335,
case_098,5,band_w12_k2,2,12,0,ok,108624,233496,102424,131072,229376,127156,0.327,
case_098,5,band_w4_k3,3,4,0,ok,82551,2514306,2514306,0,229376,131072,0.414,
case_098,5,band_w8_k3,3,8,0,ok,83374,1230992,1034380,196612,267008,131072,0.369,
case_098,5,band_w12_k3,3,12,0,ok,95568,196648,163876,32772,229376,126996,0.287,
case_098,5,band_w4_k4,4,4,0,ok,78911,2902486,2902486,0,225280,114692,0.418,
case_098,5,band_w8_k4,4,8,0,ok,79956,1369228,1172616,196612,212992,131072,0.314,
case_098,5,band_w12_k4,4,12,0,ok,86570,253992,229416,24576,229376,126992,0.286,
case_098,5,band_w4_k5,5,4,0,ok,72606,3048454,3048454,0,217088,114692,0.411,
case_098,5,band_w8_k5,5,8,0,ok,78189,1443988,1247376,196612,212992,131072,0.34,
case_098,5,band_w12_k5,5,12,0,ok,86826,327724,327724,0,229376,69636,0.291,
case_001,5,band_w4_k2,2,4,0,ok,116868,1152,1152,0,13440,8192,0.11,
case_001,5,band_w8_k2,2,8,0,duplicate,,,,,,,0.007,
case_001,5,band_w12_k2,2,12,0,duplicate,,,,,,,0.003,
case_001,5,band_w4_k3,3,4,0,ok,78545,2304,2304,0,13440,8192,0.099,
case_001,5,band_w8_k3,3,8,0,duplicate,,,,,,,0.003,
case_001,5,band_w12_k3,3,12,0,duplicate,,,,,,,0.003,
case_001,5,band_w4_k4,4,4,0,ok,58984,3456,3456,0,13440,8192,0.103,
case_001,5,band_w8_k4,4,8,0,duplicate,,,,,,,0.003,
case_001,5,band_w12_k4,4,12,0,duplicate,,,,,,,0.003,
case_001,5,band_w4_k5,5,4,0,duplicate,,,,,,,0.003,
case_001,5,band_w8_k5,5,8,0,duplicate,,,,,,,0.003,
case_001,5,band_w12_k5,5,12,0,duplicate,,,,,,,0.003,
case_002,5,band_w4_k2,2,4,0,ok,132700,427008,337920,89088,463872,130560,0.326,
case_002,5,band_w8_k2,2,8,0,ok,135054,321024,321024,0,7680,84480,0.302,
case_002,5,band_w12_k2,2,12,0,ok,132196,27648,27648,0,12288,19968,0.299,
case_002,5,band_w4_k3,3,4,0,ok,89495,439296,439296,0,311808,102912,0.331,
case_002,5,band_w8_k3,3,8,0,ok,91730,434688,434688,0,7680,43008,0.295,
case_002,5,band_w12_k3,3,12,0,ok,89027,41472,41472,0,7680,15360,0.258,
case_002,5,band_w4_k4,4,4,0,ok,67434,508416,508416,0,233472,76800,0.274,
case_002,5,band_w8_k4,4,8,0,ok,68850,479232,479232,0,12288,33792,0.282,
case_002,5,band_w12_k4,4,12,0,ok,68202,44544,44544,0,7680,13824,0.295,
case_002,5,band_w4_k5,5,4,0,ok,54745,517632,517632,0,187392,61440,0.43,
case_002,5,band_w8_k5,5,8,0,ok,55789,514560,514560,0,7680,27648,0.437,
case_002,5,band_w12_k5,5,12,0,ok,64453,47616,47616,0,7680,12288,0.391,
case_003,5,band_w4_k2,2,4,0,ok,370682,2372950,2372950,0,119040,75662,6.95,
case_003,5,band_w8_k2,2,8,0,ok,382272,1786730,1786730,0,146176,97380,6.363,
case_003,5,band_w12_k2,2,12,0,ok,368951,1673582,1673582,0,146688,96354,6.465,
case_003,5,band_w4_k3,3,4,0,ok,278762,3573494,3573494,0,99584,49156,6.733,
case_003,5,band_w8_k3,3,8,0,ok,301391,2501142,2501142,0,123520,83146,5.631,
case_003,5,band_w12_k3,3,12,0,ok,278284,1994508,1994508,0,116736,89028,5.481,
case_003,5,band_w4_k4,4,4,0,ok,254436,4500934,4500934,0,91392,50692,6.604,
case_003,5,band_w8_k4,4,8,0,ok,286822,3514770,3514770,0,116736,83082,5.999,
case_003,5,band_w12_k4,4,12,0,ok,270268,3245956,3245956,0,131712,90596,5.765,
case_003,5,band_w4_k5,5,4,0,ok,236034,6069924,6069924,0,90752,45572,7.173,
case_003,5,band_w8_k5,5,8,0,ok,264689,4224712,4224712,0,137472,83560,5.738,
case_003,5,band_w12_k5,5,12,0,ok,242057,3962880,3962880,0,116736,82340,5.822,
case_004,5,band_w4_k2,2,4,0,ok,196032,983040,110592,872448,258048,129024,0.181,
case_004,5,band_w8_k2,2,8,0,ok,199074,110592,110592,0,125952,12288,0.158,
case_004,5,band_w12_k2,2,12,0,duplicate,,,,,,,0.004,
case_004,5,band_w4_k3,3,4,0,ok,131412,847872,221184,626688,199680,129024,0.166,
case_004,5,band_w8_k3,3,8,0,ok,134043,221184,221184,0,125952,12288,0.15,
case_004,5,band_w12_k3,3,12,0,duplicate,,,,,,,0.005,
case_004,5,band_w4_k4,4,4,0,ok,101428,712704,331776,380928,172032,129024,0.14,
case_004,5,band_w8_k4,4,8,0,ok,104188,331776,331776,0,125952,12288,0.153,
case_004,5,band_w12_k4,4,12,0,duplicate,,,,,,,0.005,
case_004,5,band_w4_k5,5,4,0,ok,85236,577536,442368,135168,156672,129024,0.145,
case_004,5,band_w8_k5,5,8,0,duplicate,,,,,,,0.007,
case_004,5,band_w12_k5,5,12,0,duplicate,,,,,,,0.006,
case_005,5,band_w4_k2,2,4,0,ok,61840,591718,591718,0,47712,70692,1.184,
case_005,5,band_w8_k2,2,8,0,ok,60979,601094,601094,0,47616,93124,1.125,
case_005,5,band_w12_k2,2,12,0,ok,67018,653028,653028,0,48768,99428,1.186,
case_005,5,band_w4_k3,3,4,0,ok,56401,1317420,1317420,0,51168,57476,1.264,
case_005,5,band_w8_k3,3,8,0,ok,51121,891404,891404,0,43392,91652,1.057,
case_005,5,band_w12_k3,3,12,0,ok,57294,926984,926984,0,42624,80884,1.191,
case_005,5,band_w4_k4,4,4,0,ok,51940,1539728,1539728,0,50304,48004,1.391,
case_005,5,band_w8_k4,4,8,0,ok,48522,1242226,1242226,0,43392,91460,1.162,
case_005,5,band_w12_k4,4,12,0,ok,55479,1233740,1233740,0,42624,75268,1.254,
case_005,5,band_w4_k5,5,4,0,ok,55383,1870038,1870038,0,48480,37508,1.293,
case_005,5,band_w8_k5,5,8,0,ok,48520,1362712,1362712,0,43008,91908,1.112,
case_005,5,band_w12_k5,5,12,0,ok,56783,1240908,1240908,0,43392,74452,1.111,
case_006,5,band_w4_k2,2,4,0,ok,40084,820626,700778,119848,145024,123926,0.15,
case_006,5,band_w8_k2,2,8,0,ok,41651,229788,229788,0,146048,77832,0.145,
case_006,5,band_w12_k2,2,12,0,ok,47910,237960,43392,194568,196608,131072,0.132,
case_006,5,band_w4_k3,3,4,0,ok,31316,1208236,1208236,0,84736,114690,0.208,
case_006,5,band_w8_k3,3,8,0,ok,33166,238380,238380,0,147456,101384,0.177,
case_006,5,band_w12_k3,3,12,0,ok,31178,256896,125824,131072,196608,131072,0.176,
case_006,5,band_w4_k4,4,4,0,ok,31228,1241274,1241274,0,52352,114690,0.219,
case_006,5,band_w8_k4,4,8,0,ok,33633,331064,331064,0,131072,80910,0.17,
case_006,5,band_w12_k4,4,12,0,ok,31503,311040,179968,131072,196608,131072,0.146,
case_006,5,band_w4_k5,5,4,0,ok,34902,1438414,1438414,0,35968,98306,0.228,
case_006,5,band_w8_k5,5,8,0,ok,27575,259884,259884,0,131072,74756,0.139,
case_006,5,band_w12_k5,5,12,0,ok,31770,358528,227456,131072,196608,131072,0.138,
case_007,5,band_w4_k2,2,4,0,ok,490814,2933760,27648,2906112,451584,129024,1.404,
case_007,5,band_w8_k2,2,8,0,ok,507494,27648,27648,0,35328,6144,1.151,
case_007,5,band_w12_k2,2,12,0,duplicate,,,,,,,0.028,
case_007,5,band_w4_k3,3,4,0,ok,326994,2709504,55296,2654208,308736,129024,1.159,
case_007,5,band_w8_k3,3,8,0,ok,338094,55296,55296,0,35328,6144,0.995,
case_007,5,band_w12_k3,3,12,0,duplicate,,,,,,,0.02,
case_007,5,band_w4_k4,4,4,0,ok,246058,2485248,82944,2402304,238080,129024,1.08,
case_007,5,band_w8_k4,4,8,0,ok,254398,82944,82944,0,35328,6144,0.998,
case_007,5,band_w12_k4,4,12,0,duplicate,,,,,,,0.031,
case_007,5,band_w4_k5,5,4,0,ok,197052,2260992,110592,2150400,195072,129024,1.081,
case_007,5,band_w8_k5,5,8,0,duplicate,,,,,,,0.036,
case_007,5,band_w12_k5,5,12,0,duplicate,,,,,,,0.018,
case_008,5,band_w4_k2,2,4,0,ok,136244,3538944,0,3538944,30720,129216,0.258,
case_008,5,band_w8_k2,2,8,0,ok,244266,0,0,0,36864,37056,0.247,
case_008,5,band_w12_k2,2,12,0,duplicate,,,,,,,0.007,
case_008,5,band_w4_k3,3,4,0,ok,110229,3317760,0,3317760,30720,129216,0.241,
case_008,5,band_w8_k3,3,8,0,ok,163359,0,0,0,36864,37056,0.22,
case_008,5,band_w12_k3,3,12,0,duplicate,,,,,,,0.007,
case_008,5,band_w4_k4,4,4,0,ok,104264,3096576,0,3096576,30720,129216,0.246,
case_008,5,band_w8_k4,4,8,0,ok,123060,0,0,0,36864,37056,0.233,
case_008,5,band_w12_k4,4,12,0,duplicate,,,,,,,0.005,
case_008,5,band_w4_k5,5,4,0,ok,97488,2875392,0,2875392,30720,129216,0.269,
case_008,5,band_w8_k5,5,8,0,duplicate,,,,,,,0.007,
case_008,5,band_w12_k5,5,12,0,duplicate,,,,,,,0.006,
case_009,5,band_w4_k2,2,4,0,ok,88429,740494,732878,7616,36992,127052,2.034,
case_009,5,band_w8_k2,2,8,0,ok,89793,391438,391438,0,39840,111410,1.913,
case_009,5,band_w12_k2,2,12,0,ok,93609,371630,371630,0,42656,102336,1.779,
case_009,5,band_w4_k3,3,4,0,ok,73295,1185252,1185252,0,32224,115436,2.095,
case_009,5,band_w8_k3,3,8,0,ok,70920,618700,618700,0,39712,78222,1.857,
case_009,5,band_w12_k3,3,12,0,ok,74470,569682,569682,0,41824,59664,1.729,
case_009,5,band_w4_k4,4,4,0,ok,69014,1317674,1317674,0,30976,72116,1.911,
case_009,5,band_w8_k4,4,8,0,ok,64259,747262,747262,0,36992,72776,1.686,
case_009,5,band_w12_k4,4,12,0,ok,67315,672118,672118,0,38656,55852,1.923,
case_009,5,band_w4_k5,5,4,0,ok,68820,1538614,1538614,0,30464,39534,1.969,
case_009,5,band_w8_k5,5,8,0,ok,53909,861326,861326,0,32800,47114,1.742,
case_009,5,band_w12_k5,5,12,0,ok,58803,765594,765594,0,35360,53256,1.71,
case_010,5,band_w4_k2,2,4,0,ok,49327,580496,480656,99840,142336,131072,0.17,
case_010,5,band_w8_k2,2,8,0,ok,53927,69560,69560,0,253312,51984,0.132,
case_010,5,band_w12_k2,2,12,0,ok,45249,253824,52608,201216,230528,131072,0.138,
case_010,5,band_w4_k3,3,4,0,ok,36485,742424,644120,98304,103552,114690,0.181,
case_010,5,band_w8_k3,3,8,0,ok,40863,137520,137520,0,228736,43018,0.15,
case_010,5,band_w12_k3,3,12,0,ok,31413,272776,76168,196608,229376,131072,0.138,
case_010,5,band_w4_k4,4,4,0,ok,33357,852732,754428,98304,67584,114690,0.178,
