case,cores,strategy,component_rank,cut_level,source_core,target_core,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,wall_seconds,error
case_061,5,component0_cut12_to1,0,12,0,1,ok,23104,104192,0,46848,25616,0.15,
case_061,5,component0_cut12_to2,0,12,0,2,ok,24481,104192,0,46848,25616,0.151,
case_061,5,component0_cut12_to3,0,12,0,3,ok,22760,104192,0,46848,25616,0.158,
case_061,5,component0_cut12_to4,0,12,0,4,ok,21834,104192,0,46848,25616,0.165,
case_061,5,component0_cut18_to1,0,18,0,1,ok,21400,104192,0,46848,25616,0.156,
case_061,5,component0_cut18_to2,0,18,0,2,ok,22778,104192,0,46848,25616,0.156,
case_061,5,component0_cut18_to3,0,18,0,3,ok,21020,104192,0,46848,25616,0.153,
case_061,5,component0_cut18_to4,0,18,0,4,ok,20130,104192,0,46848,25616,0.167,
case_061,5,component0_cut23_to1,0,23,0,1,ok,20264,104192,0,46848,25616,0.166,
case_061,5,component0_cut23_to2,0,23,0,2,ok,21186,104192,0,46848,25616,0.157,
case_061,5,component0_cut23_to3,0,23,0,3,ok,19476,104192,0,46848,25616,0.152,
case_061,5,component0_cut23_to4,0,23,0,4,ok,18732,104192,0,46848,25616,0.15,
case_061,5,component0_cut27_to1,0,27,0,1,ok,19357,104192,0,46848,25616,0.151,
case_061,5,component0_cut27_to2,0,27,0,2,ok,20050,104192,0,46848,25616,0.149,
case_061,5,component0_cut27_to3,0,27,0,3,ok,19357,104192,0,46848,25616,0.155,
case_061,5,component0_cut27_to4,0,27,0,4,ok,19357,104192,0,46848,25616,0.154,
case_061,5,component0_cut34_to1,0,34,0,1,ok,21061,104192,0,46848,25616,0.149,
case_061,5,component0_cut34_to2,0,34,0,2,ok,21061,104192,0,46848,25616,0.155,
case_061,5,component0_cut34_to3,0,34,0,3,ok,21061,104192,0,46848,25616,0.148,
case_061,5,component0_cut34_to4,0,34,0,4,ok,21061,104192,0,46848,25616,0.15,
case_061,5,component1_cut12_to0,1,12,1,0,ok,24709,106240,0,46848,24592,0.151,
case_061,5,component1_cut12_to2,1,12,1,2,ok,22283,106240,0,46848,24592,0.148,
case_061,5,component1_cut12_to3,1,12,1,3,ok,22283,106240,0,46848,24592,0.146,
case_061,5,component1_cut12_to4,1,12,1,4,ok,22283,106240,0,46848,24592,0.147,
case_061,5,component1_cut19_to0,1,19,1,0,ok,23847,96004,0,46848,26640,0.149,
case_061,5,component1_cut19_to2,1,19,1,2,ok,22283,96004,0,46848,26640,0.159,
case_061,5,component1_cut19_to3,1,19,1,3,ok,22283,96004,0,46848,26640,0.173,
case_061,5,component1_cut19_to4,1,19,1,4,ok,22283,96004,0,46848,26640,0.156,
case_061,5,component1_cut23_to0,1,23,1,0,ok,23511,96004,0,46848,26640,0.152,
case_061,5,component1_cut23_to2,1,23,1,2,ok,22283,96004,0,46848,26640,0.148,
case_061,5,component1_cut23_to3,1,23,1,3,ok,22283,96004,0,46848,26640,0.163,
case_061,5,component1_cut23_to4,1,23,1,4,ok,22283,96004,0,46848,26640,0.156,
case_061,5,component1_cut28_to0,1,28,1,0,ok,23007,96004,0,46848,26640,0.152,
case_061,5,component1_cut28_to2,1,28,1,2,ok,22283,96004,0,46848,26640,0.145,
case_061,5,component1_cut28_to3,1,28,1,3,ok,22283,96004,0,46848,26640,0.151,
case_061,5,component1_cut28_to4,1,28,1,4,ok,22283,96004,0,46848,26640,0.15,
case_061,5,component1_cut34_to0,1,34,1,0,ok,22503,96004,0,46848,26640,0.157,
case_061,5,component1_cut34_to2,1,34,1,2,ok,22283,96004,0,46848,26640,0.154,
case_061,5,component1_cut34_to3,1,34,1,3,ok,22283,96004,0,46848,26640,0.154,
case_061,5,component1_cut34_to4,1,34,1,4,ok,22283,96004,0,46848,26640,0.146,
case_096,5,component0_cut11_to1,0,11,0,1,ok,32560,192140,0,72576,20480,0.139,
case_096,5,component0_cut11_to2,0,11,0,2,ok,36146,192140,0,72576,20480,0.142,
case_096,5,component0_cut11_to3,0,11,0,3,ok,33580,192140,0,72576,20480,0.137,
case_096,5,component0_cut11_to4,0,11,0,4,ok,34523,192140,0,72576,20480,0.141,
case_096,5,component0_cut18_to1,0,18,0,1,ok,27381,192164,0,72576,20480,0.139,
case_096,5,component0_cut18_to2,0,18,0,2,ok,29671,192164,0,72576,20480,0.138,
case_096,5,component0_cut18_to3,0,18,0,3,ok,27381,192164,0,72576,20480,0.138,
case_096,5,component0_cut18_to4,0,18,0,4,ok,28048,192164,0,72576,20480,0.141,
case_096,5,component0_cut22_to1,0,22,0,1,ok,27403,192136,0,72576,20480,0.133,
case_096,5,component0_cut22_to2,0,22,0,2,ok,29580,192136,0,72576,20480,0.143,
case_096,5,component0_cut22_to3,0,22,0,3,ok,27403,192136,0,72576,20480,0.149,
case_096,5,component0_cut22_to4,0,22,0,4,ok,27957,192136,0,72576,20480,0.162,
case_096,5,component0_cut26_to1,0,26,0,1,ok,25481,306820,0,72576,20480,0.146,
case_096,5,component0_cut26_to2,0,26,0,2,ok,25481,306820,0,72576,20480,0.143,
case_096,5,component0_cut26_to3,0,26,0,3,ok,25481,306820,0,72576,20480,0.151,
case_096,5,component0_cut26_to4,0,26,0,4,ok,25481,306820,0,72576,20480,0.151,
case_096,5,component0_cut33_to1,0,33,0,1,ok,27555,192132,0,72576,20480,0.14,
case_096,5,component0_cut33_to2,0,33,0,2,ok,27555,192132,0,72576,20480,0.142,
case_096,5,component0_cut33_to3,0,33,0,3,ok,27555,192132,0,72576,20480,0.136,
case_096,5,component0_cut33_to4,0,33,0,4,ok,27555,192132,0,72576,20480,0.136,
case_096,5,component1_cut30_to0,1,30,1,0,ok,33810,145024,0,72576,20480,0.136,
case_096,5,component1_cut30_to2,1,30,1,2,ok,27053,145024,0,72576,20480,0.138,
case_096,5,component1_cut30_to3,1,30,1,3,ok,27053,145024,0,72576,20480,0.135,
case_096,5,component1_cut30_to4,1,30,1,4,ok,27053,145024,0,72576,20480,0.142,
case_096,5,component1_cut48_to0,1,48,1,0,ok,32298,145024,0,72576,20480,0.137,
case_096,5,component1_cut48_to2,1,48,1,2,ok,27053,145024,0,72576,20480,0.135,
case_096,5,component1_cut48_to3,1,48,1,3,ok,27053,145024,0,72576,20480,0.138,
case_096,5,component1_cut48_to4,1,48,1,4,ok,27053,145024,0,72576,20480,0.136,
case_096,5,component1_cut60_to0,1,60,1,0,ok,31290,145024,0,72576,20480,0.141,
case_096,5,component1_cut60_to2,1,60,1,2,ok,27053,145024,0,72576,20480,0.136,
case_096,5,component1_cut60_to3,1,60,1,3,ok,27053,145024,0,72576,20480,0.143,
case_096,5,component1_cut60_to4,1,60,1,4,ok,27053,145024,0,72576,20480,0.142,
case_096,5,component1_cut72_to0,1,72,1,0,ok,30282,145024,0,72576,20480,0.139,
case_096,5,component1_cut72_to2,1,72,1,2,ok,27053,145024,0,72576,20480,0.136,
case_096,5,component1_cut72_to3,1,72,1,3,ok,27053,145024,0,72576,20480,0.151,
case_096,5,component1_cut72_to4,1,72,1,4,ok,27053,145024,0,72576,20480,0.148,
case_096,5,component1_cut90_to0,1,90,1,0,ok,28770,145024,0,72576,20480,0.148,
case_096,5,component1_cut90_to2,1,90,1,2,ok,27053,145024,0,72576,20480,0.137,
case_096,5,component1_cut90_to3,1,90,1,3,ok,27053,145024,0,72576,20480,0.141,
case_096,5,component1_cut90_to4,1,90,1,4,ok,27053,145024,0,72576,20480,0.143,
case_015,5,component0_cut8_to1,0,8,0,1,ok,58258,501776,8192,180224,122896,0.139,
case_015,5,component0_cut8_to2,0,8,0,2,ok,61476,501776,8192,180224,122896,0.138,
case_015,5,component0_cut8_to3,0,8,0,3,ok,49550,501776,8192,180224,122896,0.139,
case_015,5,component0_cut8_to4,0,8,0,4,ok,60681,501776,8192,180224,122896,0.137,
case_015,5,component0_cut12_to1,0,12,0,1,ok,49399,501812,8192,196608,122896,0.156,
case_015,5,component0_cut12_to2,0,12,0,2,ok,52619,501812,8192,196608,122896,0.142,
case_015,5,component0_cut12_to3,0,12,0,3,ok,43437,501812,8192,196608,122896,0.138,
case_015,5,component0_cut12_to4,0,12,0,4,ok,51824,501812,8192,196608,122896,0.145,
case_015,5,component0_cut15_to1,0,15,0,1,ok,49282,501776,8192,196608,122896,0.142,
