case,cores,strategy,active_cores,band_width,data_aware,status,makespan_cycles,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,wall_seconds,error
case_044,5,data_band_w4_k2,2,4,1,ok,47056,930400,930400,0,172288,0,0.208,
case_044,5,data_band_w8_k2,2,8,1,ok,49294,930400,930400,0,261888,0,0.211,
case_044,5,data_band_w12_k2,2,12,1,ok,51301,930400,930400,0,393216,0,0.214,
case_044,5,data_band_w4_k3,3,4,1,ok,54867,1860800,1860800,0,164096,0,0.186,
case_044,5,data_band_w8_k3,3,8,1,ok,56386,1860800,1860800,0,253952,0,0.188,
case_044,5,data_band_w12_k3,3,12,1,ok,56883,1860800,1860800,0,385024,0,0.183,
case_044,5,data_band_w4_k4,4,4,1,ok,67689,2791200,2791200,0,160000,0,0.232,
case_044,5,data_band_w8_k4,4,8,1,ok,68629,2791200,2791200,0,249984,0,0.193,
case_044,5,data_band_w12_k4,4,12,1,ok,69079,2791200,2791200,0,380928,0,0.22,
case_044,5,data_band_w4_k5,5,4,1,ok,82967,3721600,3721600,0,160000,0,0.181,
case_044,5,data_band_w8_k5,5,8,1,ok,83694,3721600,3721600,0,249984,0,0.185,
case_044,5,data_band_w12_k5,5,12,1,duplicate,,,,,,,0.009,
case_048,5,data_band_w4_k2,2,4,1,ok,143644,299590,299590,0,23040,12356,0.322,
case_048,5,data_band_w8_k2,2,8,1,ok,158548,299844,299844,0,17728,15364,0.306,
case_048,5,data_band_w12_k2,2,12,1,ok,170839,170820,170820,0,19776,14276,0.318,
case_048,5,data_band_w4_k3,3,4,1,ok,127277,414220,414220,0,22848,10628,0.305,
case_048,5,data_band_w8_k3,3,8,1,ok,141850,413320,413320,0,16896,13892,0.317,
case_048,5,data_band_w12_k3,3,12,1,ok,155327,189832,189832,0,19456,13444,0.323,
case_048,5,data_band_w4_k4,4,4,1,ok,126825,415310,415310,0,22784,10436,0.358,
case_048,5,data_band_w8_k4,4,8,1,ok,141867,414282,414282,0,16896,13892,0.327,
case_048,5,data_band_w12_k4,4,12,1,ok,155344,190794,190794,0,19456,13444,0.299,
case_048,5,data_band_w4_k5,5,4,1,ok,127339,415760,415760,0,22912,10372,0.311,
case_048,5,data_band_w8_k5,5,8,1,ok,141956,414860,414860,0,16896,13892,0.34,
case_048,5,data_band_w12_k5,5,12,1,ok,155433,191372,191372,0,19456,13444,0.299,
case_064,5,data_band_w4_k2,2,4,1,ok,13773,40166,40166,0,10304,5380,0.147,
case_064,5,data_band_w8_k2,2,8,1,ok,13950,39716,39716,0,6144,7204,0.134,
case_064,5,data_band_w12_k2,2,12,1,ok,15309,17444,17444,0,6656,5188,0.13,
case_064,5,data_band_w4_k3,3,4,1,ok,10681,65868,65868,0,8864,4100,0.14,
case_064,5,data_band_w8_k3,3,8,1,ok,12144,65672,65672,0,5632,6308,0.133,
case_064,5,data_band_w12_k3,3,12,1,ok,15010,28808,28808,0,6144,4932,0.122,
case_064,5,data_band_w4_k4,4,4,1,ok,10465,83824,83824,0,8224,2916,0.136,
case_064,5,data_band_w8_k4,4,8,1,ok,12036,82988,82988,0,5632,5412,0.148,
case_064,5,data_band_w12_k4,4,12,1,ok,13954,31532,31532,0,6144,4676,0.146,
case_064,5,data_band_w4_k5,5,4,1,ok,10292,83728,83728,0,8288,2916,0.151,
case_064,5,data_band_w8_k5,5,8,1,ok,12015,83020,83020,0,5632,5412,0.15,
case_064,5,data_band_w12_k5,5,12,1,ok,13944,31564,31564,0,6144,4676,0.14,
case_098,5,data_band_w4_k2,2,4,1,ok,101281,1534284,1355452,178832,262144,131072,0.309,
case_098,5,data_band_w8_k2,2,8,1,ok,108624,233496,102424,131072,229376,127156,0.217,
case_098,5,data_band_w12_k2,2,12,1,ok,108789,127040,102428,24612,229376,127140,0.218,
case_098,5,data_band_w4_k3,3,4,1,ok,76698,1822728,1708036,114692,262144,131072,0.29,
case_098,5,data_band_w8_k3,3,8,1,ok,95568,196648,163876,32772,229376,126996,0.234,
case_098,5,data_band_w12_k3,3,12,1,ok,90521,102472,102472,0,229376,114712,0.2,
case_098,5,data_band_w4_k4,4,4,1,ok,68466,2124936,2026632,98304,262144,131072,0.297,
case_098,5,data_band_w8_k4,4,8,1,ok,86570,253992,229416,24576,229376,126992,0.198,
case_098,5,data_band_w12_k4,4,12,1,ok,87021,122952,122952,0,229376,90136,0.193,
case_098,5,data_band_w4_k5,5,4,1,ok,66750,2165060,2066756,98304,262144,131072,0.267,
case_098,5,data_band_w8_k5,5,8,1,ok,86826,327724,327724,0,229376,69636,0.203,
case_098,5,data_band_w12_k5,5,12,1,ok,87295,192596,192596,0,229376,77828,0.193,
case_049,5,data_band_w4_k2,2,4,1,ok,132212,795798,795798,0,81632,68548,0.913,
case_049,5,data_band_w8_k2,2,8,1,ok,128265,607224,607224,0,29760,121924,0.898,
case_049,5,data_band_w12_k2,2,12,1,ok,157232,229380,229380,0,29280,41732,0.908,
case_049,5,data_band_w4_k3,3,4,1,ok,104604,1559248,1559248,0,65600,51428,0.958,
case_049,5,data_band_w8_k3,3,8,1,ok,110754,869356,869356,0,22912,120836,0.909,
case_049,5,data_band_w12_k3,3,12,1,ok,146600,308984,308984,0,20608,37444,0.879,
case_049,5,data_band_w4_k4,4,4,1,ok,88796,1726822,1726822,0,56864,35780,1.029,
case_049,5,data_band_w8_k4,4,8,1,ok,102780,1069358,1069358,0,20992,119556,0.869,
case_049,5,data_band_w12_k4,4,12,1,ok,138907,363446,363446,0,19040,32964,0.857,
case_049,5,data_band_w4_k5,5,4,1,ok,85570,1871276,1871276,0,50240,35012,1.003,
case_049,5,data_band_w8_k5,5,8,1,ok,97259,1158932,1158932,0,18976,119556,0.883,
case_049,5,data_band_w12_k5,5,12,1,ok,136403,373656,373656,0,18976,32964,0.812,
case_026,5,data_band_w4_k2,2,4,1,ok,65630,538864,497904,40960,229632,125186,0.111,
case_026,5,data_band_w8_k2,2,8,1,ok,61146,26168,26168,0,202240,115464,0.093,
case_026,5,data_band_w12_k2,2,12,1,ok,56007,23336,23336,0,183040,58112,0.104,
case_026,5,data_band_w4_k3,3,4,1,ok,63395,1043280,977744,65536,165760,131072,0.121,
case_026,5,data_band_w8_k3,3,8,1,ok,42615,153280,153280,0,177280,106498,0.101,
case_026,5,data_band_w12_k3,3,12,1,ok,42203,105656,105656,0,163840,57344,0.098,
case_026,5,data_band_w4_k4,4,4,1,ok,56659,940792,940792,0,165760,90880,0.124,
case_026,5,data_band_w8_k4,4,8,1,ok,42456,316016,316016,0,163840,90880,0.135,
case_026,5,data_band_w12_k4,4,12,1,ok,42756,201032,201032,0,163840,57344,0.1,
case_026,5,data_band_w4_k5,5,4,1,ok,56905,965984,965984,0,165760,90880,0.134,
case_026,5,data_band_w8_k5,5,8,1,ok,47197,337540,337540,0,163840,90116,0.114,
case_026,5,data_band_w12_k5,5,12,1,ok,45515,201080,201080,0,163840,58112,0.1,
case_071,5,data_band_w4_k2,2,4,1,ok,13988,108646,108646,0,56576,23506,0.116,
case_071,5,data_band_w8_k2,2,8,1,ok,13547,99812,99812,0,32256,44882,0.111,
case_071,5,data_band_w12_k2,2,12,1,ok,15701,65956,65956,0,36096,21412,0.101,
case_071,5,data_band_w4_k3,3,4,1,ok,12883,195210,195210,0,54784,17842,0.108,
case_071,5,data_band_w8_k3,3,8,1,ok,12193,176966,176966,0,33792,44754,0.109,
case_071,5,data_band_w12_k3,3,12,1,ok,14537,121158,121158,0,38784,21364,0.114,
case_071,5,data_band_w4_k4,4,4,1,ok,11628,202892,202892,0,41472,12850,0.124,
case_071,5,data_band_w8_k4,4,8,1,ok,12182,188712,188712,0,29952,44690,0.117,
case_071,5,data_band_w12_k4,4,12,1,ok,14383,108968,108968,0,32640,19636,0.111,
case_071,5,data_band_w4_k5,5,4,1,ok,11906,219474,219474,0,43776,11616,0.116,
case_071,5,data_band_w8_k5,5,8,1,ok,11944,232010,232010,0,29952,44690,0.113,
case_071,5,data_band_w12_k5,5,12,1,ok,13927,132298,132298,0,32640,19636,0.104,
case_100,5,data_band_w4_k2,2,4,1,ok,86742,576792,576792,0,230528,108292,0.27,
case_100,5,data_band_w8_k2,2,8,1,ok,89746,112284,79516,32768,306560,126978,0.231,
case_100,5,data_band_w12_k2,2,12,1,ok,81220,71808,71808,0,260480,131072,0.215,
case_100,5,data_band_w4_k3,3,4,1,ok,69439,846562,846562,0,231296,98320,0.296,
case_100,5,data_band_w8_k3,3,8,1,ok,69351,177440,177440,0,246656,88064,0.249,
case_100,5,data_band_w12_k3,3,12,1,ok,58322,141056,141056,0,229376,98816,0.232,
case_100,5,data_band_w4_k4,4,4,1,ok,63681,1061352,1061352,0,229376,73728,0.291,
case_100,5,data_band_w8_k4,4,8,1,ok,59454,357148,357148,0,229376,114690,0.24,
case_100,5,data_band_w12_k4,4,12,1,ok,58922,267904,267904,0,229376,131072,0.219,
case_100,5,data_band_w4_k5,5,4,1,ok,60548,1232264,1232264,0,229376,67328,0.281,
case_100,5,data_band_w8_k5,5,8,1,ok,62992,425248,425248,0,229376,51712,0.219,
case_100,5,data_band_w12_k5,5,12,1,ok,61417,285440,285440,0,229376,66048,0.223,
case_040,5,data_band_w4_k2,2,4,1,ok,166672,1389960,1165698,224262,232448,131072,0.664,
case_040,5,data_band_w8_k2,2,8,1,ok,165594,512398,477966,34432,229888,123854,0.592,
case_040,5,data_band_w12_k2,2,12,1,ok,176555,443522,409090,34432,229888,123854,0.6,
case_040,5,data_band_w4_k3,3,4,1,ok,136795,1951620,1818750,132870,229376,131072,0.7,
case_040,5,data_band_w8_k3,3,8,1,ok,146313,907370,907370,0,229568,106624,0.608,
case_040,5,data_band_w12_k3,3,12,1,ok,158621,799010,799010,0,229568,106624,0.622,
case_040,5,data_band_w4_k4,4,4,1,ok,122116,2344452,2244610,99842,229376,131072,0.673,
case_040,5,data_band_w8_k4,4,8,1,ok,138468,1165860,1165860,0,229504,90186,0.612,
case_040,5,data_band_w12_k4,4,12,1,ok,151958,891388,891388,0,229504,90250,0.578,
case_040,5,data_band_w4_k5,5,4,1,ok,114460,2525430,2426740,98690,229376,131072,0.648,
case_040,5,data_band_w8_k5,5,8,1,ok,130909,1218942,1218942,0,229632,90500,0.603,
case_040,5,data_band_w12_k5,5,12,1,ok,143132,1006966,1006966,0,229632,90436,0.555,
case_006,5,data_band_w4_k2,2,4,1,ok,40831,308812,308812,0,133760,89292,0.121,
case_006,5,data_band_w8_k2,2,8,1,ok,41635,88972,88972,0,196608,97290,0.12,
case_006,5,data_band_w12_k2,2,12,1,ok,46325,29580,17284,12296,196608,122892,0.123,
case_006,5,data_band_w4_k3,3,4,1,ok,32965,528836,528836,0,100992,87180,0.127,
case_006,5,data_band_w8_k3,3,8,1,ok,31774,196364,196364,0,196608,81014,0.125,
case_006,5,data_band_w12_k3,3,12,1,ok,31152,30084,30084,0,196608,94220,0.136,
case_006,5,data_band_w4_k4,4,4,1,ok,24586,637248,637248,0,100992,51200,0.148,
case_006,5,data_band_w8_k4,4,8,1,ok,31425,270096,270096,0,196608,74856,0.118,
case_006,5,data_band_w12_k4,4,12,1,ok,31427,33540,33540,0,196608,98312,0.102,
case_006,5,data_band_w4_k5,5,4,1,ok,22039,483828,483828,0,55424,70146,0.129,
case_006,5,data_band_w8_k5,5,8,1,ok,31782,331412,331412,0,196608,45160,0.148,
case_006,5,data_band_w12_k5,5,12,1,ok,31733,63620,63620,0,196608,61448,0.101,
case_069,5,data_band_w4_k2,2,4,1,ok,17873,149926,149926,0,76160,34786,0.151,
case_069,5,data_band_w8_k2,2,8,1,ok,17103,150564,150564,0,40704,67218,0.149,
case_069,5,data_band_w12_k2,2,12,1,ok,19958,97828,97828,0,41856,32740,0.148,
case_069,5,data_band_w4_k3,3,4,1,ok,15494,267464,267464,0,65664,23874,0.165,
case_069,5,data_band_w8_k3,3,8,1,ok,15214,215110,215110,0,36864,67154,0.162,
case_069,5,data_band_w12_k3,3,12,1,ok,18642,130758,130758,0,37248,29476,0.147,
case_069,5,data_band_w4_k4,4,4,1,ok,13899,286574,286574,0,55936,17922,0.174,
case_069,5,data_band_w8_k4,4,8,1,ok,16135,273640,273640,0,38400,67026,0.156,
case_069,5,data_band_w12_k4,4,12,1,ok,18282,161192,161192,0,39552,27844,0.168,
case_069,5,data_band_w4_k5,5,4,1,ok,14614,331026,331026,0,50176,15586,0.177,
case_069,5,data_band_w8_k5,5,8,1,ok,16100,293450,293450,0,34560,66962,0.163,
case_069,5,data_band_w12_k5,5,12,1,ok,17820,149386,149386,0,34944,24580,0.153,
case_046,5,data_band_w4_k2,2,4,1,ok,111408,930400,930400,0,214016,0,0.153,
case_046,5,data_band_w8_k2,2,8,1,ok,112308,930400,930400,0,303104,0,0.177,
case_046,5,data_band_w12_k2,2,12,1,ok,117226,930400,930400,0,434176,0,0.158,
case_046,5,data_band_w4_k3,3,4,1,ok,83766,1860800,1860800,0,197632,0,0.141,
case_046,5,data_band_w8_k3,3,8,1,ok,84528,1860800,1860800,0,287232,0,0.156,
case_046,5,data_band_w12_k3,3,12,1,ok,88996,1860800,1860800,0,417792,0,0.162,
case_046,5,data_band_w4_k4,4,4,1,ok,79548,2791200,2791200,0,181248,0,0.146,
case_046,5,data_band_w8_k4,4,8,1,ok,81008,2791200,2791200,0,271360,0,0.136,
case_046,5,data_band_w12_k4,4,12,1,ok,81652,2791200,2791200,0,401408,0,0.138,
case_046,5,data_band_w4_k5,5,4,1,ok,94213,3721600,3721600,0,181248,0,0.145,
case_046,5,data_band_w8_k5,5,8,1,ok,96175,3721600,3721600,0,271360,0,0.147,
case_046,5,data_band_w12_k5,5,12,1,duplicate,,,,,,,0.007,
case_080,5,data_band_w4_k2,2,4,1,ok,146604,2109440,2052096,57344,524288,0,0.211,
case_080,5,data_band_w8_k2,2,8,1,ok,145926,2191360,1904640,286720,524288,0,0.264,
case_080,5,data_band_w12_k2,2,12,1,duplicate,,,,,,,0.009,
case_080,5,data_band_w4_k3,3,4,1,ok,100098,983040,983040,0,491520,0,0.185,
case_080,5,data_band_w8_k3,3,8,1,duplicate,,,,,,,0.008,
case_080,5,data_band_w12_k3,3,12,1,duplicate,,,,,,,0.007,
case_080,5,data_band_w4_k4,4,4,1,ok,107717,4444160,4444160,0,200704,0,0.259,
case_080,5,data_band_w8_k4,4,8,1,ok,111314,4190208,4190208,0,294912,0,0.264,
case_080,5,data_band_w12_k4,4,12,1,duplicate,,,,,,,0.009,
case_080,5,data_band_w4_k5,5,4,1,ok,117286,5013504,5013504,0,151552,0,0.325,
case_080,5,data_band_w8_k5,5,8,1,duplicate,,,,,,,0.012,
case_080,5,data_band_w12_k5,5,12,1,duplicate,,,,,,,0.007,
case_010,5,data_band_w4_k2,2,4,1,ok,45196,206328,206328,0,181760,76548,0.111,
case_010,5,data_band_w8_k2,2,8,1,ok,53577,54360,54360,0,274048,39170,0.107,
case_010,5,data_band_w12_k2,2,12,1,ok,43584,20740,20740,0,231296,35080,0.105,
case_010,5,data_band_w4_k3,3,4,1,ok,34803,341144,341144,0,117376,46850,0.128,
case_010,5,data_band_w8_k3,3,8,1,ok,38990,98344,98344,0,230528,35080,0.104,
case_010,5,data_band_w12_k3,3,12,1,ok,31754,55684,55684,0,229376,32776,0.101,
case_010,5,data_band_w4_k4,4,4,1,ok,25173,365144,365144,0,115072,55042,0.12,
case_010,5,data_band_w8_k4,4,8,1,ok,31981,146080,146080,0,229376,36918,0.104,
case_010,5,data_band_w12_k4,4,12,1,ok,32104,104068,104068,0,229376,32776,0.099,
case_010,5,data_band_w4_k5,5,4,1,ok,23614,418324,418324,0,115072,54112,0.136,
case_010,5,data_band_w8_k5,5,8,1,ok,32549,194772,194772,0,229376,36864,0.106,
case_010,5,data_band_w12_k5,5,12,1,ok,33173,152452,152452,0,229376,32776,0.1,
case_005,5,data_band_w4_k2,2,4,1,ok,69475,528870,528870,0,95168,56692,0.791,
case_005,5,data_band_w8_k2,2,8,1,ok,65448,497956,497956,0,43776,101012,0.868,
case_005,5,data_band_w12_k2,2,12,1,ok,76861,306724,306724,0,51072,45844,0.843,
case_005,5,data_band_w4_k3,3,4,1,ok,56376,814284,814284,0,73440,38676,0.875,
case_005,5,data_band_w8_k3,3,8,1,ok,59378,758984,758984,0,41472,98932,0.855,
case_005,5,data_band_w12_k3,3,12,1,ok,71130,449096,449096,0,46464,39364,0.836,
case_005,5,data_band_w4_k4,4,4,1,ok,50557,1094512,1094512,0,70912,29508,0.779,
case_005,5,data_band_w8_k4,4,8,1,ok,55876,984684,984684,0,41472,98516,0.841,
case_005,5,data_band_w12_k4,4,12,1,ok,69678,587244,587244,0,46464,39364,0.853,
case_005,5,data_band_w4_k5,5,4,1,ok,55110,1426582,1426582,0,71008,24644,0.826,
case_005,5,data_band_w8_k5,5,8,1,ok,59497,1176976,1176976,0,43008,97684,0.852,
case_005,5,data_band_w12_k5,5,12,1,ok,70970,681616,681616,0,48000,37748,0.862,
case_086,5,data_band_w4_k2,2,4,1,ok,83571,667302,667302,0,118208,73492,1.109,
case_086,5,data_band_w8_k2,2,8,1,ok,78421,684388,669028,15360,52224,130324,1.162,
case_086,5,data_band_w12_k2,2,12,1,ok,93347,402916,402916,0,53376,61796,1.236,
case_086,5,data_band_w4_k3,3,4,1,ok,69099,1057548,1057548,0,96576,52836,1.28,
case_086,5,data_band_w8_k3,3,8,1,ok,72781,961352,955208,6144,49920,130132,1.318,
case_086,5,data_band_w12_k3,3,12,1,ok,87456,542792,542792,0,51072,52196,1.367,
case_086,5,data_band_w4_k4,4,4,1,ok,62591,1270576,1270576,0,82144,37492,1.209,
case_086,5,data_band_w8_k4,4,8,1,ok,68918,1202220,1202220,0,46080,130004,1.248,
case_086,5,data_band_w12_k4,4,12,1,ok,83843,658476,658476,0,46464,45796,1.265,
case_086,5,data_band_w4_k5,5,4,1,ok,68143,1893718,1893718,0,80608,33444,1.162,
case_086,5,data_band_w8_k5,5,8,1,ok,69323,1372048,1372048,0,46080,130004,1.167,
case_086,5,data_band_w12_k5,5,12,1,ok,83758,726928,726928,0,46464,45796,1.246,
case_073,5,data_band_w4_k2,2,4,1,ok,5110707,69960576,3721600,66238976,443904,0,1.35,
case_073,5,data_band_w8_k2,2,8,1,ok,5362243,105066880,3721600,101345280,453632,0,1.302,
case_073,5,data_band_w12_k2,2,12,1,ok,5478677,105046912,3721600,101325312,453632,0,1.207,
case_073,5,data_band_w4_k3,3,4,1,ok,3998716,71907584,7443200,64464384,443904,0,1.157,
case_073,5,data_band_w8_k3,3,8,1,ok,4528823,106066688,7443200,98623488,450048,0,1.072,
case_073,5,data_band_w12_k3,3,12,1,ok,4553286,106046720,7443200,98603520,450048,0,1.24,
case_073,5,data_band_w4_k4,4,4,1,ok,3256669,73854592,11164800,62689792,443904,0,1.191,
case_073,5,data_band_w8_k4,4,8,1,ok,3816429,107066496,11164800,95901696,448512,0,1.059,
case_073,5,data_band_w12_k4,4,12,1,ok,3853585,107046528,11164800,95881728,448512,0,0.957,
case_073,5,data_band_w4_k5,5,4,1,ok,2877163,75801600,14886400,60915200,443904,0,1.033,
case_073,5,data_band_w8_k5,5,8,1,ok,3397135,108066304,14886400,93179904,447488,0,0.898,
case_073,5,data_band_w12_k5,5,12,1,ok,3421812,108046336,14886400,93159936,447488,0,0.895,
case_088,5,data_band_w4_k2,2,4,1,ok,165807,1109982,1109982,0,83712,112626,0.745,
case_088,5,data_band_w8_k2,2,8,1,ok,157615,702242,702242,0,85440,83652,0.805,
case_088,5,data_band_w12_k2,2,12,1,ok,158332,521616,521616,0,98304,79554,0.647,
case_088,5,data_band_w4_k3,3,4,1,ok,141513,1963092,1963092,0,58304,66690,0.734,
case_088,5,data_band_w8_k3,3,8,1,ok,125669,1264820,1264820,0,86976,53634,0.721,
case_088,5,data_band_w12_k3,3,12,1,ok,133103,997140,997140,0,86208,67456,0.728,
case_088,5,data_band_w4_k4,4,4,1,ok,131621,2074716,2074716,0,57472,57728,0.8,
case_088,5,data_band_w8_k4,4,8,1,ok,111354,1538158,1538158,0,78592,41346,0.71,
case_088,5,data_band_w12_k4,4,12,1,ok,118339,1165844,1165844,0,78592,61826,0.651,
case_088,5,data_band_w4_k5,5,4,1,ok,126246,2215724,2215724,0,50048,58244,0.78,
case_088,5,data_band_w8_k5,5,8,1,ok,113400,1650878,1650878,0,51712,45248,0.695,
case_088,5,data_band_w12_k5,5,12,1,ok,117702,1202898,1202898,0,54784,45824,0.676,
case_096,5,data_band_w4_k2,2,4,1,ok,48115,351856,351856,0,134016,68770,0.216,
case_096,5,data_band_w8_k2,2,8,1,ok,52924,173912,173912,0,131968,35846,0.189,
case_096,5,data_band_w12_k2,2,12,1,ok,54155,126796,126796,0,131968,28684,0.169,
case_096,5,data_band_w4_k3,3,4,1,ok,39199,556236,556236,0,87424,58626,0.212,
case_096,5,data_band_w8_k3,3,8,1,ok,41579,277028,277028,0,129920,34820,0.193,
case_096,5,data_band_w12_k3,3,12,1,ok,44380,188940,188940,0,129920,36872,0.199,
case_096,5,data_band_w4_k4,4,4,1,ok,36407,743900,743900,0,81024,41986,0.27,
case_096,5,data_band_w8_k4,4,8,1,ok,36596,242340,242340,0,75136,38912,0.204,
case_096,5,data_band_w12_k4,4,12,1,ok,39397,230048,230048,0,75136,24576,0.172,
case_096,5,data_band_w4_k5,5,4,1,ok,33448,762924,762924,0,71040,57088,0.249,
case_096,5,data_band_w8_k5,5,8,1,ok,33891,339892,339892,0,72576,28674,0.178,
case_096,5,data_band_w12_k5,5,12,1,ok,34798,303012,303012,0,72576,24576,0.178,
case_068,5,data_band_w4_k2,2,4,1,ok,244393,1640338,1640338,0,82944,127364,1.417,
case_068,5,data_band_w8_k2,2,8,1,ok,233537,1142380,1142380,0,82944,115082,1.332,
case_068,5,data_band_w12_k2,2,12,1,ok,253818,957100,957100,0,99456,121190,1.248,
case_068,5,data_band_w4_k3,3,4,1,ok,205878,2450232,2450232,0,77376,76168,1.287,
case_068,5,data_band_w8_k3,3,8,1,ok,202193,2037416,2037416,0,52608,85768,1.279,
case_068,5,data_band_w12_k3,3,12,1,ok,210487,1574744,1574744,0,47808,103182,1.273,
case_068,5,data_band_w4_k4,4,4,1,ok,194640,2842070,2842070,0,57088,60810,1.372,
case_068,5,data_band_w8_k4,4,8,1,ok,175974,2226860,2226860,0,51712,99078,1.313,
case_068,5,data_band_w12_k4,4,12,1,ok,182966,1544476,1544476,0,47616,76174,1.156,
case_068,5,data_band_w4_k5,5,4,1,ok,188110,3009980,3009980,0,50432,57730,1.435,
case_068,5,data_band_w8_k5,5,8,1,ok,179774,2283100,2283100,0,52096,77380,1.244,
case_068,5,data_band_w12_k5,5,12,1,ok,180923,1606216,1606216,0,47616,67138,1.191,
