case,singlecore_cycles,critical_path_cycles,matrix_work_over_5,vector_work_over_5,original_ddr_bytes_over_60,lower_bound_cycles,speedup_upper_bound
case_001,233110.0,1316,46560.0,6080.0,27325.866666666665,46560.0,5.006658075601375
case_002,261945.0,2976,48000.0,7185.6,20403.2,48000.0,5.4571875
case_003,602212.0,28285,87758.4,65037.8,21404.4,87758.4,6.862157924483583
case_004,392357.0,2748,77122.8,9590.4,13209.6,77122.8,5.087431991577069
case_005,95618.0,6894,12776.4,12186.0,5556.9,12776.4,7.4839547916471
case_006,82837.0,2836,3732.0,13800.0,9055.8,13800.0,6.00268115942029
case_007,1012562.0,1632,195804.0,50616.0,28876.8,195804.0,5.171303957018242
case_008,487605.0,4512,50025.6,47433.6,44240.4,50025.6,9.747109479946268
case_009,153261.0,9965,13032.0,23998.4,8255.533333333333,23998.4,6.3863007533835585
case_010,86969.0,3146,8922.0,11099.2,6402.5,11099.2,7.8356097736773815
case_011,184697.0,2120,36889.6,5107.2,10103.466666666667,36889.6,5.006749869882027
case_012,59088.0,2506,7114.4,6447.4,9248.3,9248.3,6.389066098634344
case_013,263949.0,400,52742.4,8659.2,42120.53333333333,52742.4,5.004493538405534
case_014,17698626.0,31968,3445149.6,330284.8,165545.66666666666,3445149.6,5.1372590612610844
case_015,177362.0,7913,18996.0,20299.4,14743.566666666668,20299.4,8.737302580371834
case_016,7715523.0,655140,0.0,1542995.0,6553.633333333333,1542995.0,5.000355153451567
case_017,162810.0,5980,22120.0,13440.4,10731.033333333333,22120.0,7.3603074141048825
case_018,1004367.0,3539,194264.0,22546.2,26547.466666666667,194264.0,5.170113865667339
case_019,81144.0,12234,9687.2,8055.2,3116.4,12234,6.632663070132418
case_020,532746.0,1824,0.0,106521.6,39321.6,106521.6,5.001295511896179
case_021,6567937.0,5544,1238400.0,156672.0,55637.333333333336,1238400.0,5.303566698966408
case_022,56780.0,1986,896.8,10817.4,3561.4333333333334,10817.4,5.248950764509032
case_023,122614.0,4218,12676.8,13911.6,7390.733333333334,13911.6,8.813795681301935
case_024,2555343.0,216948,0.0,510959.0,6553.633333333333,510959.0,5.001072493096315
case_025,4863026.0,1632,940564.8,243139.2,136960.0,940564.8,5.170325319425094
case_026,99203.0,4319,8198.4,14153.6,8814.233333333334,14153.6,7.009029504860954
case_027,2363952.0,21048,445824.0,57446.4,33996.8,445824.0,5.302433247200689
case_028,43836040.0,246816,7794921.6,395107.2,98476.8,7794921.6,5.623666567730457
case_029,37555.0,407,0.0,7497.0,7169.4,7497.0,5.0093370681605975
case_030,2808034.0,1494,555296.0,81364.4,39901.0,555296.0,5.056823748055091
case_031,1414369.0,13057,266898.4,44205.0,36417.333333333336,266898.4,5.299278676829834
case_032,41443.0,1146,2030.0,6799.0,4884.8,6799.0,6.095455214002059
case_033,1774196.0,6300,345621.6,38408.4,49548.5,345621.6,5.13334814722228
case_034,842996.0,3677,149832.0,38991.2,38006.433333333334,149832.0,5.626274761065727
case_035,169571.0,17200,12438.4,28781.8,6847.566666666667,28781.8,5.891605111563558
case_036,931510.0,1316,186240.0,24320.0,109245.86666666667,186240.0,5.001664518900344
case_037,210001.0,904,41920.0,5776.0,10240.0,41920.0,5.009565839694656
case_038,1364555.0,8754,265000.0,33555.2,46715.833333333336,265000.0,5.149264150943396
case_039,1435262.0,784,275576.0,19684.0,74820.26666666666,275576.0,5.208225680030191
case_040,253454.0,16120,22394.4,37150.2,15187.3,37150.2,6.822412799931091
case_041,6003957.0,1767,1179048.0,121550.0,82499.66666666667,1179048.0,5.092207441936206
case_042,1686740.0,5685,319815.2,45205.2,39816.066666666666,319815.2,5.27410829754183
case_043,677656.0,27474,103550.4,68768.2,23852.033333333333,103550.4,6.544214218390272
case_044,154407.0,7672,14880.8,1997.6,16257.6,16257.6,9.497527310304104
case_045,125614.0,1824,0.0,25095.2,9284.266666666666,25095.2,5.005499059581115
case_046,276455.0,28456,41849.6,3680.0,17691.2,41849.6,6.605917380333384
case_047,326508.0,19990,30752.0,51874.0,7732.366666666667,51874.0,6.294251455449744
case_048,222220.0,75960,27907.2,24012.0,6913.166666666667,75960,2.9254870984728805
case_049,196276.0,8921,19092.8,33143.0,2542.3333333333335,33143.0,5.922095163382917
case_050,149690.0,6829,10393.6,26682.2,5322.933333333333,26682.2,5.610107112606906
case_051,607628.0,51552,0.0,121416.0,6553.633333333333,121416.0,5.004513408446992
case_052,180301.0,3665,28305.6,12519.0,13503.4,28305.6,6.369799615623764
case_053,1472686.0,56912,242545.2,68815.2,49921.46666666667,242545.2,6.071800225277597
case_054,815051.0,20291,114843.2,88134.4,26771.266666666666,114843.2,7.097076709809549
case_055,118835.0,6962,12359.2,13809.8,10430.166666666666,13809.8,8.605121001028255
case_056,277285.0,13737,26203.2,49190.6,3693.3333333333335,49190.6,5.636950962175701
case_057,59726.0,8189,2812.4,9513.0,5707.666666666667,9513.0,6.278355933985073
case_058,4539717.0,746,871794.0,62016.0,127795.2,871794.0,5.207327648504119
case_059,829473.0,2120,147558.4,20428.8,22391.466666666667,147558.4,5.621320101058293
case_060,888789.0,4252,144046.4,54707.8,34983.433333333334,144046.4,6.170157671416988
case_061,77191.0,11506,14291.2,5514.4,9069.8,14291.2,5.401295902373488
case_062,2854809.0,3120,523680.0,78537.6,223360.0,523680.0,5.45143790100825
case_063,1070397.0,3048,196320.0,29433.6,83686.4,196320.0,5.452307457212714
case_064,19116.0,3528,1461.6,3148.8,623.5666666666667,3528,5.418367346938775
case_065,53068.0,1265,5652.0,5903.6,5270.033333333334,5903.6,8.989091401856493
case_066,359070.0,32240,53938.8,34136.6,18450.566666666666,53938.8,6.65698903201406
case_067,63834834.0,863040,11783046.4,472121.6,100802.13333333333,11783046.4,5.417515287048348
case_068,362095.0,48319,49820.2,30939.2,46187.5,49820.2,7.268035856941562
case_069,25144.0,2298,3334.8,3057.6,2100.9,3334.8,7.539882451721242
case_070,117300.0,4054,18366.4,9442.8,6999.4,18366.4,6.386662601271888
case_071,18919.0,2298,2506.8,2190.8,2024.1,2506.8,7.54707196425722
case_072,23897828.0,31968,4585618.8,341639.8,185053.06666666668,4585618.8,5.211472876899406
case_073,10081626.0,220224,1632134.4,85612.8,67351.46666666666,1632134.4,6.176958221087675
case_074,1682239.0,3091,315884.8,39684.0,62945.46666666667,315884.8,5.325482580991552
case_075,1441809.0,182300,221504.0,128932.0,30619.833333333332,221504.0,6.509178163825484
case_076,6185113.0,2774,1212328.8,189449.6,71177.9,1212328.8,5.101844483113822
case_077,495320.0,15619,83081.2,27334.4,35689.333333333336,83081.2,5.961878258860007
case_078,2296143.0,246816,407577.6,20659.2,39084.8,407577.6,5.6336339386659136
case_079,31052251.0,5952,5884876.8,752025.6,155852.8,5884876.8,5.276618705084871
case_080,292138.0,746,57808.8,4104.0,32972.8,57808.8,5.053521263198682
case_081,151795.0,407,0.0,30345.0,29019.0,30345.0,5.002306805074971
case_082,721041.0,54690,113587.2,71953.2,9866.766666666666,113587.2,6.347907158553077
case_083,1057993.0,28456,162167.2,14260.0,23971.733333333334,162167.2,6.524087485015465
case_084,2507412.0,2328,253310.4,248140.8,220605.5,253310.4,9.898575028897353
case_085,3187899.0,165564,513043.2,344941.2,28162.233333333334,513043.2,6.213704810822948
