case,cores,candidate,status,proxy_cycles,proxy_ddr_bytes,makespan_cycles,added_copy_bytes,spill_bytes,seconds,error
case_001,5,base_w0_k5,ok,46560,1644160,47502,4608,0,0.09125130000757053,
case_001,5,valley_w2_k5,ok,46560,1644160,47502,4608,0,0.09811210000771098,
case_001,5,valley_w4_k5,ok,46560,1644160,47502,4608,0,0.114777500013588,
case_001,5,data_w2_k5,ok,46560,1644160,47502,4608,0,0.10184440000739414,
case_001,5,data_w4_k5,ok,46560,1644160,47502,4608,0,0.10423950001131743,
case_001,5,band_w2_k5,ok,46560,1644160,64407,373248,368640,0.11274559999583289,
case_002,5,base_w0_k5,ok,240000,1224192,261945,0,0,0.33590879999974277,
case_002,5,valley_w2_k5,ok,240000,1224192,261945,0,0,0.3823724999965634,
case_002,5,valley_w4_k5,ok,240000,1224192,261945,0,0,0.3665747999912128,
case_002,5,data_w2_k5,ok,48900,2746368,65230,1522176,0,0.37621970000327565,
case_002,5,data_w4_k5,ok,48900,2586624,53115,1362432,0,0.34600949999003205,
case_002,5,band_w2_k5,ok,49200,1886208,62725,662016,0,0.3506290999939665,
case_010,5,base_w0_k5,ok,28759,529302,31015,145152,0,0.09024580000550486,
case_010,5,valley_w2_k5,ok,28759,529302,31015,145152,0,0.10163469999679364,
case_010,5,valley_w4_k5,ok,28759,529302,31015,145152,0,0.09354669999447651,
case_010,5,data_w2_k5,ok,32835.1,1970106,36015,1585956,0,0.16574149999360088,
case_010,5,data_w4_k5,ok,13472,802474,23614,418324,0,0.11930320000101347,
case_010,5,band_w2_k5,ok,45759.433333333334,2745566,48816,2361416,0,0.196083600007114,
case_015,5,base_w0_k5,ok,29170,1197958,43437,321536,8192,0.15280459998757578,
case_015,5,valley_w2_k5,ok,29170,1197958,43437,321536,8192,0.17288709999411367,
case_015,5,valley_w4_k5,ok,29170,1197958,43437,321536,8192,0.16349259999697097,
case_015,5,data_w2_k5,ok,57814.8,3468888,68157,2608850,24576,0.2986202000029152,
case_015,5,data_w4_k5,ok,44587.433333333334,2675246,55608,1807016,16384,0.23221630000625737,
case_015,5,band_w2_k5,ok,83369.43333333333,5002166,88738,4117552,0,0.30711239999800455,
case_004,5,base_w0_k5,ok,79902,1234944,88341,442368,0,0.08558020000054967,
case_004,5,valley_w2_k5,ok,79902,1234944,88341,442368,0,0.08621739999216516,
case_004,5,valley_w4_k5,ok,79902,1234944,88341,442368,0,0.08662279999407474,
case_004,5,data_w2_k5,ok,78744,3938304,87127,3158016,12288,0.1601094999932684,
case_004,5,data_w4_k5,ok,79902,1234944,88341,442368,0,0.0859506999986479,
case_004,5,band_w2_k5,ok,83456.0,5007360,111860,4349952,135168,0.1786088000080781,
case_044,5,base_w0_k5,ok,78284.26666666666,4697056,132892,6196032,2474432,0.15678490001300815,
case_044,5,valley_w5_k5,ok,78284.26666666666,4697056,132892,6196032,2474432,0.15902590000769123,
case_044,5,valley_w10_k5,ok,78284.26666666666,4697056,132892,6196032,2474432,0.16354080000019167,
case_044,5,data_w5_k5,ok,78284.26666666666,4697056,83237,3721600,0,0.1682074999989709,
case_044,5,data_w10_k5,ok,78284.26666666666,4697056,84213,3721600,0,0.15743750000547152,
case_044,5,band_w5_k5,ok,78284.26666666666,4697056,83118,3721600,0,0.1864371999981813,
case_096,5,base_w0_k5,ok,26707,354342,27053,134784,0,0.12884119999944232,
case_096,5,valley_w2_k5,ok,26707,354342,27053,134784,0,0.13010150000627618,
case_096,5,valley_w4_k5,ok,26707,354342,27053,134784,0,0.12765589999617077,
case_096,5,data_w2_k5,ok,30532.366666666665,1831942,41103,1612384,0,0.2322102000034647,
case_096,5,data_w4_k5,ok,16374.7,982482,33448,762924,0,0.18378459999803454,
case_096,5,band_w2_k5,ok,36911.566666666666,2214694,49008,1995136,0,0.25109839999640826,
case_068,5,base_w0_k5,ok,235728,2773194,304058,1944,0,1.1219559000019217,
case_068,5,valley_w2_k5,ok,103192.3,6191538,123877,3420288,0,1.220253399995272,
case_068,5,valley_w4_k5,ok,103192.3,6191538,123877,3420288,0,1.3017636000004131,
case_068,5,data_w2_k5,ok,135205,6700896,211125,3929646,0,1.6423040999943623,
case_068,5,data_w4_k5,ok,135641,5781230,188110,3009980,0,1.2883395000098972,
case_068,5,band_w2_k5,ok,133216.36666666667,7992982,172977,5221732,0,2.0199179999908665,
