case,cores,selected,status,makespan_cycles,added_copy_bytes,spill_bytes,inference_seconds,evaluation_seconds,error
case_001,5,component,ok,47502,4608,0,0.030222600005799904,0.07533909998892341,
case_002,5,band,ok,62725,662016,0,0.10037660000671167,0.24050569999963045,
case_004,5,component,ok,88341,442368,0,0.04037479999533389,0.07854889999725856,
case_010,5,data_wide,ok,23614,418324,0,0.04146259999834001,0.1010997999983374,
case_015,5,component,ok,43437,321536,8192,0.06010459999379236,0.12472760000673588,
case_044,5,data,ok,83237,3721600,0,0.06797889999870677,0.15471070000785403,
case_068,5,valley,ok,123877,3420288,0,0.3336654000013368,0.9427891000086674,
case_096,5,component,ok,27053,134784,0,0.06592670000100043,0.12447200001042802,
case_021,5,component,ok,1250168,11431936,2011136,0.23153520000050776,0.7806127999938326,
case_057,5,component,ok,16538,27936,0,0.050069400007487275,0.0912798999925144,
case_073,5,band,ok,3224273,95796224,80909824,0.2637460999976611,0.767829200005508,
case_099,5,component,ok,337221,10698752,3080192,0.3908874000044307,1.0606363999977475,
