case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error,l2_speedup,no_l2_speedup,q2_cycles,vs_q2_gain
case_001,5,ok,47502,47502,4608,4608,0.0,0,824960,1.0,0.2212319000000207,b308c3724f01713e6c495b3ffc16e4df2b3befa5489fa19371610f2c4ee5ff6c,,4.9073723211654245,4.9073723211654245,47502.0,1.0
case_002,5,ok,60061,60061,491520,491520,0.0,0,1468416,1.0,0.6162821999996595,87ba6d75842a1023453dbafc6ffc75508d5f9cd125e9a9edad18b2325d42a4c7,,4.361315995404672,4.361315995404672,62725.0,1.0443549058457235
case_003,5,ok,157729,151659,4863512,4863512,0.5487943414425035,2560400,2105100,1.0400240012132482,8.140476600000056,994eed962bf061e0f32ba212259e5caa14ae1e9c43b6258b8953c7cd2eab5d07,,3.9708292946676425,3.81801697848842,157729.0,1.0400240012132482
case_004,5,ok,87127,84019,3158016,3158016,0.2850182704019488,718848,1803264,1.0369916328449518,0.43436069999961546,e2c50678796f3c320fbf027486c22883fdad3e861188fa158f842f9a3c1bb521,,4.669860388721599,4.503276825783052,88341.0,1.0514407455456505
case_005,5,ok,35237,30287,1696344,1696344,0.5508851295750303,799320,651654,1.1634364578862217,1.65790829999969,9cac7095370eb8bf453d6336f50c1e9a4470c68c8bd1c0b6f53bd8d799ab96eb,,3.157064086901971,2.7135681244146777,55110.0,1.819592564466603
case_006,5,ok,31729,31729,63616,63616,0.01708410229369892,10368,596512,1.0,0.21365259999993214,8a5eb9dba0b589a1b509adb12b4a8de5a22ae7a5a808895fde28ad23566254f3,,2.6107661760534526,2.6107661760534526,22039.0,0.6946011535188629
case_007,5,ok,203834,203834,110592,110592,0.0,0,990720,1.0,1.2834121000000778,6f3a0c717b2c7f9bf8c13b11ea4418ca16d0fd764deaba68e4a2e7546e0ab1d5,,4.967581463347626,4.967581463347626,203834.0,1.0
case_008,5,ok,100603,100603,0,0,0.0,0,1990872,1.0,0.3192282999998497,17b2c0b5826fc6f9f8d75100cdcc99ba3fb12a305bb6c00d02e7867a270c7108,,4.846823653370178,4.846823653370178,100603.0,1.0
case_009,5,ok,63440,61424,1282496,1282496,0.3789728803391879,502872,824062,1.0328210471476946,3.375669800000196,315dcb3c1442c06343ad09e45c24d586f9589dcb23cb0b582bc1fc6e10acee0a,,2.495132195884345,2.4158417402269863,61215.0,0.9965974212034384
case_010,5,ok,30679,30636,134784,134784,0.1221133943129387,63360,455502,1.001403577490534,0.1769643000002361,36c041507b5ab63c9ee52045e543886a0689c58c58c1e92b0841d6c601004832,,2.8387844366105237,2.834805567326184,23614.0,0.7707925316620968
