case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error
case_001,5,ok,47502,47502,4608,4608,0.0,0,824960,1.0,0.18833799999993062,5bc2ca2ae4423fdc659215ac6f3a876f85f88764538eaf3752d0a4901f62a878,
case_002,5,ok,53115,53115,1362432,1362432,0.30243572395128554,686592,1583616,1.0,0.6702204000002894,83966f62ad40ad1105f6ed128af18bc77951972cf36cffa9b971eface1c23499,
case_003,5,ok,157729,151659,4863512,4863512,0.5487943414425035,2560400,2105100,1.0400240012132482,7.093596600000183,994eed962bf061e0f32ba212259e5caa14ae1e9c43b6258b8953c7cd2eab5d07,
case_004,5,ok,87127,84019,3158016,3158016,0.2850182704019488,718848,1803264,1.0369916328449518,0.3959146000001965,e2c50678796f3c320fbf027486c22883fdad3e861188fa158f842f9a3c1bb521,
case_005,5,ok,35237,30287,1696344,1696344,0.5508851295750303,799320,651654,1.1634364578862217,1.5890678000000662,9cac7095370eb8bf453d6336f50c1e9a4470c68c8bd1c0b6f53bd8d799ab96eb,
case_006,5,ok,22039,21943,483828,483828,0.20561978371344827,183938,710616,1.0043749715171124,0.26730399999996735,fb6001b5beed76b978d41efb6fa07776b6c7bb463d871fa8b81a5fef0a51f767,
case_007,5,ok,203834,203834,110592,110592,0.0,0,990720,1.0,1.3045563999999104,8de95c02ab9d47e7a9c4c97ef5f10fd6c26f1c90b7978fa9fe4744b7332ef71f,
case_008,5,ok,100603,100603,0,0,0.0,0,1990872,1.0,0.30322520000027,07a18d1888b2516c41957b36c86a05ecdc8ce35652d4130f728c3fafd007ff54,
case_009,5,ok,63440,61424,1282496,1282496,0.3789728803391879,502872,824062,1.0328210471476946,3.443852600000355,315dcb3c1442c06343ad09e45c24d586f9589dcb23cb0b582bc1fc6e10acee0a,
case_010,5,ok,23614,22992,418324,418324,0.24440699801009905,169988,525524,1.02705288796103,0.2619629000000714,5a317295f3d49ee4f4f1ff1c34a064e944f6ec7872b1146afac9b1e7f425ab25,
case_011,5,ok,65327,47732,3244032,3244032,0.4649859943977591,1359872,1564672,1.368620631861225,0.4693638999997347,fcf1482f9f9201c84fc60b91140c384e9465e493e12ac4ebf8cf73da2a0f252e,
case_012,5,ok,12519,12460,25344,25344,0.04974874371859297,25344,484096,1.0047351524879615,0.3271860999998353,3f0dcbef83bc54b9cdecc8a911de9c53ea5a54241872a024baf7f2a690daf1f4,
case_013,5,ok,54363,54363,32768,32768,0.0,0,2056192,1.0,0.8932982999999695,5ddfcd4283c7a16c47e466899301f1846a18d1695cde56169bb0025a7f578e3d,
case_014,5,ok,3659604,3659089,43571208,43571208,0.20660799514640657,11049984,42432864,1.0001407454150473,26.944906900000205,0ffa053ddf0796f2382b8bea3ad246fd3ba3312044e76b0c06abe43fc7d8bdaf,
case_015,5,ok,48778,48712,313344,313344,0.07010033176771918,83968,1113858,1.001354902282805,0.38324629999988247,7bdf44dc9f2b1a006cb53fb7a44e6f78429ba9c60d79fc257c8d57b089c4d2fd,
case_016,5,ok,2242797,2242797,15844,15844,0.004547063604046488,1824,399314,1.0,15.636644799999885,cf4dca010efd6899e84767478f9fde32235107f793f6833325eef8c5bcc6e33e,
case_017,5,ok,36650,36650,339840,339840,0.04081567343803931,35712,839246,1.0,0.43206610000015644,92d884de784f7fb0fa1e40b9421b2f491075b33161082201f2bcd773cd60f52b,
case_018,5,ok,212066,211720,4628480,4628480,0.673550363313356,4190208,2030868,1.001634233893822,1.1215620000002673,6e0c9709c3c206b06a1947b281146f4a779d988f36bcfd22020c2b77f50fb259,
case_019,5,ok,22893,22848,584808,584808,0.17420237138546998,98848,468584,1.001969537815126,0.26680439999972805,6d1e70a73c2d19e67f7211c65bc39a72b208a34754b68140b501ab7082985291,
case_020,5,ok,107650,107650,0,0,0.0,0,1179648,1.0,2.0026450000000295,e7becef51f5bdcb7e86664b3eef600e7d40c2d4bcdaa6e90e581c1041c049385,
case_021,5,ok,1252641,1248535,9420800,9420800,0.5598260869565217,6592512,5183488,1.003288654302843,1.7231758000002628,5f0a19372c36cfdce8c304d5bc9c5b362d84123585ca7e8af162483f781011ea,
case_022,5,ok,11828,11828,20736,20736,0.08851098704092608,20736,213540,1.0,0.34753660000023956,4b0a839d963f84618d63b838e1466cf86d074860f725b71414452cc54f2f2ebb,
case_023,5,ok,25191,25191,280992,280992,0.32420005761319176,231840,483274,1.0,0.2672032999998919,87fe7e47b1da5f384331823dae640a2845e310bfcb7fa803ac0e99121fb4acc5,
case_024,5,ok,744621,744621,5236,5236,0.0015157869207799229,600,395234,1.0,3.071215299999949,40d76d768c7f0a3558aa70d931163983df3fa785b831f842ae9e36adcf806835,
case_025,5,ok,975282,975282,110592,110592,0.0,0,4233216,1.0,11.357657000000017,3863b182c24ce4f308900690c0c83e40425641ccc478f12574bce2d3ece14536,
