case,cores,singlecore_reference_cycles,first_stage_cycles,q3_l2_cycles,same_plan_no_l2_cycles,first_stage_speedup,speedup_vs_reference,same_plan_l2_gain,added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,official_search_calls,invalid_candidates,selected,branch_called,plan_sha256
case_001,1,233110.0,233110,233110,233110,1.0,1.0,1.0,0,0,13440,8192,0.0,0,820352,3,0,greedy,False,64d6f2b297b709b570b8b55d1d194fec38860aedf63c11aaf60cc64933d51970
case_001,2,233110.0,116868,116868,116868,1.9946435294520313,1.9946435294520313,1.0,1152,0,13440,8192,0.0,0,821504,15,0,greedy,False,fc7d4c6b099f9a509b58372974ca9b35bfd7db996285481d33b9f846e2c8cf38
case_001,3,233110.0,78545,78545,78545,2.9678528232223567,2.9678528232223567,1.0,2304,0,13440,8192,0.0,0,822656,24,0,greedy,False,037717ddda462b41200b189c3cc49d60b005dcd00cfc8a0b57c9e3a76ed30182
case_001,4,233110.0,58984,58984,58984,3.952088702020887,3.952088702020887,1.0,3456,0,13440,8192,0.0,0,823808,24,0,greedy,False,3ddd1070a59b500fd6ce5eec28f04a65ce82edb170caa33b50a06137ea49146d
case_001,5,233110.0,47502,47502,47502,4.9073723211654245,4.9073723211654245,1.0,4608,0,13440,8192,0.0,0,824960,24,0,greedy,False,8bbb5cdc53db45251b1d0840f587de58fd1d232ff41cadc1bab3b9d244fbe497
case_002,1,261945.0,255084,255084,255084,1.026897022157407,1.026897022157407,1.0,3551232,3551232,523776,130560,0.34597875569044007,1400832,2648064,9,0,greedy,False,6c793fa138c67945235d8d17af3fef6393081dcca9128daffe9fd871da447944
case_002,2,261945.0,124209,124209,124209,2.1089051518005943,2.1089051518005943,1.0,1121280,178176,463872,130560,0.22654462242562928,456192,1557504,24,0,greedy,False,39812125316561a0c947b96933d8ff9b5675ae65b61a5d700b278198add92f90
case_002,3,261945.0,83772,83772,83772,3.1268801031370863,3.1268801031370863,1.0,1003008,0,311808,102912,0.23547880690737832,460800,1496064,19,0,greedy,False,c014679dd9d816c5cfdf5478ee7ed50d590d84d4fe43e81b37ee56615b467f33
case_002,4,261945.0,65958,65958,65958,3.9713908851087054,3.9713908851087054,1.0,1274880,0,67584,24576,0.3077459874389393,677376,1523712,24,0,greedy,False,a97b33994b721af38858ec440382032f370a5f6ea81e3b0820eec6d9081278ca
case_002,5,261945.0,53071,53071,53071,4.93574645286503,4.93574645286503,1.0,1287168,0,53760,21504,0.3125,691200,1520640,24,0,greedy,False,e174059bd22065cfa5fbf65f1033ae208f6ec91231e41bd4b6fe6f5a662344a8
case_003,1,602212.0,560895,560895,560895,1.0736626284777009,1.0736626284777009,1.0,80932,80932,216576,129024,0.0,0,1324696,24,0,greedy,False,19ef62f7ea12f58045388dca04aade23e0338bd39051a69416c8f5dd934217fa
case_003,2,602212.0,313319,313319,313320,1.9220411146467338,1.9220411146467338,1.000003191635362,1059210,0,119424,57636,0.14431350760561323,284676,1687946,24,0,greedy,False,c9aba022acb3e0a08a287af17c9dd295ffbbeacc0323e21a8e18fbcf7a0fef6f
case_003,3,602212.0,217174,217174,217191,2.7729470378590437,2.7729470378590437,1.0000782782469357,2471182,0,118784,29058,0.39288095826541225,1179530,1822728,24,0,greedy,False,58c32865b5d7906b53934fbd070618cd96781abba3656019304b9150b10f58dd
