case,cores,singlecore_reference_cycles,first_stage_cycles,q3_l2_cycles,same_plan_no_l2_cycles,first_stage_speedup,speedup_vs_reference,same_plan_l2_gain,added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,official_search_calls,invalid_candidates,selected,branch_called,plan_sha256
case_001,5,233110.0,47502,47502,47502,4.9073723211654245,4.9073723211654245,1.0,4608,0,13440,8192,0.0,0,824960,24,0,greedy,False,8bbb5cdc53db45251b1d0840f587de58fd1d232ff41cadc1bab3b9d244fbe497
case_002,5,261945.0,53071,53071,53071,4.93574645286503,4.93574645286503,1.0,1287168,0,53760,21504,0.3125,691200,1520640,24,0,greedy,False,e174059bd22065cfa5fbf65f1033ae208f6ec91231e41bd4b6fe6f5a662344a8
case_003,5,602212.0,151659,151659,157729,3.9708292946676425,3.9708292946676425,1.0400240012132482,4863512,0,116736,19204,0.5487943414425035,2560400,2105100,26,0,greedy,False,56d403fcf969d53e1b96058db2c14aea7ea367ace0a7f0af7fb4cd585eafc96e
case_004,5,392357.0,83941,83941,87522,4.674199735528526,4.674199735528526,1.0426609165961807,3170304,12288,285696,129024,0.28311057108140947,715776,1812480,24,0,greedy,False,f0131dd6b1ff51ccad0c78d96a0f1cb654058e992c0e63b45c88d0e2199a84bc
case_005,5,95618.0,30287,30287,35237,3.157064086901971,3.157064086901971,1.1634364578862217,1696344,0,24768,15748,0.5508851295750303,799320,651654,58,0,greedy,True,21f099934189dca75894e222171ac0b3c7232bdc63b8107aa380ae644d56d288
case_006,5,82837.0,21931,21931,21964,3.777164743969723,3.777164743969723,1.001504719347043,483832,0,80512,98304,0.2044790935391412,182918,711638,24,0,greedy,False,1e2ce93723a2806979f06a894d6409b1096a08d2c87879683d309aeb8b585475
case_007,5,1012562.0,197052,197052,197052,5.1385522603170735,5.1385522603170735,1.0,2260992,2150400,195072,129024,0.0,0,2065920,24,0,greedy,False,053200d784a79c692133d65c7df232e2ba2d387b7bec5f4035d8cb32bfea885c
case_008,5,487605.0,97488,97488,97488,5.001692516001969,5.001692516001969,1.0,2875392,2875392,30720,129216,0.0,0,3428568,24,0,greedy,False,24eaae7a509a599240d5820eec96ae521381a7194af0b170caebc13d3a9b3bbd
case_009,5,153261.0,52461,52461,53909,2.9214273460284783,2.9214273460284783,1.027601456319933,861326,0,32800,47114,0.17412034867003573,176822,838694,55,0,greedy,True,34d5b9aba01fd670713b9a24a10eae73c1dbf9b1f2be6f92f4f4edbc7070e82d
case_010,5,86969.0,21246,21246,22139,4.093429351407324,4.093429351407324,1.0420314412124636,411780,0,115072,41634,0.2405697445972495,166532,525708,24,0,greedy,False,a65bf0555823ea5976214832d800a0b6a1d1cada13777c0eaddae9f7f158db5f
case_011,5,184697.0,40639,40639,44348,4.54482147690642,4.54482147690642,1.091267009522872,2007040,0,69632,0,0.503683241252302,1120256,1103872,24,0,greedy,False,3213d84149591e691cbca8c147d70d60995d5a430b272e5a14b85369b4450ec6
case_012,5,59088.0,14022,14022,14022,4.213949507916132,4.213949507916132,1.0,49552,0,28224,30728,0.07483696874297278,39936,493704,24,0,greedy,False,b052d6ad867960a6d44e7e9640c2b3efd31a969ec6e01d70ec3205f742671c2b
case_013,5,263949.0,54363,54363,54363,4.855305998565201,4.855305998565201,1.0,32768,0,20480,0,0.0,0,2056192,24,0,greedy,False,95cba29670919951d8751c3c4460a7c16f4c6021c845ff2bbc0736d395dc5266
case_014,5,17698626.0,3602243,3602243,3635836,4.913223788622811,4.913223788622811,1.0093255785353736,90451344,51367680,523776,132,0.3797996475347171,38093616,62205624,9,0,greedy,False,04e01011bb311711f4c9df997a32b0f59782512c38fe382c61dfb5111eb9eac4
case_015,5,177362.0,39523,39523,39523,4.487564203122233,4.487564203122233,1.0,427784,0,228352,106508,0.320716442295822,420864,891398,24,0,greedy,False,0bb73b31c674e54f3927ace8a24b7d4db484599e150b388a30c8fc48342ac86a
case_016,5,7715523.0,2241799,2241799,2241799,3.441665822850309,3.441665822850309,1.0,14628,0,98304,65540,0.0030359773300377,1216,399314,51,0,greedy,True,49935b174f06fffc6fd35615bbe5f1b4546c3b2a7b5a651cb540f43858545634
case_017,5,162810.0,35268,35268,35268,4.616366110922082,4.616366110922082,1.0,341016,0,123520,77864,0.3050534058042145,267264,608858,24,0,greedy,False,d2feae5566c8e0179686e650ace5666a2fa3e76814958451768afe35605a2423
case_018,5,1004367.0,201201,201201,201688,4.991858887381276,4.991858887381276,1.0024204651070323,5316704,651264,524288,98304,0.6427086113498183,4382720,2436420,24,0,greedy,False,2e49084d8ed303aeaa4202d6f87d0e1636f931a8196e48459fd7b8ec4ef72777
case_019,5,81144.0,17830,17830,17830,4.550981491867639,4.550981491867639,1.0,60004,0,36864,19968,0.13609402737697607,32352,205366,24,0,greedy,False,1534c959f92a01dd95512819e6f4bed7076c4ce6e9c6d07656aa357319f63285
case_020,5,532746.0,107650,107650,107650,4.948871342313051,4.948871342313051,1.0,0,0,0,32768,0.0,0,1179648,24,0,greedy,False,21b4f2bcfcd10672e44244329af010bcb18fe257d247e9057058fe7fdd09aa12
case_021,5,6567937.0,1247669,1247669,1248538,5.264166217161764,5.264166217161764,1.00069649883102,12322816,2754560,524288,0,0.5804235030150049,8476672,6127616,24,0,greedy,False,b0193aa4c83a87bd2d8742b204c7434f12422d001c2db690b0e31a6c611db979
case_022,5,56780.0,11685,11685,11685,4.859221223791185,4.859221223791185,1.0,20748,0,22528,62472,0.08850872026019925,20736,213546,24,0,greedy,False,1ee9d072603f539c780d131a04b5c21b9ac472d8354e392e98ba64f83e852301
