case,cores,returncode,makespan_cycles,cache_hit_rate,process_wall_s
case_001,5,0,47502,0.0,2.875014300007024
case_002,5,0,53071,0.3125,11.133979099991848
case_003,5,0,151659,0.5487943414425035,107.69961239999975
case_004,5,0,83941,0.28311057108140947,6.332786800005124
case_005,5,0,30287,0.5508851295750303,21.68636360000528
case_006,5,0,21931,0.2044790935391412,6.59242240000458
case_007,5,0,197052,0.0,25.799516900005983
case_008,5,0,97488,0.0,6.11708529999305
case_009,5,0,52461,0.17412034867003573,54.275776499998756
case_010,5,0,21246,0.2405697445972495,5.106157900008839
case_011,5,0,40639,0.503683241252302,5.693226999996114
case_012,5,0,14022,0.07483696874297278,5.466409000000567
case_013,5,0,54363,0.0,10.278805199995986
case_014,5,0,3602243,0.3797996475347171,183.5486080999981
case_015,5,0,39523,0.320716442295822,6.9062197000021115
case_016,5,0,2241799,0.0030359773300377,182.54420940000273
case_017,5,0,35268,0.3050534058042145,10.549057099997299
case_018,5,0,201201,0.6427086113498183,26.843492999993032
case_019,5,0,17830,0.13609402737697607,5.5507005999970715
case_020,5,0,107650,0.0,35.71794360000058
case_021,5,0,1247669,0.5804235030150049,36.96939909999492
case_022,5,0,11685,0.08850872026019925,6.760155800002394
case_023,5,0,25191,0.32420005761319176,4.860121999998228
case_024,5,0,743623,0.0010110354519581228,42.83734899999399
case_025,5,0,975282,0.0,184.44970090000425
case_026,5,0,34829,0.27795889202737556,4.864221700001508
case_027,5,0,474308,0.35209662716499546,13.86348359999829
case_028,5,0,8070683,0.344419013270449,185.43250109998917
case_029,5,0,9383,0.0,4.033688399998937
case_030,5,0,560134,0.6265342201054386,152.79988210000738
case_031,5,0,292413,0.5409502657158775,64.23598369999672
case_032,5,0,10391,0.028348358237626752,5.27673140000843
case_033,5,0,358366,0.32497229012617485,42.56454209999356
case_034,5,0,177145,0.5708077182269533,37.31623050000053
case_035,5,0,63923,0.38702334225279345,45.952413099992555
case_036,5,0,187182,0.0,19.108938699995633
case_037,5,0,43013,0.6425,6.283158399994136
case_038,5,0,273991,0.4290943493481157,79.66696789998969
case_039,5,0,317203,0.2935381532810152,85.98198850000335
case_040,5,0,98192,0.22286729882477974,39.597038499996415
case_041,5,0,1196776,0.2987132295916821,200.76887970000098
case_042,5,0,353416,0.5184534003616228,79.21872629999416
case_043,5,0,185359,0.5388192798816287,133.91078809999453
case_044,5,0,41678,0.27957855177504864,24.02855429999181
case_045,5,0,26164,0.0,11.705847899997025
case_046,5,0,62857,0.3649887504617348,12.66039859999728
case_047,5,0,90802,0.5558310854860439,164.83148110000184
case_048,5,0,93685,0.14301576394905346,17.013657300005434
case_049,5,0,80923,0.22083416366386477,51.632260799990036
case_050,5,0,40643,0.382791333758995,54.26001790000009
case_051,5,0,178135,0.00023362943324546835,11.307823299997835
case_052,5,0,37921,0.19832126020466828,15.768027899990557
case_053,5,0,350677,0.2689806035380718,182.84122499999648
case_054,5,0,198945,0.3446998185438639,184.99295260000508
case_055,5,0,26781,0.24098560316759426,8.214343500003451
case_056,5,0,93868,0.30292541793528865,92.09053549999953
case_057,5,0,16538,0.07663692925568687,5.994576099998085
case_058,5,0,927815,0.2763920085116444,182.7416413000028
case_059,5,0,150736,0.7378787878787879,25.26049650000641
case_060,5,0,182784,0.5447589344933716,53.985470800005714
case_061,5,0,20739,0.1936428115735355,8.22105150000425
case_062,5,0,567755,0.0036957191253464737,196.12732739999774
case_063,5,0,212149,0.0034676354029062086,87.22854430000007
case_064,5,0,10292,0.30798470165888453,9.154708699992625
case_065,5,0,10740,0.156440681782361,6.837589599992498
case_066,5,0,91753,0.34231322274020703,58.01490130000457
case_067,5,0,12300408,0.517582670067927,116.99904730000708
case_068,5,0,107948,0.3565161877012443,51.12927919998765
case_069,5,0,9200,0.2805420227351383,6.86642550000397
case_070,5,0,26572,0.2737756993252582,8.608806200005347
case_071,5,0,7944,0.30931367715215463,6.447991599998204
case_072,5,0,4809646,0.19647711186272657,205.17070560000138
case_073,5,0,1716184,0.7653575299787984,48.87369260001287
case_074,5,0,339417,0.3581358465052651,48.55849860000308
case_075,5,0,354593,0.28481564847714563,95.84290959998907
case_076,5,0,1232145,0.3573792354045244,201.0981438000017
case_077,5,0,121081,0.0,40.49405719999049
case_078,5,0,505551,0.7500064764602259,8.041970099991886
case_079,5,0,6075472,0.2441611149398882,202.1074743000063
case_080,5,0,69084,0.5406403940886699,19.373732399995788
case_081,5,0,30943,0.0,25.53213289999985
case_082,5,0,185171,0.5339353935274856,37.84062879999692
case_083,5,0,181628,0.7354909879590158,43.03581449999183
case_084,5,0,375094,0.0,160.39345940000203
case_085,5,0,744845,0.5254370581022013,186.4090780000115
case_086,5,0,34630,0.32189564609324633,55.156978399987565
case_087,5,0,852871,0.5069576856598562,189.043282300001
case_088,5,0,75845,0.35416680662765676,30.532444700002088
case_089,5,0,120170,0.0,46.062352799999644
case_090,5,0,196947,0.49158401296342463,16.085064500002773
case_091,5,0,1846939,0.3388379033231008,185.07207409999683
case_092,5,0,798824,0.21851977419372198,201.83000679999532
case_093,5,0,15876,0.0,4.070453499996802
case_094,5,0,25370,0.1529629173339904,5.248672699992312
case_095,5,0,420852,0.0,53.08944139999221
case_096,5,0,26984,0.2714382735727453,9.692514199996367
case_097,5,0,2102004,0.20251572327044026,127.74264140000741
case_098,5,0,68795,0.3107102929815594,11.811124500003643
case_099,5,0,326037,0.5316210884616872,96.91577859999961
case_100,5,0,40014,0.4383162795462966,20.473041899997042
