case,cores,stage1_cycles,final_cycles,branch_called,feedback_calls,status
case_001,5,47502,47502,False,0,ok
case_002,5,53071,53071,False,0,ok
case_003,5,151659,151659,False,2,ok
case_004,5,83941,83941,False,0,ok
case_005,5,30287,30287,True,4,ok
case_006,5,21931,21931,False,0,ok
case_007,5,197052,197052,False,0,ok
case_008,5,97488,97488,False,0,ok
case_009,5,52461,52461,True,1,ok
case_010,5,21246,21246,False,0,ok
case_011,5,40639,40639,False,0,ok
case_012,5,14022,14022,False,0,ok
case_013,5,54363,54363,False,0,ok
case_014,5,3602243,3602243,False,3,ok
case_015,5,39523,39523,False,0,ok
case_016,5,2241799,2241799,True,0,ok
case_017,5,35268,35268,False,0,ok
case_018,5,201201,201201,False,0,ok
case_019,5,17830,17830,False,0,ok
case_020,5,107650,107650,False,0,ok
case_021,5,1247669,1247669,False,0,ok
case_022,5,11685,11685,False,0,ok
case_023,5,25191,25191,False,0,ok
case_024,5,743623,743623,True,0,ok
case_025,5,975282,975282,False,0,ok
case_026,5,34829,34829,True,0,ok
case_027,5,474308,474308,False,0,ok
case_028,5,8070683,8070683,False,0,ok
case_029,5,9383,9383,False,0,ok
case_030,5,560134,560134,False,0,ok
case_031,5,292413,292413,False,1,ok
case_032,5,10391,10391,False,0,ok
case_033,5,358366,358366,False,3,ok
case_034,5,177145,177145,False,0,ok
case_035,5,63923,63923,True,0,ok
case_036,5,187182,187182,False,0,ok
case_037,5,43013,43013,False,0,ok
case_038,5,273991,273991,False,0,ok
case_039,5,317203,317203,False,0,ok
case_040,5,98192,98192,True,0,ok
case_041,5,1196776,1196776,False,1,ok
case_042,5,353416,353416,False,0,ok
case_043,5,185359,185359,True,0,ok
case_044,5,41678,28257,True,0,ok
case_045,5,26164,26164,False,0,ok
case_046,5,62857,62857,False,0,ok
case_047,5,90802,90802,True,4,ok
case_048,5,93685,93685,True,0,ok
case_049,5,80923,80923,True,0,ok
case_050,5,40643,40643,True,1,ok
case_051,5,178135,178135,True,0,ok
case_052,5,37921,37921,False,0,ok
case_053,5,350677,349110,False,2,ok
case_054,5,198945,198945,False,2,ok
case_055,5,26781,26781,False,0,ok
case_056,5,93868,93868,True,0,ok
case_057,5,16538,15107,True,0,ok
case_058,5,927815,927815,False,0,ok
case_059,5,150736,150736,False,0,ok
case_060,5,182784,182784,False,0,ok
case_061,5,20739,20739,True,0,ok
case_062,5,567755,567755,False,0,ok
case_063,5,212149,212149,False,0,ok
case_064,5,10292,10292,True,0,ok
case_065,5,10740,10740,False,0,ok
case_066,5,91753,91753,False,0,ok
case_067,5,12300408,12300408,False,0,ok
case_068,5,107948,107948,True,1,ok
case_069,5,9200,9200,True,2,ok
case_070,5,26572,26572,False,0,ok
case_071,5,7944,7944,True,0,ok
case_073,5,1716184,1716184,False,0,ok
case_074,5,339417,339417,False,0,ok
case_075,5,354593,354593,False,1,ok
case_077,5,121081,121081,False,0,ok
case_078,5,505551,505551,False,1,ok
case_080,5,69084,69084,False,0,ok
