case,input_sha256,compute_ops,depth,weak_components,structural_parallelism,input_bytes,shared_input_bytes,shared_input_count,max_input_consumers,potential_repeated_input_bytes,input_working_set_in_l2_capacities
case_001,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,600,3,200,200.0,820352,820352,201,200,1048448,0.7823486328125
case_002,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,1798,24,1,92.71774193548387,1222656,916992,199,8,2769408,1.166015625
case_003,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,13455,305,10,27.010111366448648,1284230,559238,93,972,3807830,1.2247371673583984
case_004,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,777,6,111,157.77510917030568,451584,451584,114,111,12847104,0.4306640625
case_005,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,4113,138,1,18.10443864229765,318822,235878,71,294,584484,0.30405235290527344
case_006,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,678,22,27,30.909732016925247,543264,423948,72,8,720268,0.518096923828125
case_007,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,3885,6,555,754.9632352941177,880128,880128,558,555,17021952,0.83935546875
case_008,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,864,8,108,108.0,1990872,0,0,1,0,1.8986434936523438
case_009,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,5671,366,25,18.580230807827395,495194,292928,213,288,805204,0.47225379943847656
case_010,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,667,62,36,31.820089001907185,384078,314688,58,28,729344,0.3662853240966797
case_011,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,688,22,16,99.04905660377358,540672,540672,176,4,1622016,0.515625
case_012,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,972,19,50,27.058659217877096,484096,314582,108,12,572438,0.461669921875
case_013,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,1968,4,246,767.52,2023424,8192,4,246,2007040,1.9296875
case_014,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,35705,124,1340,590.5021271271271,9911640,9893208,1615,38,165905592,9.452476501464844
case_015,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,1013,29,46,24.82964741564514,884482,733652,101,11,2149268,0.8435077667236328
case_016,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,17995,2440,1,11.77607076350093,393216,393216,12,305,119537664,0.375
case_017,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,1373,18,60,29.73277591973244,535118,468506,178,10,1393562,0.5103282928466797
case_018,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,2727,28,126,306.3156258830178,1592596,1350656,242,20,10370816,1.5188179016113281
case_019,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,647,79,31,7.25126696092856,179252,103968,39,36,679040,0.17094802856445312
case_020,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,7008,24,288,292.0,1179648,1179648,288,7,6291456,1.125
case_021,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,3920,7,80,1258.1818181818182,2355200,2355200,450,10,18124800,2.24609375
case_022,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,1356,36,32,29.491943605236656,213540,184846,113,7,550414,0.20364761352539062
case_023,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,1011,31,43,31.51778093883357,434122,249766,71,8,816102,0.41401100158691406
case_024,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,5959,808,1,11.77607076350093,393216,393216,12,101,39321600,0.375
case_025,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,18662,6,2666,3626.544117647059,4122624,4122624,2669,2666,81871872,3.931640625
case_026,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,636,49,31,25.87636026858069,488886,396720,58,20,1209104,0.46623802185058594
case_027,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,1424,45,16,119.55302166476625,1843200,1843200,360,4,5529600,1.7578125
case_028,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,19584,124,153,165.91365227537923,4028544,2148480,54,153,326568960,3.8419189453125
case_029,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,861,12,21,92.1007371007371,258132,258090,147,4,602154,0.24617385864257812
case_030,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,10070,12,486,2130.724230254351,2393088,1950720,596,22,26975232,2.2822265625
case_031,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,6135,136,107,119.13280232825305,2184820,2054758,497,144,13877698,2.083606719970703
case_032,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,827,30,25,38.52094240837696,279156,171608,80,11,444064,0.2662239074707031
case_033,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,3465,34,95,304.7857142857143,2889776,2299944,427,24,13280936,2.7559051513671875
case_034,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,3745,24,155,256.7625781887408,2279984,1773074,468,14,8239634,2.1743621826171875
case_035,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,3857,333,16,11.982616279069767,396878,286266,184,128,847278,0.3784923553466797
case_036,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,2400,3,800,800.0,3277952,3277952,801,800,4197248,3.1260986328125
case_037,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,780,6,20,263.8053097345133,532480,532480,180,5,1925120,0.5078125
case_038,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,5907,36,130,170.525017135024,2794506,2752512,773,15,16209408,2.665048599243164
case_039,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,5250,8,70,1883.0357142857142,4202496,4202496,646,10,28483584,4.0078125
case_040,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,3083,229,28,18.469168734491316,911174,399174,68,125,1468106,0.8689632415771484
case_041,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,16594,49,494,3680.243350311262,4948992,4932608,1057,20,64916480,4.7197265625
case_042,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,4733,53,104,321.0381706244503,2364192,2283296,492,24,17871264,2.254669189453125
case_043,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,9309,202,38,31.36030428769018,1430996,1255880,336,324,3886156,1.3647041320800781
case_044,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,1364,124,11,11.0,952928,930400,50,11,9304000,0.908782958984375
case_045,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,1651,24,68,68.79166666666667,278528,278528,68,7,1482752,0.265625
case_046,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,992,124,8,8.0,995936,930400,50,8,6512800,0.949798583984375
case_047,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f,13710,460,1,20.666833416708354,457286,170566,111,980,838662,0.43610191345214844
case_048,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764,1728,369,1,3.417535545023697,410182,152134,61,81,160382,0.39118003845214844
case_049,444854fe118a208ddfa10fa0ddd48d7b5e6cfd3780a8049f2145fc1a9b674a08,4303,186,11,29.27687478982177,152504,40102,46,256,195354,0.14543914794921875
case_050,3b6b1abd65fbfbb2a40972bdbd643c43107c4b232512741740ff351c366367aa,4555,186,23,27.145848586908773,319300,229806,93,256,683938,0.3045082092285156
case_051,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b,1416,192,1,11.77607076350093,393216,393216,12,24,9043968,0.375
case_052,6196e8c72258ff26d0ab4dcee50c4f5b39f78142729a2223cfcbd4a9181ab7d0,1008,17,52,55.695225102319235,810044,289296,91,12,1292304,0.7725181579589844
case_053,f3593af4c9aa960385c5fdfaf8ad98c396f05746d9e1fe6cc731adeae7019dbc,11670,241,39,27.354547371380377,2896918,1897750,217,735,13491674,2.762716293334961
case_054,4c874b67351e0a6d336af3117c1289099c54993581f90de11e8f49fb33bb9828,15751,354,24,50.01665763146222,1606214,291398,159,1134,2013328,1.5318050384521484
case_055,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134,1236,28,24,18.794168342430336,625692,430606,114,12,1344526,0.5967063903808594
case_056,fda213426382a3810afd172eadc10b9221330b906888537cb13b16369be3369d,7678,300,19,27.44187231564388,221526,122410,103,486,370030,0.21126365661621094
case_057,89778038db7db919a13c5885aa555c8ae054a3f43845c73fe346b6123d12a525,865,101,21,7.525583099279522,336588,323252,102,48,951060,0.3209953308105469
case_058,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d,16575,7,255,6258.780160857908,6623232,6623232,1056,17,96780288,6.31640625
case_059,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9,2752,22,64,396.1962264150943,1081344,1081344,352,8,7569408,1.03125
case_060,29889cfaea8c831c2620d19191abf871694e61d4850ced26a9710847096c1e96,5281,41,89,233.71848541862653,2098728,2018836,638,12,10704660,2.0015029907226562
case_061,5da175170152a6beab3dcbda84a0910f72b079091c2ad1fdd489aaf5e31fcaf3,1115,45,40,8.606640013905789,544036,210450,112,20,736274,0.5188331604003906
case_062,fa99943eab55b174047687337a4bcd81c3967e052e22eaabf3fb7740914df2b4,19636,28,1,965.0923076923077,13400064,10050048,2181,8,30168576,12.779296875
case_063,511c05c1ec9c19bb3cc108e173a46e7952b92fca9b1ac21728c43713056d429d,7360,26,1,370.3307086614173,5019648,3764736,817,8,11312640,4.787109375
case_064,871f65b73fc1da6a48501998fbfde6684fc78e5dd022ddc68085d1384d2e2280,906,123,1,6.534013605442177,35622,14118,26,48,28866,0.03397178649902344
case_065,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400,704,28,42,45.67430830039525,299720,133788,56,9,366588,0.28583526611328125
case_066,30e61f8760d7d595b0fc4ad76262b179c72509a0cb5b2be72333ebd9b926b465,5962,154,28,13.659336228287842,1027116,785196,151,243,1338516,0.9795341491699219
case_067,f49b5087689e18c6bf231843f8f3bbaca238a547ea5309b2492c76d5f170b542,8804,124,71,71.0,4884864,3721600,50,71,260512000,4.6585693359375
case_068,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d,5351,264,32,8.356898942445001,2739974,1087714,207,288,2458846,2.6130428314208984
case_069,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52,1032,46,1,13.908616187989557,113766,86118,30,72,172686,0.10849571228027344
case_070,b645c07133b0d98a63ab192cdfe8b35bdc089ad49eb5a8f1e476196344b97aa0,1191,35,38,34.298470646275284,419858,242182,92,12,1365254,0.4004077911376953
case_071,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897,741,46,1,10.22106179286336,111462,83814,29,50,131164,0.10629844665527344
case_072,09ecc7be74ccdd06b00843fa6cd0696fb76ed623ca2ea3c9f36590450bc2749f,29666,251,476,770.6548110610611,11093006,11049230,1204,405,176551762,10.57911491394043
case_073,aabaff04d990bac77150639be7f410acc46db644d19fd046367dc70725aea7f9,4836,124,39,39.0,3881344,3721600,50,39,141420800,3.7015380859375
case_074,a8a94915cbac32e098d7c54cfc73af8ea2050eb51199b949a92cfe18ae62162e,3609,39,73,575.1679068262698,3776536,2719756,429,21,15556620,3.6015853881835938
case_075,5c24beddea6d09e1df3c8f8843d3593b90affb117ba38450fa9bea8a8db3351c,7410,460,1,9.611519473395502,1819782,672902,109,500,2009742,1.7354793548583984
case_076,543a082b17fe8de0dbab92b19f27335e4c8d1db389f75251378f1f4704368307,32528,13,809,2526.6373467916364,4269056,4097024,1655,34,74322944,4.0712890625
case_077,b14c3c29f9427de1db1d12c6ebf5d15914a99299298d20a908d97285947e67b6,4486,135,41,35.3465650809911,2141260,430412,110,144,2180884,2.042064666748047
case_078,d30ea13a65ed4d85fd62753d3e300a04c17fdbe592b6ca19c52a3a744e4affdd,1024,124,8,8.675223648385842,2246784,2148480,54,8,15039360,2.1427001953125
case_079,ee341b011b5ff7f1c975fd6ba8f876217612ecd8d9e4e2127e617cecac1edad5,18720,8,288,5575.354838709677,5812224,5812224,1122,18,91508736,5.54296875
case_080,20b2fa1e14bf879ac7c5b0321f69731c8a8102bb65bbd96d7543f54f4974f98c,1098,7,18,414.9651474530831,1904640,1904640,279,6,4952064,1.81640625
case_081,7c642799a54f8083f56c74d1e260ec010e3a83c37702770c862d722408c7a41e,3485,12,85,372.7886977886978,1044820,1044650,595,4,2437290,0.9964179992675781
case_082,f230fbc200ad75797f3024f84431d1d26f7747d6a284378ee83eabde77b7e70c,4113,138,1,16.962918266593526,566406,222342,41,294,1037124,0.5401668548583984
case_083,26bebaecfa0ed9c4bcf57127779a198c367a5576eb7b40b9c56cc343621c5549,3844,124,31,31.0,1184352,930400,50,31,27912000,1.129486083984375
case_084,1af22ac8dd69090ed25be62ae1bbb18a922ce99a8cffb2be4f89e7a1234794ee,8616,8,1077,1077.0,9927786,0,0,1,0,9.467874526977539
case_085,b63169e9cd0f21dc2da6617e7138472e95937465c703b7e4bf4dbc80125ed4f6,19737,450,1,25.910958904109588,1655942,623750,103,1458,4206532,1.5792293548583984
case_086,ef91fda2692fd0add63db3c7f677e4e03c8d115d97db3cb959cffc62fff2434a,5274,138,1,22.808529155787642,321126,238182,72,384,699882,0.30624961853027344
case_087,a234839f266f63270c7d42c558eabd68085d415029ce73bfac9d3fc47d58de83,27556,382,196,54.54424040066778,5918684,4204508,713,960,31920436,5.644496917724609
case_088,2ff71575ba33875431f54823fc1f2214e018edcfc9d568edfb7c47b0f264b825,3309,176,31,8.481553880045922,1829730,732998,85,192,1661082,1.7449665069580078
case_089,9561e0638071147e99d937b802f61f8a67fe2b96985159c174b47a777fd6ce84,5120,124,40,42.94985250737463,402560,238720,54,40,9310080,0.3839111328125
case_090,a91d3ad4c40e53d5731b81b3eb72bcf922f5ef06094e860b5c5729619cb2d312,1664,124,13,14.073573573573574,2188416,2148480,54,13,25781760,2.0870361328125
case_091,6fa7e61f09003382ba36061d74d4be90ed3acbe750a3d46c3b6d1e1fc27579f3,31554,124,513,174.18242198481866,6535680,6486528,1421,30,111916032,6.23291015625
case_092,ddb267b7178d1b240f76fb7ed508799fbc7621b45156064b2a229c5c0d90996d,17608,124,142,142.0,2093664,930400,50,142,131186400,1.996673583984375
case_093,3a68ca960cc21b10a94b0524f5c16d2ee4995f2e5a75e667d58099571a7cdc36,552,4,69,215.28,573440,8192,4,69,557056,0.546875
case_094,06e7b0eb1eecb9a98b6691dfe5f8039c6f7b21ab0f3ea8e6a072ade002a68fec,647,36,40,43.30112721417069,471328,213280,48,12,1037216,0.449493408203125
case_095,99875b1d3025c71f87e04818e28c08915928813f495d080ae6436879f6cb540f,3696,8,462,462.0,8516508,0,0,1,0,8.12197494506836
case_096,c26df1f4c6e282279a2f86c24d13be04e5c0e8b24b36149899bf7e7a91cf579a,1198,119,50,9.904852925560157,210260,177472,66,55,1126720,0.20051956176757812
case_097,7dc5c8ebf92052dbdd1bf59794a8fcef74e3ab3c59d5f0b4e753bf38a741ffaf,6592,52,64,486.7469879518072,4259840,4259840,832,8,29818880,4.0625
case_098,8cc92ed83866234532487abacb106e0298a00cf309ef75fa12e413bfb17d58f8,1365,51,27,26.536488279522334,697912,438286,75,9,1323022,0.6655807495117188
case_099,6a07bc2eba4657ec873f015cb53404696202df8fe912a94340cbdc674cbd7938,6296,29,202,615.7834394904459,2533632,1933056,470,20,21755520,2.416259765625
case_100,bb78167d482a9e1663bb947945def049c2d66392c3897613ce5cb145d3a2eb19,1394,52,43,34.071014492753626,436006,419088,141,22,1835792,0.41580772399902344
