phase,case,cores,with_l2_cycles,same_plan_no_l2_cycles,paired_cache_ratio,initial_with_l2_cycles,construction_to_selected_ratio,selected_candidate,added_copy_bytes,hit_rate,hit_bytes,miss_bytes,peak_l1_bytes,peak_ub_bytes,max_l2_bytes,official_search_calls,feedback_candidates,invalid_candidates,solver_seconds,total_seconds,full_result_rechecked
development,case_036,1,931510,931510,1.0,931510,1.0,component_packing,0,0.0,0,3277952,13440,8192,1048576,2,0,0,1.3562249999959022,2.7865213000040967,True
development,case_036,2,466068,466068,1.0,466068,1.0,component_packing,1152,0.0,0,3279104,13440,8192,1048576,2,0,0,1.2035355999978492,2.4047368000028655,True
development,case_036,5,187182,187182,1.0,187182,1.0,component_packing,4608,0.0,0,3282560,13440,8192,1048576,2,0,0,1.0645345999946585,2.1461102000030223,True
development,case_082,1,709178,709178,1.0,721041,1.0167278172757757,data_aware_bands,0,0.0,0,566406,110080,114820,566406,2,0,0,1.5488053000008222,3.7733731000043917,True
development,case_082,2,572591,572591,1.0,721041,1.2592601001412875,data_aware_bands,498308,0.1542611816838327,136324,747398,92160,83332,747398,2,0,0,1.6932167999912053,3.699827299991739,True
development,case_082,5,513840,513840,1.0,721041,1.403240308267165,data_aware_bands,1020174,0.3818824264977741,508174,822534,81920,67908,822278,2,0,0,1.6864914000034332,3.488953100008075,True
development,case_100,1,139277,139277,1.0,151223,1.0857715200643323,component_blocks,0,0.0,0,436006,229376,81920,436006,3,0,0,0.671613399987109,1.6461469999921974,True
development,case_100,2,82364,82364,1.0,90243,1.0956607255597106,component_blocks,12288,0.02741058323332456,12288,436006,229376,81920,436006,3,0,0,0.6559207000100287,1.5284577999991598,True
development,case_100,5,58085,58085,1.0,58085,1.0,component_packing,211968,0.327124236466278,211968,436006,229376,81920,436006,4,1,0,1.038039299994125,1.6064932000008412,True
confirmation,case_008,1,269325,269325,1.0,487605,1.8104706209969368,data_aware_bands,3760128,0.0,0,3870936,30720,129216,1044652,3,0,0,0.6483795999956783,1.2793278000026476,True
confirmation,case_008,2,136244,136244,1.0,244266,1.7928569331493498,data_aware_bands,3538944,0.0,0,3760344,30720,129216,1044652,3,0,0,0.6081407000019681,1.3048686999973143,True
confirmation,case_008,5,97488,97488,1.0,100603,1.0319526505826357,data_aware_bands,2875392,0.0,0,3428568,30720,129216,1044660,3,0,0,0.6067787999927532,1.8110362000006717,True
confirmation,case_074,1,1678120,1682239,1.002454532452983,1678120,1.0,component_packing,6070280,0.16680485013829857,1642496,8204316,524288,122900,1048576,4,1,0,3.967907300000661,7.049989999999525,True
confirmation,case_074,2,820789,822510,1.0020967629926814,820789,1.0,component_packing,7077888,0.26188621340017676,2842624,8011800,524288,122892,1048576,4,1,0,3.7966081999911694,6.952931299994816,True
confirmation,case_074,5,336925,344440,1.0223046672108036,341696,1.0141604214587816,component_blocks,9084928,0.3493624053995719,4493312,8368152,524288,65542,1048576,4,1,0,3.863243899992085,5.589148300001398,True
confirmation,case_095,1,1144413,1144413,1.0,2084853,1.8217662679469737,data_aware_bands,16809984,0.0,0,16921500,30720,129216,1044652,3,0,0,4.052786899992498,8.49505890000728,True
confirmation,case_095,2,573788,573788,1.0,1042890,1.8175528243881016,data_aware_bands,16588800,0.0,0,16810908,30720,129216,1044652,3,0,0,3.4540107999928296,7.6192587000114145,True
confirmation,case_095,5,420852,420852,1.0,420852,1.0,component_packing,0,0.0,0,8516508,36864,37056,1044600,3,0,0,2.994071300010546,5.29696390000754,True
diagnostic,case_044,1,86719,86719,1.0,107814,1.243256956376342,data_aware_bands,0,0.0,0,952928,413696,0,952928,3,0,0,0.7276255999895511,1.7850385999918217,True
diagnostic,case_044,2,45906,51301,1.1175227639088572,85335,1.858907332374853,data_aware_bands,930400,0.17487341557073435,329344,1553984,393216,0,952928,3,0,0,0.7661430000007385,1.8064276999939466,True
diagnostic,case_044,5,84117,84213,1.0011412675202396,102921,1.2235457755269445,data_aware_bands,3721600,0.000424427878065978,1984,4672544,380928,0,952928,3,0,0,1.176485900010448,1.6963391000026604,True
