case,q3_cycles,added_copy_bytes,hit_rate,singlecore_cycles,speedup
case_001,47502,4608,0.0,233110.0,4.9073723211654245
case_005,32639,977392,0.41610246496291897,95618.0,2.929562792977726
case_014,3616531,90875376,0.3788007486237308,17698626.0,4.89381288311921
case_025,975282,110592,0.0,4863026.0,4.986276789687495
case_044,43882,930400,0.0015122166717640262,154407.0,3.5186864773711317
case_069,9200,262578,0.2805420227351383,25144.0,2.7330434782608695
case_071,8312,179442,0.24732934999094694,18919.0,2.2761068334937438
case_074,341808,9453568,0.34928463437238827,1682239.0,4.921590483546319
case_082,185171,2773528,0.5339353935274856,721041.0,3.8939196742470474
case_100,42420,1578556,0.3837221624068374,151223.0,3.564898632720415
