case,method,seed,official_call,relative_best
case_044,nsga3_generic,17,1,1.2235457755269445
case_044,nsga3_generic,17,2,1.2235457755269445
case_044,nsga3_generic,17,3,1.0
case_044,nsga3_generic,17,4,1.0
case_044,nsga3_generic,17,5,1.0
case_044,nsga3_generic,17,6,1.0
case_044,nsga3_generic,17,7,1.0
case_044,nsga3_generic,17,8,1.0
case_044,nsga3_generic,17,9,1.0
case_044,nsga3_generic,17,10,1.0
case_044,nsga3_generic,17,11,1.0
case_044,nsga3_generic,17,12,1.0
case_044,nsga3_generic,17,13,1.0
case_044,nsga3_generic,17,14,1.0
case_044,nsga3_generic,17,15,1.0
case_044,nsga3_generic,17,16,1.0
case_044,nsga3_generic,17,17,1.0
case_044,nsga3_generic,17,18,1.0
case_044,nsga3_generic,17,19,0.8112391074336935
case_044,nsga3_generic,17,20,0.8112391074336935
case_044,nsga3_generic,17,21,0.8112391074336935
case_044,nsga3_generic,17,22,0.8112391074336935
case_044,nsga3_generic,17,23,0.8112391074336935
case_044,nsga3_generic,17,24,0.8112391074336935
case_044,nsga3_generic,17,25,0.8112391074336935
case_044,nsga3_generic,17,26,0.8112391074336935
case_044,nsga3_generic,17,27,0.8112391074336935
case_044,nsga3_generic,17,28,0.8112391074336935
case_044,nsga3_generic,17,29,0.8112391074336935
case_044,nsga3_generic,17,30,0.8112391074336935
case_044,nsga3_generic,29,1,1.2235457755269445
case_044,nsga3_generic,29,2,1.2235457755269445
case_044,nsga3_generic,29,3,1.0
case_044,nsga3_generic,29,4,1.0
case_044,nsga3_generic,29,5,1.0
case_044,nsga3_generic,29,6,1.0
case_044,nsga3_generic,29,7,0.9720746103641357
case_044,nsga3_generic,29,8,0.9720746103641357
case_044,nsga3_generic,29,9,0.9720746103641357
case_044,nsga3_generic,29,10,0.9720746103641357
case_044,nsga3_generic,29,11,0.9720746103641357
case_044,nsga3_generic,29,12,0.9720746103641357
case_044,nsga3_generic,29,13,0.9720746103641357
case_044,nsga3_generic,29,14,0.9720746103641357
case_044,nsga3_generic,29,15,0.9686508078034167
case_044,nsga3_generic,29,16,0.8978446687352141
case_044,nsga3_generic,29,17,0.8978446687352141
case_044,nsga3_generic,29,18,0.8978446687352141
case_044,nsga3_generic,29,19,0.8978446687352141
case_044,nsga3_generic,29,20,0.8978446687352141
case_044,nsga3_generic,29,21,0.8978446687352141
case_044,nsga3_generic,29,22,0.8978446687352141
case_044,nsga3_generic,29,23,0.8978446687352141
case_044,nsga3_generic,29,24,0.8978446687352141
case_044,nsga3_generic,29,25,0.8978446687352141
case_044,nsga3_generic,29,26,0.8978446687352141
case_044,nsga3_generic,29,27,0.8978446687352141
case_044,nsga3_generic,29,28,0.8978446687352141
case_044,nsga3_generic,29,29,0.8978446687352141
case_044,nsga3_generic,29,30,0.8978446687352141
case_044,nsga3_generic,43,1,1.2235457755269445
case_044,nsga3_generic,43,2,1.2235457755269445
case_044,nsga3_generic,43,3,1.0
case_044,nsga3_generic,43,4,1.0
case_044,nsga3_generic,43,5,1.0
case_044,nsga3_generic,43,6,1.0
case_044,nsga3_generic,43,7,1.0
case_044,nsga3_generic,43,8,1.0
case_044,nsga3_generic,43,9,0.9909768536681052
case_044,nsga3_generic,43,10,0.9909768536681052
case_044,nsga3_generic,43,11,0.9909768536681052
case_044,nsga3_generic,43,12,0.9909768536681052
case_044,nsga3_generic,43,13,0.9909768536681052
case_044,nsga3_generic,43,14,0.9909768536681052
case_044,nsga3_generic,43,15,0.9909768536681052
case_044,nsga3_generic,43,16,0.9909768536681052
case_044,nsga3_generic,43,17,0.9909768536681052
case_044,nsga3_generic,43,18,0.9909768536681052
case_044,nsga3_generic,43,19,0.9909768536681052
case_044,nsga3_generic,43,20,0.9909768536681052
case_044,nsga3_generic,43,21,0.9909768536681052
case_044,nsga3_generic,43,22,0.9909768536681052
case_044,nsga3_generic,43,23,0.9909768536681052
case_044,nsga3_generic,43,24,0.9909768536681052
case_044,nsga3_generic,43,25,0.8694437509659165
case_044,nsga3_generic,43,26,0.8694437509659165
case_044,nsga3_generic,43,27,0.8694437509659165
case_044,nsga3_generic,43,28,0.8694437509659165
