case,cores,A_speedup,A_makespan_cycles,A_added_copy_bytes,A_spill_added_copy_bytes,B_speedup,B_makespan_cycles,B_added_copy_bytes,B_spill_added_copy_bytes
case_001,2,1.9946435294520313,116868.0,1152.0,0.0,1.9946435294520313,116868.0,1152.0,0.0
case_001,3,2.9678528232223567,78545.0,2304.0,0.0,2.9678528232223567,78545.0,2304.0,0.0
case_001,4,3.952088702020887,58984.0,3456.0,0.0,3.952088702020887,58984.0,3456.0,0.0
case_001,5,4.9073723211654245,47502.0,4608.0,0.0,4.9073723211654245,47502.0,4608.0,0.0
case_002,2,1.9718092513831909,132845.0,56832.0,0.0,2.0480133227001924,127902.0,681984.0,267264.0
case_002,3,2.918672282390694,89748.0,56832.0,0.0,3.0274259165087143,86524.0,479232.0,0.0
case_002,4,3.811162357597009,68731.0,56832.0,0.0,3.646430758950944,71836.0,615936.0,0.0
case_002,5,4.570508793969849,57312.0,1714176.0,0.0,4.176086090075727,62725.0,662016.0,0.0
case_003,2,1.7880456889717606,336799.0,1965240.0,0.0,1.8984348155036805,317215.0,1059210.0,0.0
case_003,3,2.489755081115944,241876.0,3010640.0,0.0,2.7661963032374235,217704.0,2458894.0,0.0
case_003,4,2.877487051088473,209284.0,3196140.0,0.0,3.3404260039937874,180280.0,2854806.0,0.0
case_003,5,3.359676870463662,179247.0,4404992.0,0.0,3.81801697848842,157729.0,4863512.0,0.0
case_004,2,1.9709103147573264,199074.0,110592.0,0.0,1.9709103147573264,199074.0,110592.0,0.0
case_004,3,2.927098020784375,134043.0,221184.0,0.0,2.927098020784375,134043.0,221184.0,0.0
case_004,4,3.765855952700887,104188.0,331776.0,0.0,3.765855952700887,104188.0,331776.0,0.0
case_004,5,4.441391879195391,88341.0,442368.0,0.0,4.441391879195391,88341.0,442368.0,0.0
case_005,2,1.6111953627877196,59346.0,712540.0,0.0,1.82139931805627,52497.0,324774.0,0.0
case_005,3,1.991377874041986,48016.0,1050090.0,0.0,2.367192335305622,40393.0,900684.0,0.0
case_005,4,2.2398219723588664,42690.0,1122676.0,0.0,2.7483544594866487,34791.0,948786.0,0.0
