case,scene,cores,speedup,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,other_added_copy_bytes
case_001,A,2,1.9946435294520313,116868,1152,0,1152
case_001,A,3,2.9678528232223567,78545,2304,0,2304
case_001,A,4,3.952088702020887,58984,3456,0,3456
case_001,A,5,4.9073723211654245,47502,4608,0,4608
case_002,A,2,1.9718092513831909,132845,56832,0,56832
case_002,A,3,2.918672282390694,89748,56832,0,56832
case_002,A,4,3.811162357597009,68731,56832,0,56832
case_002,A,5,4.570508793969849,57312,1714176,0,1714176
case_003,A,2,1.7880456889717606,336799,1965240,0,1965240
case_003,A,3,2.489755081115944,241876,3010640,0,3010640
case_003,A,4,2.877487051088473,209284,3196140,0,3196140
case_003,A,5,3.359676870463662,179247,4404992,0,4404992
case_004,A,2,1.9709103147573264,199074,110592,0,110592
case_004,A,3,2.927098020784375,134043,221184,0,221184
case_004,A,4,3.765855952700887,104188,331776,0,331776
case_004,A,5,4.441391879195391,88341,442368,0,442368
case_005,A,2,1.6111953627877196,59346,712540,0,712540
case_005,A,3,1.991377874041986,48016,1050090,0,1050090
case_005,A,4,2.2398219723588664,42690,1122676,0,1122676
case_005,A,5,2.3907488436054507,39995,1323714,0,1323714
case_006,A,2,1.7968980477223426,46100,29576,12296,17280
case_006,A,3,2.4389647862442585,33964,797604,0,797604
case_006,A,4,2.8094624385280653,29485,864038,0,864038
case_006,A,5,3.0508618149675897,27152,858920,0,858920
case_007,A,2,1.9952196479170197,507494,27648,0,27648
case_007,A,3,2.994912657426633,338094,55296,0,55296
case_007,A,4,3.980227831979811,254398,82944,0,82944
case_007,A,5,4.967581463347626,203834,110592,0,110592
case_008,A,2,1.9962049568912579,244266,0,0,0
case_008,A,3,2.984867684057811,163359,0,0,0
case_008,A,4,3.962335446123842,123060,0,0,0
case_008,A,5,4.846823653370178,100603,0,0,0
case_009,A,2,1.5922889913975813,96252,691132,0,691132
case_009,A,3,2.1463322409881522,71406,647448,0,647448
case_009,A,4,2.643479310761164,57977,702550,0,702550
case_009,A,5,2.9473269230769232,52000,777248,0,777248
case_010,A,2,1.8426025975126592,47199,575046,0,575046
case_010,A,3,2.4996838353644515,34792,627528,0,627528
case_010,A,4,2.6478611660831177,32845,853738,0,853738
case_010,A,5,3.038536789881909,28622,716874,0,716874
case_011,A,2,1.9935777043801135,92646,180224,0,180224
case_011,A,3,2.4247361235099514,76172,2502656,0,2502656
case_011,A,4,3.9397824232081913,46880,540672,0,540672
case_011,A,5,3.905872649988369,47287,1622016,0,1622016
case_012,A,2,1.9634478633614674,30094,28800,0,28800
case_012,A,3,2.6988215949575225,21894,20160,0,20160
case_012,A,4,3.42817359016013,17236,39168,0,39168
case_012,A,5,4.132027972027972,14300,49536,0,49536
case_013,A,2,1.9966187083011846,132198,8192,0,8192
case_013,A,3,2.98750438591527,88351,16384,0,16384
case_013,A,4,3.9405959810098237,66982,24576,0,24576
case_013,A,5,4.855305998565201,54363,32768,0,32768
case_014,A,2,1.990404605321608,8891974,71575992,61682784,9893208
case_014,A,3,2.9593236968935726,5980632,77640360,59581944,18058416
case_014,A,4,3.9098642266041628,4526660,82469784,52790160,29679624
case_014,A,5,4.790351969339367,3694640,87765000,55180632,32584368
case_015,A,2,1.9192736795403145,92411,224536,114712,109824
case_015,A,3,2.916802341835644,60807,306448,98320,208128
case_015,A,4,3.320080118305535,53421,263936,32768,231168
case_015,A,5,4.083200957708866,43437,321536,8192,313344
case_016,A,2,1.1500751560061007,6708712,79041864,0,79041864
case_016,A,3,1.1433126375420044,6748393,59379864,0,59379864
case_016,A,4,1.1272008510921785,6844852,47582664,0,47582664
case_016,A,5,1.1022926848015215,6999523,38931372,0,38931372
case_017,A,2,1.8568658759124088,87680,87552,0,87552
case_017,A,3,2.7793236484064257,58579,175104,0,175104
case_017,A,4,3.841308040770102,42384,259200,0,259200
case_017,A,5,4.586713995943205,35496,340992,0,340992
case_018,A,2,2.0003126836020355,502105,3191808,1892352,1299456
case_018,A,3,2.969110656513102,338272,3867008,1392640,2474368
case_018,A,4,3.89088958017766,258133,4853504,1204224,3649280
case_018,A,5,4.926627915532338,203865,5693440,1064960,4628480
case_019,A,2,1.8772903942254304,43224,27168,0,27168
case_019,A,3,2.7864427732564128,29121,24576,0,24576
case_019,A,4,2.906824288017195,27915,117320,0,117320
case_019,A,5,3.349182763744428,24228,97356,0,97356
case_020,A,2,1.9984469952734638,266580,0,0,0
case_020,A,3,2.993796010115201,177950,0,0,0
case_020,A,4,3.984518039849219,133704,0,0,0
case_020,A,5,4.948871342313051,107650,0,0,0
case_021,A,2,2.0559690349561914,3194570,3174400,1638400,1536000
case_021,A,3,3.063369160046716,2144024,7766016,3055616,4710400
case_021,A,4,4.236493145948847,1550324,4608000,0,4608000
case_021,A,5,5.253643510312214,1250168,11431936,2011136,9420800
case_022,A,2,2.004023576747962,28333,6912,0,6912
case_022,A,3,2.968423253868674,19128,13824,0,13824
case_022,A,4,3.874709976798144,14654,13824,0,13824
case_022,A,5,4.800473452823808,11828,20736,0,20736
case_023,A,2,2.0026132261910594,61227,84384,0,84384
case_023,A,3,2.943065623349815,41662,196896,0,196896
case_023,A,4,3.890161489894984,31519,281280,0,281280
case_023,A,5,4.867373268230717,25191,280992,0,280992
case_024,A,2,1.6959663321205427,1506718,39327048,0,39327048
case_024,A,3,1.3319185444371067,1918543,38931176,0,38931176
case_024,A,4,1.3876926285126856,1841433,38931274,0,38931274
case_024,A,5,1.3892694293560255,1839343,38931372,0,38931372
case_025,A,2,1.9997310678334101,2431840,27648,0,27648
case_025,A,3,2.9978633479722148,1622164,55296,0,55296
case_025,A,4,3.9944555971362954,1217444,82944,0,82944
case_025,A,5,4.986276789687495,975282,110592,0,110592
case_026,A,2,1.707100082599119,58112,288,0,288
case_026,A,3,2.3815388308726444,41655,95664,0,95664
case_026,A,4,2.3493345332259743,42226,170832,0,170832
case_026,A,5,2.2487872330779344,44114,211680,0,211680
case_027,A,2,2.10886006840553,1120962,1744896,638976,1105920
case_027,A,3,2.6920296539236785,878130,15302656,0,15302656
case_027,A,4,4.227412213249022,559196,3317760,0,3317760
case_027,A,5,3.702375582619155,638496,22044672,0,22044672
case_028,A,2,1.8544240384848054,23638628,277473600,275325120,2148480
case_028,A,3,2.613845054034978,16770711,277369056,273072096,4296960
case_028,A,4,3.462812128552399,12659087,371649024,0,371649024
case_028,A,5,3.814803453300769,11491035,277818912,269224992,8593920
case_029,A,2,1.9024822695035462,19740,0,0,0
case_029,A,3,2.9471082162756024,12743,0,0,0
case_029,A,4,3.405422560754443,11028,0,0,0
case_029,A,5,4.002451241607162,9383,0,0,0
case_030,A,2,2.003701951516423,1401423,6940672,4989952,1950720
case_030,A,3,3.0065601749094455,933969,9071616,5170176,3901440
case_030,A,4,4.0138223619228945,699591,8632320,3377152,5255168
case_030,A,5,5.0036957048568045,561192,11644416,3974656,7669760
case_031,A,2,1.923408740115184,735345,5564928,3833856,1731072
case_031,A,3,2.9080522161430866,486363,5018112,2231808,2786304
case_031,A,4,3.5519239172471986,398198,7971840,2913792,5058048
case_031,A,5,4.590095250458403,308135,8217600,1496064,6721536
case_032,A,2,1.8941042047531993,21880,6216,0,6216
case_032,A,3,2.690754447474354,15402,12360,0,12360
case_032,A,4,2.9033907804399606,14274,12360,0,12360
case_032,A,5,3.9791646663466156,10415,12360,0,12360
case_033,A,2,1.975976825488399,897883,6229536,4170240,2059296
case_033,A,3,2.9364285454202403,604202,7803456,3684864,4118592
case_033,A,4,3.853144939559652,460454,7531104,1684992,5846112
case_033,A,5,4.708663089115007,376794,8297088,1290240,7006848
case_034,A,2,2.016114644045259,418129,1648128,581632,1066496
case_034,A,3,2.9838982000955703,282515,2638336,201216,2437120
case_034,A,4,3.955647734524569,213112,3176960,57344,3119616
case_034,A,5,4.733379750247058,178096,3536896,49152,3487744
case_035,A,2,1.7773620107750037,95406,0,0,0
case_035,A,3,1.756047802493683,96564,894876,0,894876
case_035,A,4,2.4974373324692922,67898,583578,0,583578
case_035,A,5,2.729073790939084,62135,968258,0,968258
case_036,A,2,1.998656848356892,466068,1152,0,1152
case_036,A,3,2.991890025534375,311345,2304,0,2304
case_036,A,4,3.987901568600589,233584,3456,0,3456
case_036,A,5,4.976493466252097,187182,4608,0,4608
case_037,A,2,1.992910964754114,105374,204800,0,204800
case_037,A,3,2.836394824279424,74038,1064960,0,1064960
case_037,A,4,3.938503375843961,53320,614400,0,614400
case_037,A,5,4.794543378995434,43800,1925120,0,1925120
case_038,A,2,1.996542587046187,683459,6094848,4240896,1853952
case_038,A,3,2.9530964603225445,462076,7942656,3323904,4618752
case_038,A,4,3.9394512416926974,346382,8761344,2565120,6196224
case_038,A,5,4.857467811006019,280919,9070080,1477632,7592448
case_039,A,2,2.025601183243221,708561,11067392,6864896,4202496
case_039,A,3,2.9558596686334475,485565,14323712,5918720,8404992
case_039,A,4,3.6306058590064327,395323,17604608,4997120,12607488
case_039,A,5,3.3288307615948565,431161,20480000,3670016,16809984
case_040,A,2,1.7597672658598735,144027,12288,0,12288
case_040,A,3,2.301929975932065,110105,0,0,0
case_040,A,4,2.2999038129979494,110202,53760,0,53760
case_040,A,5,2.2970898248094476,110337,66048,0,66048
case_041,A,2,1.9993303327623457,3002984,30557184,25847808,4709376
case_041,A,3,3.0044045566795186,1998385,34762752,24975360,9787392
case_041,A,4,3.999204016817559,1501288,34759680,21055488,13704192
case_041,A,5,4.948619379703756,1213259,38200320,19897344,18302976
case_042,A,2,1.9854815034542346,849537,6469920,4417536,2052384
case_042,A,3,2.97075809158813,567781,8368416,4263936,4104480
case_042,A,4,3.7945455404405233,444517,8168736,2626560,5542176
case_042,A,5,4.656081442917635,362266,10073088,2171904,7901184
case_043,A,2,1.918743293023045,353177,385024,16384,368640
