case,cores,singlecore_cycles,q1_makespan_cycles,q1_added_copy_bytes,q1_speedup,q2_makespan_cycles,q2_added_copy_bytes,q2_speedup
case_001,2,233110.0,116868,1152,1.9946435294520313,116868,1152,1.9946435294520313
case_001,3,233110.0,78545,2304,2.9678528232223567,78545,2304,2.9678528232223567
case_001,4,233110.0,58984,3456,3.952088702020887,58984,3456,3.952088702020887
case_001,5,233110.0,47502,4608,4.9073723211654245,47502,4608,4.9073723211654245
case_002,2,261945.0,132845,56832,1.9718092513831909,127902,681984,2.0480133227001924
case_002,3,261945.0,89748,56832,2.918672282390694,86524,479232,3.0274259165087143
case_002,4,261945.0,68731,56832,3.811162357597009,71836,615936,3.646430758950944
case_002,5,261945.0,57312,1714176,4.570508793969849,62725,662016,4.176086090075727
case_003,2,602212.0,336799,1965240,1.7880456889717606,317215,1059210,1.8984348155036805
case_003,3,602212.0,241876,3010640,2.489755081115944,217704,2458894,2.7661963032374235
case_003,4,602212.0,209284,3196140,2.877487051088473,180280,2854806,3.3404260039937874
case_003,5,602212.0,179247,4404992,3.359676870463662,157729,4863512,3.81801697848842
case_004,2,392357.0,199074,110592,1.9709103147573264,199074,110592,1.9709103147573264
case_004,3,392357.0,134043,221184,2.927098020784375,134043,221184,2.927098020784375
case_004,4,392357.0,104188,331776,3.765855952700887,104188,331776,3.765855952700887
case_004,5,392357.0,88341,442368,4.441391879195391,88341,442368,4.441391879195391
case_005,2,95618.0,59346,712540,1.6111953627877196,52497,324774,1.82139931805627
case_005,3,95618.0,48016,1050090,1.991377874041986,40393,900684,2.367192335305622
case_005,4,95618.0,42690,1122676,2.2398219723588664,34791,948786,2.7483544594866487
case_005,5,95618.0,39995,1323714,2.3907488436054507,55110,1426582,1.7350390128833242
case_006,2,82837.0,46100,29576,1.7968980477223426,46100,29576,1.7968980477223426
case_006,3,82837.0,33964,797604,2.4389647862442585,31153,30080,2.6590376528745225
case_006,4,82837.0,29485,864038,2.8094624385280653,24586,637248,3.369275197266737
case_006,5,82837.0,27152,858920,3.0508618149675897,22039,483828,3.758655111393439
case_007,2,1012562.0,507494,27648,1.9952196479170197,507494,27648,1.9952196479170197
case_007,3,1012562.0,338094,55296,2.994912657426633,338094,55296,2.994912657426633
case_007,4,1012562.0,254398,82944,3.980227831979811,254398,82944,3.980227831979811
case_007,5,1012562.0,203834,110592,4.967581463347626,203834,110592,4.967581463347626
case_008,2,487605.0,244266,0,1.9962049568912579,244266,0,1.9962049568912579
case_008,3,487605.0,163359,0,2.984867684057811,163359,0,2.984867684057811
case_008,4,487605.0,123060,0,3.962335446123842,123060,0,3.962335446123842
case_008,5,487605.0,100603,0,4.846823653370178,100603,0,4.846823653370178
case_009,2,153261.0,96252,691132,1.5922889913975813,90813,515502,1.6876548511776948
case_009,3,153261.0,71406,647448,2.1463322409881522,73832,1008868,2.0758072380539603
case_009,4,153261.0,57977,702550,2.643479310761164,66815,1027874,2.293811269924418
case_009,5,153261.0,52000,777248,2.9473269230769232,61215,1109614,2.503651065915217
case_010,2,86969.0,47199,575046,1.8426025975126592,45196,206328,1.9242632091335516
case_010,3,86969.0,34792,627528,2.4996838353644515,34803,341144,2.4988937735252708
case_010,4,86969.0,32845,853738,2.6478611660831177,25173,365144,3.4548524212449845
case_010,5,86969.0,28622,716874,3.038536789881909,23614,418324,3.6829423223511477
case_011,2,184697.0,92646,180224,1.9935777043801135,92646,180224,1.9935777043801135
case_011,3,184697.0,76172,2502656,2.4247361235099514,69625,1081344,2.6527396768402154
case_011,4,184697.0,46880,540672,3.9397824232081913,46880,540672,3.9397824232081913
case_011,5,184697.0,47287,1622016,3.905872649988369,47287,1622016,3.905872649988369
case_012,2,59088.0,30094,28800,1.9634478633614674,30094,28800,1.9634478633614674
case_012,3,59088.0,21894,20160,2.6988215949575225,21894,20160,2.6988215949575225
case_012,4,59088.0,17236,39168,3.42817359016013,17236,39168,3.42817359016013
case_012,5,59088.0,14300,49536,4.132027972027972,14300,49536,4.132027972027972
case_013,2,263949.0,132198,8192,1.9966187083011846,132198,8192,1.9966187083011846
case_013,3,263949.0,88351,16384,2.98750438591527,88351,16384,2.98750438591527
case_013,4,263949.0,66982,24576,3.9405959810098237,66982,24576,3.9405959810098237
case_013,5,263949.0,54363,32768,4.855305998565201,54363,32768,4.855305998565201
case_014,2,17698626.0,8891974,71575992,1.990404605321608,8891974,71575992,1.990404605321608
case_014,3,17698626.0,5980632,77640360,2.9593236968935726,5980632,77640360,2.9593236968935726
case_014,4,17698626.0,4526660,82469784,3.9098642266041628,4526660,82469784,3.9098642266041628
case_014,5,17698626.0,3694640,87765000,4.790351969339367,3694640,87765000,4.790351969339367
case_015,2,177362.0,92411,224536,1.9192736795403145,92411,224536,1.9192736795403145
case_015,3,177362.0,60807,306448,2.916802341835644,60807,306448,2.916802341835644
case_015,4,177362.0,53421,263936,3.320080118305535,53421,263936,3.320080118305535
case_015,5,177362.0,43437,321536,4.083200957708866,43437,321536,4.083200957708866
case_016,2,7715523.0,6708712,79041864,1.1500751560061007,4772689,119946716,1.6165987350108084
case_016,3,7715523.0,6748393,59379864,1.1433126375420044,2884306,4872,2.6750015428321405
case_016,4,7715523.0,6844852,47582664,1.1272008510921785,2397915,17068,3.217596536991511
case_016,5,7715523.0,6999523,38931372,1.1022926848015215,2393034,19504,3.22415937257891
case_017,2,162810.0,87680,87552,1.8568658759124088,87680,87552,1.8568658759124088
case_017,3,162810.0,58579,175104,2.7793236484064257,58579,175104,2.7793236484064257
case_017,4,162810.0,42384,259200,3.841308040770102,42384,259200,3.841308040770102
case_017,5,162810.0,35496,340992,4.586713995943205,35496,340992,4.586713995943205
case_018,2,1004367.0,502105,3191808,2.0003126836020355,505349,3044352,1.9874720242842074
case_018,3,1004367.0,338272,3867008,2.969110656513102,338272,3867008,2.969110656513102
case_018,4,1004367.0,258133,4853504,3.89088958017766,258133,4853504,3.89088958017766
case_018,5,1004367.0,203865,5693440,4.926627915532338,203865,5693440,4.926627915532338
case_019,2,81144.0,43224,27168,1.8772903942254304,43224,27168,1.8772903942254304
case_019,3,81144.0,29121,24576,2.7864427732564128,29121,24576,2.7864427732564128
case_019,4,81144.0,27915,117320,2.906824288017195,24099,51744,3.3671106684924688
case_019,5,81144.0,24228,97356,3.349182763744428,24169,73728,3.357358599859324
case_020,2,532746.0,266580,0,1.9984469952734638,266580,0,1.9984469952734638
