case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error,l2_speedup,no_l2_speedup,q2_cycles,vs_q2_gain,selected,inference_seconds,candidate_count
case_001,1,ok,233110.0,233110.0,0.0,0.0,0.0,0.0,820352.0,1.0,0.22333400000024994,50ee5d5a1d65b90f3298dc6e32de3972542cb3a3903552e5ee94b938440c57e5,,1.0,1.0,233110.0,1.0,single_core_fixed,0.011861399999816058,1
case_001,2,ok,116868.0,116868.0,1152.0,1152.0,0.0,0.0,821504.0,1.0,0.20881610000014916,1c6cf2db91449c12c3f74d32318e7eb99bc2b42e8e9d12be444e905170f9c7b9,,1.9946435294520313,1.9946435294520313,116868.0,1.0,component_merged,0.061000199999853066,2
case_001,3,ok,78545.0,78545.0,2304.0,2304.0,0.0,0.0,822656.0,1.0,0.20311899999978777,615c13f2ec631ff23820de604f6b709a649e3e6e7d9e7f88769397c5311404a2,,2.9678528232223567,2.9678528232223567,78545.0,1.0,component_merged,0.058793299999706505,2
case_001,4,ok,58984.0,58984.0,3456.0,3456.0,0.0,0.0,823808.0,1.0,0.20770290000018576,24e0f017ce3f83737422c6595a29d122fe67b93a2fb3278d0dbecde6ce1ecadc,,3.952088702020887,3.952088702020887,58984.0,1.0,component_merged,0.05742640000016763,2
case_001,5,ok,47502.0,47502.0,4608.0,4608.0,0.0,0.0,824960.0,1.0,0.18833799999993062,5bc2ca2ae4423fdc659215ac6f3a876f85f88764538eaf3752d0a4901f62a878,,4.9073723211654245,4.9073723211654245,47502.0,1.0,component_merged,0.05818900000031135,2
case_002,1,ok,261945.0,261945.0,0.0,0.0,0.0,0.0,1222656.0,1.0,0.5719904000002316,e3b62ca3a137a835cd48a9365ff8a72f02cc6f05daf538356623df26b00b0468,,1.0,1.0,261945.0,1.0,single_core_fixed,0.026378699999895616,1
case_002,2,ok,125242.0,125242.0,1133568.0,1133568.0,0.22585551330798478,456192.0,1563648.0,1.0,0.7571570000000065,cf3cab9466aca079f33fa27edeee9678302adf44826141748ced71d1161d230f,,2.091510835023395,2.091510835023395,127902.0,1.0212388815253668,data_band,0.19582100000025093,4
case_002,3,ok,83970.0,83970.0,1264128.0,1264128.0,0.24520255863539445,529920.0,1631232.0,1.0,0.7063978999999563,eff3fee97118166c2a48861f203b2c64a51cc1183cfdb944d66e674486a6f2d9,,3.119506966773848,3.119506966773848,86524.0,1.0304156246278433,data_band,0.23336950000020806,4
case_002,4,ok,65970.0,65970.0,1271808.0,1271808.0,0.3079608938547486,677376.0,1522176.0,1.0,0.6673052999999527,ff150eb31d29ae18ee53957c8a6c9ee5679a698b00ef96a14b4e7dd9a86c500c,,3.970668485675307,3.970668485675307,71836.0,1.0889192056995605,data_wide,0.23183760000028997,4
case_002,5,ok,53115.0,53115.0,1362432.0,1362432.0,0.30243572395128554,686592.0,1583616.0,1.0,0.6702204000002894,83966f62ad40ad1105f6ed128af18bc77951972cf36cffa9b971eface1c23499,,4.931657723806834,4.931657723806834,62725.0,1.1809281747152405,data_wide,0.18552580000005037,4
