case,cores,evaluation_budget,completed_evaluations,best_cycles,speedup,elapsed_seconds_at_last_evaluation,stopped_before_budget
case_001,2,1,1,116868,1.9946435294520313,0.1653255999990506,False
case_001,2,2,1,116868,1.9946435294520313,0.1653255999990506,True
case_001,2,3,1,116868,1.9946435294520313,0.1653255999990506,True
case_001,2,4,1,116868,1.9946435294520313,0.1653255999990506,True
case_001,2,5,1,116868,1.9946435294520313,0.1653255999990506,True
case_001,2,6,1,116868,1.9946435294520313,0.1653255999990506,True
case_001,3,1,1,78545,2.9678528232223567,0.1627749999970547,False
case_001,3,2,1,78545,2.9678528232223567,0.1627749999970547,True
case_001,3,3,1,78545,2.9678528232223567,0.1627749999970547,True
case_001,3,4,1,78545,2.9678528232223567,0.1627749999970547,True
case_001,3,5,1,78545,2.9678528232223567,0.1627749999970547,True
case_001,3,6,1,78545,2.9678528232223567,0.1627749999970547,True
case_001,4,1,1,58984,3.952088702020887,0.15550470000016503,False
case_001,4,2,1,58984,3.952088702020887,0.15550470000016503,True
case_001,4,3,1,58984,3.952088702020887,0.15550470000016503,True
case_001,4,4,1,58984,3.952088702020887,0.15550470000016503,True
case_001,4,5,1,58984,3.952088702020887,0.15550470000016503,True
case_001,4,6,1,58984,3.952088702020887,0.15550470000016503,True
case_001,5,1,1,47502,4.9073723211654245,0.16036779999558348,False
case_001,5,2,1,47502,4.9073723211654245,0.16036779999558348,True
case_001,5,3,1,47502,4.9073723211654245,0.16036779999558348,True
case_001,5,4,1,47502,4.9073723211654245,0.16036779999558348,True
case_001,5,5,1,47502,4.9073723211654245,0.16036779999558348,True
case_001,5,6,1,47502,4.9073723211654245,0.16036779999558348,True
case_002,2,1,1,128419,2.0397682585910184,0.8987649000046076,False
case_002,2,2,2,127559,2.0535203317680444,1.7028843000007328,False
case_002,2,3,2,127559,2.0535203317680444,1.7028843000007328,True
case_002,2,4,2,127559,2.0535203317680444,1.7028843000007328,True
case_002,2,5,2,127559,2.0535203317680444,1.7028843000007328,True
case_002,2,6,2,127559,2.0535203317680444,1.7028843000007328,True
case_002,3,1,1,108524,2.4137057240794664,0.8629386000029626,False
case_002,3,2,2,108524,2.4137057240794664,1.6082909999968251,False
case_002,3,3,3,108524,2.4137057240794664,2.2764248000021325,False
case_002,3,4,3,108524,2.4137057240794664,2.2764248000021325,True
case_002,3,5,3,108524,2.4137057240794664,2.2764248000021325,True
case_002,3,6,3,108524,2.4137057240794664,2.2764248000021325,True
case_002,4,1,1,108574,2.412594175401109,0.7910563000041293,False
case_002,4,2,2,108574,2.412594175401109,1.4040450000029523,False
case_002,4,3,3,108574,2.412594175401109,1.960465000003751,False
case_002,4,4,3,108574,2.412594175401109,1.960465000003751,True
case_002,4,5,3,108574,2.412594175401109,1.960465000003751,True
case_002,4,6,3,108574,2.412594175401109,1.960465000003751,True
case_002,5,1,1,108635,2.411239471625167,0.7659425000019837,False
case_002,5,2,2,108635,2.411239471625167,1.3440689999988535,False
case_002,5,3,3,108635,2.411239471625167,1.8633221000054618,False
case_002,5,4,3,108635,2.411239471625167,1.8633221000054618,True
case_002,5,5,3,108635,2.411239471625167,1.8633221000054618,True
case_002,5,6,3,108635,2.411239471625167,1.8633221000054618,True
case_003,2,1,1,335900,1.7928311997618338,7.330126599998039,False
case_003,2,2,2,335900,1.7928311997618338,15.79011090000131,False
case_003,2,3,3,335900,1.7928311997618338,20.781033999999636,False
case_003,2,4,3,335900,1.7928311997618338,20.781033999999636,True
case_003,2,5,3,335900,1.7928311997618338,20.781033999999636,True
case_003,2,6,3,335900,1.7928311997618338,20.781033999999636,True
case_003,3,1,1,243060,2.4776269233934007,5.6919865000018035,False
case_003,3,2,2,241876,2.489755081115944,12.761840500003018,False
case_003,3,3,2,241876,2.489755081115944,12.761840500003018,True
case_003,3,4,2,241876,2.489755081115944,12.761840500003018,True
case_003,3,5,2,241876,2.489755081115944,12.761840500003018,True
case_003,3,6,2,241876,2.489755081115944,12.761840500003018,True
case_003,4,1,1,210905,2.8553709015907636,5.675406999995175,False
case_003,4,2,2,209284,2.877487051088473,11.487716899995576,False
case_003,4,3,2,209284,2.877487051088473,11.487716899995576,True
case_003,4,4,2,209284,2.877487051088473,11.487716899995576,True
case_003,4,5,2,209284,2.877487051088473,11.487716899995576,True
case_003,4,6,2,209284,2.877487051088473,11.487716899995576,True
case_003,5,1,1,186476,3.2294343508011756,5.875926100001379,False
case_003,5,2,2,182936,3.2919272313814667,11.737866700001177,False
case_003,5,3,2,182936,3.2919272313814667,11.737866700001177,True
case_003,5,4,2,182936,3.2919272313814667,11.737866700001177,True
case_003,5,5,2,182936,3.2919272313814667,11.737866700001177,True
case_003,5,6,2,182936,3.2919272313814667,11.737866700001177,True
case_004,2,1,1,202270,1.939768626093835,0.2768971000041347,False
case_004,2,2,2,199074,1.9709103147573264,0.4101580999995349,False
case_004,2,3,2,199074,1.9709103147573264,0.4101580999995349,True
case_004,2,4,2,199074,1.9709103147573264,0.4101580999995349,True
case_004,2,5,2,199074,1.9709103147573264,0.4101580999995349,True
case_004,2,6,2,199074,1.9709103147573264,0.4101580999995349,True
case_004,3,1,1,134043,2.927098020784375,0.19333219999680296,False
case_004,3,2,2,134043,2.927098020784375,0.38639140000304906,False
case_004,3,3,2,134043,2.927098020784375,0.38639140000304906,True
case_004,3,4,2,134043,2.927098020784375,0.38639140000304906,True
case_004,3,5,2,134043,2.927098020784375,0.38639140000304906,True
case_004,3,6,2,134043,2.927098020784375,0.38639140000304906,True
case_004,4,1,1,104188,3.765855952700887,0.20271459999639774,False
case_004,4,2,2,104188,3.765855952700887,0.39654119999613613,False
case_004,4,3,2,104188,3.765855952700887,0.39654119999613613,True
case_004,4,4,2,104188,3.765855952700887,0.39654119999613613,True
case_004,4,5,2,104188,3.765855952700887,0.39654119999613613,True
case_004,4,6,2,104188,3.765855952700887,0.39654119999613613,True
case_004,5,1,1,94979,4.130986849724676,0.2726891999991494,False
case_004,5,2,2,88341,4.441391879195391,0.38204270000278484,False
case_004,5,3,2,88341,4.441391879195391,0.38204270000278484,True
case_004,5,4,2,88341,4.441391879195391,0.38204270000278484,True
case_004,5,5,2,88341,4.441391879195391,0.38204270000278484,True
case_004,5,6,2,88341,4.441391879195391,0.38204270000278484,True
case_005,2,1,1,62419,1.5318733078069178,1.1731386999963433,False
case_005,2,2,2,62419,1.5318733078069178,2.981772999999521,False
case_005,2,3,3,62419,1.5318733078069178,3.9241182999976445,False
case_005,2,4,3,62419,1.5318733078069178,3.9241182999976445,True
case_005,2,5,3,62419,1.5318733078069178,3.9241182999976445,True
case_005,2,6,3,62419,1.5318733078069178,3.9241182999976445,True
case_005,3,1,1,50702,1.8858822137193798,1.1855383000001893,False
case_005,3,2,2,50611,1.8892730829266364,2.167422799997439,False
case_005,3,3,2,50611,1.8892730829266364,2.167422799997439,True
case_005,3,4,2,50611,1.8892730829266364,2.167422799997439,True
case_005,3,5,2,50611,1.8892730829266364,2.167422799997439,True
case_005,3,6,2,50611,1.8892730829266364,2.167422799997439,True
case_005,4,1,1,44678,2.1401584672545773,1.0170804999943357,False
case_005,4,2,2,44678,2.1401584672545773,1.9035193999952753,False
case_005,4,3,2,44678,2.1401584672545773,1.9035193999952753,True
case_005,4,4,2,44678,2.1401584672545773,1.9035193999952753,True
case_005,4,5,2,44678,2.1401584672545773,1.9035193999952753,True
case_005,4,6,2,44678,2.1401584672545773,1.9035193999952753,True
case_005,5,1,1,45077,2.1212148102136346,1.1854825999980676,False
case_005,5,2,2,45077,2.1212148102136346,2.3046962000007625,False
case_005,5,3,3,44683,2.139918984848824,3.1386883000013768,False
case_005,5,4,4,44683,2.139918984848824,3.9507956999950693,False
case_005,5,5,4,44683,2.139918984848824,3.9507956999950693,True
case_005,5,6,4,44683,2.139918984848824,3.9507956999950693,True
case_006,2,1,1,46100,1.7968980477223426,0.20431120000284864,False
case_006,2,2,2,46100,1.7968980477223426,0.3313869999983581,False
case_006,2,3,3,46100,1.7968980477223426,0.4872842999975546,False
case_006,2,4,3,46100,1.7968980477223426,0.4872842999975546,True
case_006,2,5,3,46100,1.7968980477223426,0.4872842999975546,True
case_006,2,6,3,46100,1.7968980477223426,0.4872842999975546,True
case_006,3,1,1,31153,2.6590376528745225,0.2051590000046417,False
case_006,3,2,1,31153,2.6590376528745225,0.2051590000046417,True
case_006,3,3,1,31153,2.6590376528745225,0.2051590000046417,True
case_006,3,4,1,31153,2.6590376528745225,0.2051590000046417,True
case_006,3,5,1,31153,2.6590376528745225,0.2051590000046417,True
case_006,3,6,1,31153,2.6590376528745225,0.2051590000046417,True
case_006,4,1,1,31428,2.6357706503754614,0.21172479999950156,False
case_006,4,2,2,31153,2.6590376528745225,0.34622709999530343,False
case_006,4,3,2,31153,2.6590376528745225,0.34622709999530343,True
case_006,4,4,2,31153,2.6590376528745225,0.34622709999530343,True
case_006,4,5,2,31153,2.6590376528745225,0.34622709999530343,True
case_006,4,6,2,31153,2.6590376528745225,0.34622709999530343,True
case_006,5,1,1,31733,2.6104370844231557,0.20930899999802932,False
case_006,5,2,2,31153,2.6590376528745225,0.3875913000010769,False
case_006,5,3,2,31153,2.6590376528745225,0.3875913000010769,True
case_006,5,4,2,31153,2.6590376528745225,0.3875913000010769,True
case_006,5,5,2,31153,2.6590376528745225,0.3875913000010769,True
case_006,5,6,2,31153,2.6590376528745225,0.3875913000010769,True
case_007,2,1,1,507494,1.9952196479170197,2.523203899996588,False
