cores,evaluation_budget,cases_with_feasible_result,mean_speedup,jobs_reaching_budget
2,1,100,1.8483166045437998,100
2,2,100,1.8774063264915062,81
2,3,100,1.8893280284516996,50
2,4,100,1.890839285352795,17
2,5,100,1.890839285352795,5
2,6,100,1.890839285352795,0
3,1,100,2.5641005832835315,100
3,2,100,2.5937848529413716,81
3,3,100,2.6223804916693876,55
3,4,100,2.6234837642609605,21
3,5,100,2.6235546467976465,2
3,6,100,2.623565520857705,1
4,1,100,3.175322249308,100
4,2,100,3.2137025007164324,81
4,3,100,3.25178688765784,54
4,4,100,3.254696585427688,18
4,5,100,3.25493480663082,2
4,6,100,3.25493480663082,1
5,1,100,3.6686071893366514,100
5,2,100,3.721803436953435,83
5,3,100,3.776214306091713,59
5,4,100,3.784948591824139,18
5,5,100,3.7863863185912505,6
5,6,100,3.7863863185912505,1
