evaluation_count,mean_speedup
1.000000000000000000e+00,3.325143886029545470e+00
2.000000000000000000e+00,3.913696243172767097e+00
3.000000000000000000e+00,3.955587868151225095e+00
4.000000000000000000e+00,3.996773401630100420e+00
5.000000000000000000e+00,4.107742465162138146e+00
6.000000000000000000e+00,4.124148941664159018e+00
7.000000000000000000e+00,4.180964004136363599e+00
8.000000000000000000e+00,4.189325876497655976e+00
9.000000000000000000e+00,4.203713972594814052e+00
1.000000000000000000e+01,4.204756127220882433e+00
1.100000000000000000e+01,4.215005772658448890e+00
1.200000000000000000e+01,4.215293331284875933e+00
1.300000000000000000e+01,4.226593154831745025e+00
1.400000000000000000e+01,4.231220791465258202e+00
1.500000000000000000e+01,4.231226494228182311e+00
1.600000000000000000e+01,4.231580400344196136e+00
1.700000000000000000e+01,4.239273027827021423e+00
1.800000000000000000e+01,4.240758008225604669e+00
1.900000000000000000e+01,4.243653142868716976e+00
2.000000000000000000e+01,4.243829104228471039e+00
2.100000000000000000e+01,4.244864130115423961e+00
2.200000000000000000e+01,4.245036122091253361e+00
2.300000000000000000e+01,4.245376953817213028e+00
2.400000000000000000e+01,4.246277560520674399e+00
