case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_009,1,1,component_scalar,component_scalar,160281,153261,0.9562019203773373,,0.33670250000432134,8763731649897e6042854bd71b83de21b90f140aad885ebca1e4d83e31e0063d
case_009,1,1,trained,component_scalar_coalesced,153261,153261,1.0,,0.3225933000067016,5a4f347a639005d28076be626133c30228c13fb3c4d3cc9fe287ab89b6ed6040
case_019,1,1,component_scalar,component_scalar,89003,81144,0.9116996056312708,,0.05779449999681674,0135cb278b39f4a74a4929b143e024ce78355721046757b33d4ec25e05344101
case_019,1,1,trained,component_scalar_coalesced,81144,81144,1.0,,0.042194399997242726,6ca0558ee556b4b56f3a68363865a3f8bad08b581e2e9210374aa62c3279e113
case_026,1,1,component_scalar,component_scalar,111040,99203,0.8933987752161383,,0.05445599999802653,5d6e0f23644ab24397b85b57dd5fb2670ea89fbabbf0c7df5d56f7e7795a064d
case_026,1,1,trained,component_scalar_coalesced,99203,99203,1.0,,0.04677179999998771,ac3309b1e0ac9e3ce4b29b36d6032fdbbc595af8329fbc472db8c5731598bfa0
case_066,1,1,component_scalar,component_scalar,368642,359070,0.9740344290666826,,0.3391167000081623,08547bca68dbb9f3f1232344d798bddfd999cb3697067047fa44d3c776ad088c
case_066,1,1,trained,component_scalar_coalesced,359070,359070,1.0,,0.3333527999930084,76f64c7d957f85097c7fd21e4bc6151a680b5e8ba66769199c87d5cec4b2c940
case_071,1,1,component_scalar,component_scalar,18919,18919,1.0,,0.055102300000726245,e00c1ada9c9b2496b0b87bc56943834748c8c9058f8debdc8b15a8018fd210f9
case_071,1,1,trained,component_scalar,18919,18919,1.0,,0.03917429999273736,e00c1ada9c9b2496b0b87bc56943834748c8c9058f8debdc8b15a8018fd210f9
case_094,1,1,component_scalar,component_scalar,110919,94892,0.8555071719002155,,0.07657140000083018,e5d1655eb903efd8b5aae60095f61dfde6040cd588b73b201dfa94181b82dcd1
case_094,1,1,trained,component_scalar_coalesced,94892,94892,1.0,,0.04262929999094922,ca089fdf274fe2e4cf4729d18101b706b829cb574377f7e7d2d25817a5bde093
