case,question,cores,candidate,resource_floor_cycles,estimated_ddr_cycles,logical_memory_excess_bytes,official_evaluator_used
case_034,1,5,component_scalar,172518.0,149511.5,0,0
case_034,1,5,component_vector,182111.0,149511.5,0,0
case_034,1,5,component_affinity,178321.0,149511.5,0,0
case_034,1,5,join_tail,378336.0,334410.56666666665,295006,0
case_034,2,5,component_scalar,159912.0,97552.03333333334,0,0
case_034,2,5,component_vector,150228.0,96135.5,0,0
case_034,2,5,component_affinity,151380.0,89445.36666666667,0,0
case_034,2,5,join_tail,238052.16666666666,238052.16666666666,295006,0
case_034,3,5,component_scalar,159912.0,45456.03333333333,0,0
case_034,3,5,component_vector,150228.0,52931.23333333333,0,0
case_034,3,5,component_affinity,151380.0,47401.63333333333,0,0
case_034,3,5,join_tail,195394.03333333333,202997.23333333334,295006,0
