case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_002,1,1,component_scalar,component_scalar,261945,261945,1.0,,0.08372100000269711,bdec6b425480ffabf2c343f59ea8219c337056282ac3f5481528e8714ef07349
case_002,1,1,trained,component_scalar,261945,261945,1.0,,0.07796129999042023,bdec6b425480ffabf2c343f59ea8219c337056282ac3f5481528e8714ef07349
case_005,1,1,component_scalar,component_scalar,95618,95618,1.0,,0.20360679998702835,e92aed62cef6d467632ae9ea7255006f98c949f31c43bb4c7f7426a9ee39ec66
case_005,1,1,trained,component_scalar,95618,95618,1.0,,0.19245159999991301,e92aed62cef6d467632ae9ea7255006f98c949f31c43bb4c7f7426a9ee39ec66
case_012,1,1,component_scalar,component_scalar,74031,59088,0.7981521254609556,,0.10972880000190344,74d95284e503b59e202fc0b29f22032364123dbe0b409106f8d9c4cb8af53393
case_012,1,1,trained,component_scalar_coalesced,59088,59088,1.0,,0.0730566000129329,f845188ca30e3a91b8c0d2a7b0869186a374babfb19f836c8121218473168878
case_050,1,1,component_scalar,component_scalar,154750,149690,0.9673021001615509,,0.2752682999998797,543e197d2ba4ceb248ab658bfcfac067acd4a180a59d54516a164b0864c0ee21
case_050,1,1,trained,component_scalar,154750,149690,0.9673021001615509,,0.26956470000732224,543e197d2ba4ceb248ab658bfcfac067acd4a180a59d54516a164b0864c0ee21
case_065,1,1,component_scalar,component_scalar,63633,53068,0.833969795546336,,0.06916070000443142,e8aff2b2c3dbf6f5fc7370a9b867ae2929770d0eb8715eef0e0777c699da384c
case_065,1,1,trained,component_scalar_coalesced,53068,53068,1.0,,0.056384000010439195,324b32ab1bc11eff080bc989cb4ad263245a7e9943be9c3c5b9150a5586ca87e
case_080,1,1,component_scalar,component_scalar,298430,292138,0.9789163287873203,,0.07829919998766854,6a708fe679f59584f5e17670d30c086aae324550ee72bba83ad3a75a89b0672c
case_080,1,1,trained,component_scalar_coalesced,292138,292138,1.0,,0.07871019998856355,ac164e995a70ec941f3dc5187eec8c42b30a4f521305e44accc650bdd9b73eae
case_002,1,2,component_scalar,component_scalar,261945,261945,1.0,,0.141797400006908,a155afff5de91170662de2acad42ee8e1cfdc0287c5d88cfc887e8e9b2dc32c6
case_002,1,2,trained,depth_band,133445,261945,1.9629435347896138,,0.13816469999437686,0a146fe52fa8ba8678f4106f3b22d27e3376c666b57aa45162eb4ddd03ba76c7
case_005,1,2,component_scalar,component_scalar,95618,95618,1.0,,0.42269540000415873,66cb9876e7e39a0fc2ae3dc9f426b4d78ea0af3bbce8ac266fc644b7b8c58af0
case_005,1,2,trained,valley_stage,59296,95618,1.6125539665407447,,0.4654432999959681,28c9653dca7da9477ccbf547021534ca5c09e32b51f6ed45cfd8f8e5dbef232d
case_012,1,2,component_scalar,component_scalar,38355,59088,1.5405553382870552,,0.11022139999840874,5e99458fe4631b3123959a6471e5c9760c7656fca90dc8dba3fc107427f57186
case_012,1,2,trained,component_vector_coalesced,30094,59088,1.9634478633614674,,0.1136599000019487,2b77110d58174bcc7a08dfbec0192d27a24f4825dfaf32adf188e3ac7efe32af
case_050,1,2,component_scalar,component_scalar,108121,149690,1.3844674022622803,,0.5157487000105903,8625d9ce5c470447cff1659bfcfcf4a212b1bd72ca0ace373bad65e355d42b76
case_050,1,2,trained,valley_stage,93147,149690,1.6070297486768226,,0.5274689999932889,f7af5c172ba0f206cf5d4c7099b6a5cea9ce816102d6e6e715fd17d758762dfd
case_065,1,2,component_scalar,component_scalar,32463,53068,1.6347226072759757,,0.09648829999787267,b170319fb6bd0f94a1aec38231b43c0de515137aab4af83fd7b98f48baf8770a
case_065,1,2,trained,component_scalar_coalesced,26610,53068,1.9942878617061255,,0.10037269999156706,35699a44f251f5360ea2cd7acf94aab5dbe79e03463781cd153e75f9cab6951f
case_080,1,2,component_scalar,component_scalar,151640,292138,1.9265233447639145,,0.10981769999489188,c2d6c312c3326143eeae6b87a406f22b3e6f759f9876a02c3b1bc8885e6ab9dc
case_080,1,2,trained,component_affinity_coalesced,145825,292138,2.0033464769415397,,0.1058950000006007,dbbc65d0c1cfdaa433a3c1c5b9997e93cfec3575ee5f6e294ddb397499edbe19
