case,sha256,compute_ops,weak_components,largest_component_fraction,vector_share,compute_cycles,critical_path_cycles,shared_input_tensors,dag_edges,graph_depth_ops,tensor_count,total_tensor_bytes,input_tensor_count,input_tensor_bytes,output_tensor_count,output_tensor_bytes,matrix_cycles,vector_cycles,work_span_parallelism
case_001,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,600,200,0.005,0.11550151975683891,263200,1316,201,400,3,1202,4917504,201,820352,200,819200,232800,30400,200.0
case_002,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,1798,1,1.0,0.13020788031660432,275928,2976,199,1797,24,2595,5208576,398,1222656,1,1536,240000,35928,92.71774193548387
case_003,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,13455,10,0.9806020066889632,0.42565063790853436,763981,28285,93,20540,305,13868,10353812,198,1284230,17,34,438792,325189,27.010111366448648
case_004,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,777,111,0.009009009009009009,0.11059907834101383,433566,2748,114,777,6,1116,5336064,114,451584,111,340992,385614,47952,157.77510917030568
case_005,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,4113,1,1.0,0.4881742140178829,124812,6894,71,6258,138,4298,3550860,89,318822,7,14592,63882,60930,18.10443864229765
case_006,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,678,27,0.20058997050147492,0.7871321013004792,87660,2836,72,695,22,982,3709238,131,543264,42,84,18660,69000,30.909732016925247
case_007,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,3885,555,0.0018018018018018018,0.20540540540540542,1232100,1632,558,3885,6,5556,12842496,558,880128,555,852480,979020,253080,754.9632352941177
case_008,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,864,108,0.009259259259259259,0.4867021276595745,487296,4512,0,972,8,1836,15303600,432,1990872,108,663552,250128,237168,108.0
case_009,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,5671,25,0.8418268383001234,0.6480729346698928,185152,9965,213,8056,366,6376,3302976,318,495194,69,138,65160,119992,18.580230807827395
case_010,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,667,36,0.19940029985007496,0.5543723652927897,100106,3146,58,700,62,889,2941496,93,384078,36,72,44610,55496,31.820089001907185
