case,variant,cores,status,makespan_cycles,original_copy_bytes,scheduled_copy_bytes,added_copy_bytes,cache_hit_rate,cache_hit_bytes,wall_seconds,error
case_071,singlecore,1,ok,18919,121446,121446,0,,,0.136,
case_071,q1,2,ok,18919,121446,121446,0,,,0.145,
case_071,q1,3,ok,18919,121446,121446,0,,,0.171,
case_071,q1,4,ok,18919,121446,121446,0,,,0.165,
case_071,q1,5,ok,18919,121446,121446,0,,,0.159,
case_071,q2,1,ok,18919,121446,121446,0,,,0.105,
case_071,q2,2,ok,18919,121446,121446,0,,,0.114,
case_071,q2,3,ok,18919,121446,121446,0,,,0.13,
case_071,q2,4,ok,18919,121446,121446,0,,,0.152,
case_071,q2,5,ok,18919,121446,121446,0,,,0.14,
case_071,q3,1,ok,18919,121446,121446,0,0.0,0,0.109,
case_071,q3,2,ok,18919,121446,121446,0,0.0,0,0.101,
case_071,q3,3,ok,18919,121446,121446,0,0.0,0,0.131,
case_071,q3,4,ok,18919,121446,121446,0,0.0,0,0.118,
case_071,q3,5,ok,18919,121446,121446,0,0.0,0,0.117,
case_072,singlecore,1,ok,23897828,11103184,119716864,108613680,,,868.007,
