case,cores,question,move,proxy_change_pct,official_time_change_pct,added_spill_bytes
case_001,2,1,migrate_s0_to1,73.61651503841118,60.535587997575256,0
case_001,2,1,split_s2_cut50_to1,2.464415524891028,0.10671347747019944,0
case_001,2,1,swap_s0_s3,74.18522631338604,61.10388462315619,0
case_001,2,2,migrate_s2_to1,12.61198428028123,75.30565660888793,-565248
case_001,2,2,split_s2_cut50_to1,5.899287005564702,2.5101647763749124,-409600
case_001,2,2,swap_s0_s1,14.338265766221703,67.36785790712605,-1130496
case_001,2,3,migrate_s2_to1,10.167475582604713,75.28568371495827,-565248
case_001,2,3,split_s2_cut50_to1,4.677032656726432,0.0,-409600
case_001,2,3,swap_s0_s1,9.840369762496891,67.31079249589843,-1130496
case_001,5,1,migrate_s0_to1,2.6693797153157117,4.634472587587668,0
case_001,5,1,split_s5_cut20_to1,0.0,1.0152110164114436,0
case_001,5,1,swap_s0_s6,3.923700152376708,5.53135664431601,0
case_001,5,2,migrate_s10_to1,12.072892748646712,53.40568571739097,-73728
case_001,5,2,split_s5_cut20_to1,7.563977013697598,5.286692440262697,-73728
case_001,5,2,swap_s0_s1,13.796365363859486,82.0004036828295,0
case_001,5,3,migrate_s10_to1,9.939283824160604,53.26284410079649,-73728
case_001,5,3,split_s5_cut20_to1,7.563977013697598,5.286692440262697,-73728
case_001,5,3,swap_s0_s1,9.955869299784537,68.7347648547518,0
case_026,2,1,migrate_s2_to1,13.781154004563101,16.968066162795292,0
case_026,2,1,split_s2_cut23_to1,5.642954827789892,6.885362668671591,0
case_026,2,1,swap_s0_s1,12.208886070725345,14.880693284792844,0
case_026,2,2,migrate_s2_to1,16.441338532065906,16.09679937548789,0
case_026,2,2,split_s2_cut23_to1,6.476486699649486,6.0577673692427725,0
case_026,2,2,swap_s0_s1,14.771864705635895,12.542935206869643,0
case_026,2,3,migrate_s2_to1,14.110932016096323,16.09679937548789,0
case_026,2,3,split_s2_cut23_to1,5.777871934930445,6.0577673692427725,0
case_026,2,3,swap_s0_s1,12.457333456130492,12.542935206869643,0
case_026,5,1,migrate_s0_to2,20.111608700483117,14.02501961108129,0
case_026,5,1,split_s10_cut40_to2,37.43907957712922,43.18979398043021,0
case_026,5,1,swap_s0_s2,5.639195360748639,7.026960075967126,0
case_026,5,2,migrate_s0_to2,25.157063363244347,13.79508703155292,0
case_026,5,2,split_s0_cut34_to2,42.45410945529087,35.652044229499126,0
case_026,5,2,swap_s0_s2,7.883374920494801,-0.20026844493683527,0
case_026,5,3,migrate_s0_to2,22.664274821461248,14.569964253413147,0
case_026,5,3,split_s0_cut34_to2,40.165454954471144,36.66178560661528,0
case_026,5,3,swap_s0_s2,5.186727997032148,0.7170851457857896,0
case_032,2,1,migrate_s2_to1,-6.8708183537677385,6.088217022157805,0
case_032,2,1,split_s2_cut27_to1,0.9287842095637489,6.800579830192577,0
case_032,2,1,swap_s0_s1,-9.260838986597864,3.7274798094843575,0
case_032,2,2,migrate_s136_to1,33.29957050542167,39.7913043478261,0
case_032,2,2,split_s136_cut8_to1,33.43148108889045,41.88695652173913,0
