question,case,cores,method,cycles,added_bytes,hit_rate
1,case_009,5,component_affinity,92225,172032,
1,case_009,5,component_affinity_coalesced,92225,49152,
1,case_009,5,component_scalar,92225,172032,
1,case_009,5,component_scalar_coalesced,92225,73728,
1,case_009,5,component_vector,92225,172032,
1,case_009,5,component_vector_coalesced,92225,49152,
1,case_009,5,depth_band,91725,140022,
1,case_009,5,join_tail,152902,829162,
1,case_009,5,join_tail_coalesced,136418,704806,
1,case_009,5,mask_band,87912,727792,
1,case_009,5,shared_prefix,114102,512540,
1,case_009,5,shared_prefix_coalesced,109960,286072,
1,case_009,5,valley_stage,90874,919480,
2,case_009,5,component_affinity,92225,49152,
2,case_009,5,component_affinity_reuse_order,92225,49152,
2,case_009,5,component_scalar,92225,73728,
2,case_009,5,component_vector,92225,49152,
2,case_009,5,component_vector_reuse_order,92225,49152,
2,case_009,5,depth_band,90893,55014,
2,case_009,5,join_tail,122157,704806,
2,case_009,5,mask_band,81193,434272,
2,case_009,5,shared_prefix,108346,296444,
2,case_009,5,valley_stage,55100,934800,
3,case_009,5,component_affinity,92225,49152,0.09029551057599394
3,case_009,5,component_affinity_reuse_order,92225,49152,0.09029551057599394
3,case_009,5,component_scalar,92225,73728,0.1295924573140079
3,case_009,5,component_vector,92225,49152,0.09029551057599394
3,case_009,5,component_vector_reuse_order,92225,49152,0.09029551057599394
3,case_009,5,depth_band,90893,55014,0.045088137277829746
3,case_009,5,join_tail,122157,704806,0.18426718804137998
3,case_009,5,mask_band,81167,434272,0.29762513447545896
3,case_009,5,shared_prefix,107984,296444,0.317609059423279
3,case_009,5,valley_stage,54293,934800,0.3851170542324837
