returncode,process_wall_s,case,cores,makespan_cycles,initial_cycles,singlecore_cycles,speedup,component_baseline_cycles,baseline_speedup,selected,evaluations,added_copy_bytes
0,0.394924499996705,case_001,2,116868,116868,233110,1.9946435294520313,116868,1.9946435294520313,component_baseline,1,1152
0,0.3941717999987304,case_001,3,78545,78545,233110,2.9678528232223567,78545,2.9678528232223567,component_baseline,1,2304
0,0.38924129999941215,case_001,4,58984,58984,233110,3.952088702020887,58984,3.952088702020887,component_baseline,1,3456
0,0.3953466000020853,case_001,5,47502,47502,233110,4.9073723211654245,47502,4.9073723211654245,component_baseline,1,4608
0,2.0522529000008944,case_002,2,127559,128419,261945,2.0535203317680444,261945,1.0,greedy_schedule,2,4968960
0,2.6285750000024564,case_002,3,108524,108524,261945,2.4137057240794664,261945,1.0,data_band_w2,3,4968960
0,2.317525200000091,case_002,4,108574,108574,261945,2.412594175401109,261945,1.0,data_band_w2,3,4968960
0,2.2325382999988506,case_002,5,108635,108635,261945,2.411239471625167,261945,1.0,data_band_w2,3,4968960
0,21.388914899995143,case_003,2,335900,335900,602212,1.7928311997618338,538381,1.1185610190552786,valley_w3,3,1965240
0,13.668640500000038,case_003,3,241876,243060,602212,2.489755081115944,538764,1.1177658492401126,greedy_schedule,2,3010640
0,12.373973599998862,case_003,4,209284,210905,602212,2.877487051088473,539155,1.1169552355074144,greedy_schedule,2,3196140
0,12.662399699998787,case_003,5,182936,186476,602212,3.2919272313814667,539607,1.1160196216876357,greedy_schedule,2,4572928
0,0.6610314999998081,case_004,2,199074,202270,392357,1.9709103147573264,199074,1.9709103147573264,component_baseline,2,110592
0,0.6241927999944892,case_004,3,134043,134043,392357,2.927098020784375,134043,2.927098020784375,component_baseline,2,221184
0,0.6120351000063238,case_004,4,104188,104188,392357,3.765855952700887,104188,3.765855952700887,component_baseline,2,331776
0,0.6156832000051509,case_004,5,88341,94979,392357,4.441391879195391,88341,4.441391879195391,component_baseline,2,442368
0,4.233494299995073,case_005,2,62419,62419,95618,1.5318733078069178,95618,1.0,valley_w3,3,708794
0,2.5267002999971737,case_005,3,50611,50702,95618,1.8892730829266364,95618,1.0,greedy_schedule,2,1117674
0,2.2221108000012464,case_005,4,44678,44678,95618,2.1401584672545773,95618,1.0,valley_w5,2,1115866
0,4.295895199997176,case_005,5,44683,45077,95618,2.139918984848824,95618,1.0,greedy_schedule,4,1568714
0,0.7239738999996916,case_006,2,46100,46100,82837,1.7968980477223426,46100,1.7968980477223426,component_baseline,3,29576
0,0.42840609999984736,case_006,3,31153,31153,82837,2.6590376528745225,31153,2.6590376528745225,component_baseline,1,30080
0,0.5665184000026784,case_006,4,31153,31428,82837,2.6590376528745225,31428,2.6357706503754614,reuse_pack_k3,2,30080
0,0.6174174000043422,case_006,5,31153,31733,82837,2.6590376528745225,31733,2.6104370844231557,reuse_pack_k3,2,30080
0,5.924265000001469,case_007,2,507494,507494,1012562,1.9952196479170197,507494,1.9952196479170197,component_baseline,2,27648
0,4.436209100000269,case_007,3,338094,338094,1012562,2.994912657426633,338094,2.994912657426633,component_baseline,2,55296
0,4.024190799995267,case_007,4,254398,254398,1012562,3.980227831979811,254398,3.980227831979811,component_baseline,2,82944
0,3.428960299999744,case_007,5,203834,203834,1012562,4.967581463347626,203834,4.967581463347626,component_baseline,2,110592
0,0.7801225000002887,case_008,2,244266,244266,487605,1.9962049568912579,244266,1.9962049568912579,component_baseline,2,0
