case,input_sha256,compute_ops,tensor_count,edges,depth,width_max,weak_components,largest_component_fraction,branches,joins,compute_cycles,critical_path_cycles,structural_parallelism,original_copy_bytes,io_compute_ratio,m_share,max_l1_tensor_bytes,max_ub_tensor_bytes,max_compute_producers_per_tensor
case_001,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,600,1202,2402,3,200,200,0.005,0,0,263200,1316,200.0,1639552,0.10382168186423504,0.8844984802431611,4096,4096,1
case_002,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,1798,2595,5392,24,199,1,1.0,0,198,275928,2976,92.71774193548387,1224192,0.07394392740135108,0.8697921196833956,4608,1536,1
case_003,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,13455,13868,36295,305,325,10,0.9806020066889632,3640,7166,763981,28285,27.010111366448648,1284264,0.028016927122533154,0.5743493620914656,32768,8192,1
case_004,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,777,1116,2670,6,222,111,0.009009009009009009,111,222,433566,2748,157.77510917030568,792576,0.030467333693140145,0.8894009216589862,36864,6144,1
case_005,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,4113,4298,11187,138,196,1,1.0,1166,2170,124812,6894,18.10443864229765,333414,0.04452216133064128,0.5118257859821171,9216,4608,1
case_006,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,678,982,1995,22,116,27,0.20058997050147492,26,133,87660,2836,30.909732016925247,543348,0.10330595482546201,0.21286789869952089,16384,16384,1
case_007,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,3885,5556,13326,6,1110,555,0.0018018018018018018,555,1110,1232100,1632,754.9632352941177,1732608,0.023437058680301923,0.7945945945945946,9216,3072,1
case_008,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,864,1836,3348,8,108,108,0.009259259259259259,216,216,487296,4512,108.0,2654424,0.09078752955082743,0.5132978723404256,18432,18432,1
case_009,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,5671,6376,15754,366,217,25,0.8418268383001234,1435,2585,185152,9965,18.580230807827395,495332,0.04458787014633022,0.35192706533010715,8192,6144,1
case_010,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,667,889,1899,62,80,36,0.19940029985007496,58,113,100106,3146,31.820089001907185,384150,0.06395720536231594,0.44562763470721034,16384,16384,1
case_011,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,688,1056,2448,22,352,16,0.0625,0,336,209984,2120,99.04905660377358,606208,0.04811541196789597,0.8783907345321549,4096,0,1
case_012,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,972,1555,3131,19,195,50,0.10082304526748971,44,209,67809,2506,27.058659217877096,554898,0.1363875001843413,0.5245911309708151,9216,9216,1
case_013,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,1968,4190,8126,4,984,246,0.0040650406504065045,0,738,307008,400,767.52,2527232,0.13719685914807866,0.8589743589743589,2048,0,1
case_014,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,35705,40287,108272,124,15921,1340,0.0034729029547682397,144,14725,18877172,31968,590.5021271271271,9932740,0.00876962220117858,0.9125174046197174,165888,128,1
case_015,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,1013,1501,3107,29,172,46,0.14313919052319843,68,222,196477,7913,24.82964741564514,884614,0.07503965688944084,0.4834153615944869,32768,16384,1
case_016,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,17995,18020,43019,2440,12,1,1.0,304,3355,7714975,655140,11.77607076350093,393218,0.0008494691600858503,0.0,32768,32768,1
case_017,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,1373,2015,4245,18,233,60,0.11798980335032774,60,288,177802,5980,29.73277591973244,643862,0.06035383928939682,0.622040247016344,24576,9216,1
case_018,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,2727,3717,8718,28,1084,126,0.021635496883021636,52,1010,1084051,3539,306.3156258830178,1592848,0.02448913073892895,0.8960095050878603,8192,8192,1
case_019,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,647,854,1841,79,57,31,0.26275115919629055,78,104,88712,12234,7.25126696092856,186984,0.03512940752096672,0.5459915231310307,8192,8192,1
case_020,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,7008,7872,18048,24,576,288,0.003995433789954338,1344,1344,532608,1824,292.0,2359296,0.0738284066330209,0.0,0,4096,1
case_021,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,3920,4900,12820,7,2000,80,0.0125,0,1920,6975360,5544,1258.1818181818182,3338240,0.007976266935804508,0.8876961189099918,12288,0,1
case_022,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,1356,1705,3720,36,149,32,0.13495575221238937,91,276,58571,1986,29.491943605236656,213686,0.0608054042671857,0.07655665773164194,2304,8192,1
case_023,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,1011,1336,2869,31,96,43,0.12561819980217606,142,207,132942,4218,31.51778093883357,443444,0.05559366741385968,0.4767793473845737,24576,8192,1
case_024,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,5959,5984,14255,808,12,1,1.0,100,1111,2554795,216948,11.77607076350093,393218,0.0025652286517443995,0.0,32768,32768,1
case_025,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,18662,26666,63990,6,5332,2666,0.00037509377344336085,2666,5332,5918520,1632,3626.544117647059,8217600,0.02314092036522644,0.7945945945945946,9216,3072,1
case_026,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,636,871,1849,49,76,31,0.3113207547169811,42,119,111760,4319,25.87636026858069,528854,0.07886751371987592,0.3667859699355762,24576,16384,1
case_027,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,1424,2160,5024,45,720,16,0.0625,0,704,2516352,21048,119.55302166476625,2039808,0.013510351492954882,0.8858538074164505,12288,0,1
case_028,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,19584,20151,51822,124,306,153,0.006535947712418301,3672,3672,40950144,246816,165.91365227537923,5908608,0.002404797404375428,0.9517575322812052,165888,0,1
case_029,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,861,1281,2772,12,168,21,0.047619047619047616,42,231,37485,407,92.1007371007371,430164,0.19126050420168067,0.0,0,2048,1
case_030,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,10070,11940,30954,12,4472,486,0.005660377358490566,0,3986,3183302,1494,2130.724230254351,2394060,0.012534468925662724,0.8722012551746583,6144,128,1
case_031,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,6135,7365,18435,136,1659,107,0.34995925020374896,749,2690,1555517,13057,119.13280232825305,2185040,0.02341172313342338,0.8579089781725304,13824,8192,1
case_032,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,827,1186,2469,30,137,25,0.22853688029020555,30,180,44145,1146,38.52094240837696,293088,0.11065352814588289,0.22992411371616264,4608,4608,1
case_033,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,3465,4572,11073,34,1439,95,0.01847041847041847,65,1411,1920150,6300,304.7857142857143,2972910,0.0258044944405385,0.899985938598547,13824,13824,1
case_034,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,3745,5144,11907,24,1374,155,0.025100133511348464,64,1320,944116,3677,256.7625781887408,2280386,0.04025610553505431,0.7935041880446895,8192,8192,1
case_035,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,3857,4538,10712,333,224,16,0.6300233341975628,750,1434,206101,17200,11.982616279069767,410854,0.03322432529035117,0.30175496479881225,8192,8192,1
case_036,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,2400,4802,9602,3,800,800,0.00125,0,0,1052800,1316,800.0,6554752,0.10376697061803444,0.8844984802431611,4096,4096,1
case_037,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,780,1160,2740,6,400,20,0.05,0,380,238480,904,263.8053097345133,614400,0.04293861120429386,0.8788996980878899,4096,0,1
case_038,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,5907,7649,18941,36,2594,130,0.019637717961740308,78,2542,1492776,8754,170.525017135024,2802950,0.03129460370030958,0.8876080537200491,32768,6144,1
case_039,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,5250,6612,17182,8,2660,70,0.014285714285714285,0,2590,1476300,784,1883.0357142857142,4489216,0.050680936575673415,0.9333333333333333,8192,0,1
case_040,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,3083,3647,8621,229,196,28,0.7116445021083361,662,1262,297723,16120,18.469168734491316,911238,0.051011510699542864,0.376094557692889,16384,16384,1
case_041,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,16594,19210,51024,49,7574,494,0.010967819693865252,8,7120,6502990,1767,3680.243350311262,4949980,0.012686420656754304,0.9065429902244967,6144,4096,1
case_042,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,4733,5853,14855,53,2057,104,0.054510881047961125,26,2011,1825102,5685,321.0381706244503,2388964,0.021815803536825155,0.8761570586191895,18432,16384,1
case_043,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,9309,10140,25867,202,547,38,0.5274465570952841,2275,4640,861593,27474,31.36030428769018,1431122,0.0276836433598385,0.6009241022153151,16384,8192,1
case_044,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,1364,1497,3686,124,11,11,0.09090909090909091,264,264,84392,7672,11.0,975456,0.1926438524978671,0.8816475495307612,73728,0,1
case_045,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,1651,1855,4253,24,136,68,0.016959418534221685,317,317,125476,1824,68.79166666666667,557056,0.07399237038690001,0.0,0,4096,1
case_046,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,992,1116,2708,124,8,8,0.125,192,192,227648,28456,8.0,1061472,0.07771296035985381,0.9191734607815575,73728,0,1
case_047,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f,13710,14259,37206,460,196,1,1.0,3873,7266,413130,19990,20.666833416708354,463942,0.018716546042811383,0.3721830900685014,4096,2048,1
case_048,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764,1728,2069,4961,369,57,1,1.0,537,777,259596,75960,3.417535545023697,414790,0.02663048223650082,0.5375121342393565,4096,4096,1
case_049,444854fe118a208ddfa10fa0ddd48d7b5e6cfd3780a8049f2145fc1a9b674a08,4303,4609,11684,186,134,11,0.918429003021148,1113,2080,261179,8921,29.27687478982177,152540,0.00973406488781002,0.3655117754490215,8192,8192,1
case_050,3b6b1abd65fbfbb2a40972bdbd643c43107c4b232512741740ff351c366367aa,4555,4969,12462,186,134,23,0.8805708013172339,1172,2158,185379,6829,27.145848586908773,319376,0.02871378814932292,0.28033380264215474,2048,8192,1
case_051,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b,1416,1441,3398,192,12,1,1.0,23,264,607080,51552,11.77607076350093,393218,0.01079533724275768,0.0,32768,32768,1
case_052,6196e8c72258ff26d0ab4dcee50c4f5b39f78142729a2223cfcbd4a9181ab7d0,1008,1606,3272,17,218,52,0.11904761904761904,58,244,204123,3665,55.695225102319235,810204,0.0661532507360758,0.6933466586322953,13824,6912,1
case_053,f3593af4c9aa960385c5fdfaf8ad98c396f05746d9e1fe6cc731adeae7019dbc,11670,12377,31833,241,318,39,0.8443016281062553,3082,5623,1556802,56912,27.354547371380377,2995288,0.0320666768585001,0.7789853815706814,73728,9216,1
case_054,4c874b67351e0a6d336af3117c1289099c54993581f90de11e8f49fb33bb9828,15751,16484,42855,354,324,24,0.97708082026538,4254,8426,1014888,20291,50.01665763146222,1606276,0.026378542919678494,0.5657924815349082,8192,3072,1
case_055,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134,1236,1641,3467,28,200,24,0.14805825242718446,26,252,130845,6962,18.794168342430336,625810,0.07971391086145184,0.4722840001528526,13824,8192,1
case_056,fda213426382a3810afd172eadc10b9221330b906888537cb13b16369be3369d,7678,8157,20894,300,162,19,0.9721281583745767,2069,3894,376969,13737,27.44187231564388,221600,0.009797445766981725,0.3475511248935589,2048,4096,1
case_057,89778038db7db919a13c5885aa555c8ae054a3f43845c73fe346b6123d12a525,865,1180,2563,101,126,21,0.223121387283237,30,165,61627,8189,7.525583099279522,342460,0.0926163315862636,0.22817920716569037,4608,4096,1
