case,cores,strategy,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,subgraphs,wall_seconds,error
case_002,5,first_join,ok,61214,611328,1835520,6,0.403,
case_062,5,first_join,ok,651747,6700032,20101632,6,35.406,
case_063,5,first_join,ok,245593,2509824,7531008,6,4.279,
case_005,5,terminal_branch,ok,78721,372596,706010,6,1.54,
case_048,5,terminal_branch,ok,212734,67852,482642,4,0.516,
case_064,5,terminal_branch,ok,16589,31408,68822,5,0.151,
case_069,5,terminal_branch,ok,11254,267954,394008,6,0.17,
case_071,5,terminal_branch,ok,7854,233394,354840,6,0.118,
case_082,5,terminal_branch,ok,584799,607124,1199130,6,1.53,
case_086,5,terminal_branch,ok,94998,409460,747482,6,2.503,
case_016,5,fork_join,ok,3496783,119555952,119949170,1830,18.267,
case_024,5,fork_join,ok,1157515,39327648,39720866,606,2.778,
case_051,5,fork_join,ok,274556,9045396,9438614,144,0.355,
case_005,5,band_4,ok,91538,3137052,3470466,167,1.359,
case_005,5,band_8,ok,68620,2341952,2675366,82,1.028,
case_005,5,band_16,ok,63202,1463306,1796720,37,1.073,
case_005,5,band_32,ok,81471,712676,1046090,17,1.302,
case_009,5,band_4,ok,110837,2249454,2744786,446,3.299,
case_009,5,band_8,ok,74896,1282612,1777944,210,1.948,
case_009,5,band_16,ok,79574,672150,1167482,87,1.446,
case_009,5,band_32,ok,88808,355744,851076,32,1.332,
case_064,5,band_4,ok,21857,253430,290844,123,0.267,
case_064,5,band_8,ok,16805,170580,207994,56,0.204,
case_064,5,band_16,ok,16758,103684,141098,27,0.167,
case_064,5,band_32,ok,17408,51384,88798,11,0.172,
case_069,5,band_4,ok,27499,760820,886874,56,0.272,
case_069,5,band_8,ok,19881,521166,647220,26,0.25,
case_069,5,band_16,ok,16259,315786,441840,13,0.2,
case_069,5,band_32,ok,21404,93322,219376,6,0.218,
case_016,5,fork_join_k2,ok,4823794,119554128,119947346,915,12.008,
case_016,5,fork_join_k3,ok,3712678,119554736,119947954,1220,14.275,
case_016,5,fork_join_k4,ok,3241338,119555344,119948562,1525,16.179,
case_024,5,fork_join_k2,ok,1596718,39327048,39720266,303,2.105,
case_024,5,fork_join_k3,ok,1228774,39327248,39720466,404,2.373,
case_024,5,fork_join_k4,ok,1072818,39327448,39720666,505,2.493,
case_051,5,fork_join_k2,ok,378655,9045258,9438476,72,0.305,
case_051,5,fork_join_k3,ok,291222,9045304,9438522,96,0.311,
case_051,5,fork_join_k4,ok,254308,9045350,9438568,120,0.328,
case_005,5,valley_stage,ok,49597,1149672,1483086,43,0.65,
case_064,5,valley_stage,ok,29744,219004,256418,64,0.212,
case_069,5,valley_stage,ok,16171,287166,413220,21,0.138,
case_071,5,valley_stage,ok,13823,238010,359456,21,0.111,
case_005,5,terminal_branch_k2,ok,85147,174056,507470,3,1.564,
case_005,5,terminal_branch_k3,ok,80957,230988,564402,4,1.56,
case_005,5,terminal_branch_k4,ok,77916,315664,649078,5,1.506,
case_069,5,terminal_branch_k2,ok,15079,166470,292524,3,0.202,
case_069,5,terminal_branch_k3,ok,11285,218794,344848,4,0.177,
case_069,5,terminal_branch_k4,ok,11326,271118,397172,5,0.174,
case_071,5,terminal_branch_k2,ok,12639,117990,239436,3,0.123,
case_071,5,terminal_branch_k3,ok,10106,193450,314896,4,0.123,
case_071,5,terminal_branch_k4,ok,9190,185678,307124,5,0.126,
case_082,5,terminal_branch_k2,ok,627285,305672,897678,3,1.607,
case_082,5,terminal_branch_k3,ok,595031,406156,998162,4,1.557,
case_082,5,terminal_branch_k4,ok,586113,506640,1098646,5,1.542,
case_086,5,terminal_branch_k2,ok,103573,224840,562862,3,2.448,
case_086,5,terminal_branch_k3,ok,99039,286380,624402,4,2.374,
case_086,5,terminal_branch_k4,ok,95724,347920,685942,5,2.324,
case_047,5,valley_stage,ok,128654,1992086,2456028,121,3.123,
case_048,5,valley_stage,ok,184092,1368614,1783404,152,0.522,
case_056,5,valley_stage,ok,236732,202040,423640,7,7.064,
case_082,5,valley_stage,ok,279088,1868618,2460624,44,0.859,
case_086,5,valley_stage,ok,54792,1272746,1610768,44,1.19,
case_075,5,valley_stage,ok,558103,3996736,5833926,110,1.405,
case_085,5,valley_stage,ok,1065695,6887618,8577352,110,5.699,
case_005,5,valley_stage_k2,ok,69138,790202,1123616,20,0.817,
case_005,5,valley_stage_k3,ok,57164,1004778,1338192,28,0.713,
case_005,5,valley_stage_k4,ok,51160,1178072,1511486,36,0.642,
case_047,5,valley_stage_k2,ok,210459,1045330,1509272,55,4.141,
case_047,5,valley_stage_k3,ok,164518,1477182,1941124,77,4.123,
case_047,5,valley_stage_k4,ok,143223,1386666,1850608,99,3.934,
case_075,5,valley_stage_k2,ok,981904,3025874,4863064,55,2.004,
case_075,5,valley_stage_k3,ok,813972,3828094,5665284,77,2.063,
case_075,5,valley_stage_k4,ok,640083,4495252,6332442,88,2.125,
case_082,5,valley_stage_k2,ok,461414,1300378,1892384,20,1.153,
case_082,5,valley_stage_k3,ok,350624,1719466,2311472,28,0.992,
case_082,5,valley_stage_k4,ok,301898,1917114,2509120,36,1.137,
case_085,5,valley_stage_k2,ok,1994323,5239754,6929488,50,7.925,
case_085,5,valley_stage_k3,ok,1506414,6449778,8139512,70,6.575,
case_085,5,valley_stage_k4,ok,1197424,7420314,9110048,90,6.046,
case_086,5,valley_stage_k2,ok,81322,973754,1311776,20,1.233,
case_086,5,valley_stage_k3,ok,67893,1188426,1526448,28,1.038,
case_086,5,valley_stage_k4,ok,58545,1285594,1623616,36,1.164,
case_005,5,valley_split,ok,46927,1599626,1933040,60,0.721,
case_047,5,valley_split,ok,125168,2352214,2816156,165,3.79,
case_075,5,valley_split,ok,406613,6383958,8221148,165,2.624,
