case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,strategy,source_plan
case_001,2,233110,116868,116868,1.9946435294520313,1152,baseline,baseline_results/case_001/q1_n2/case_001_multicore_res.json
case_001,3,233110,78545,78545,2.9678528232223567,2304,baseline,baseline_results/case_001/q1_n3/case_001_multicore_res.json
case_001,4,233110,58984,58984,3.952088702020887,3456,baseline,baseline_results/case_001/q1_n4/case_001_multicore_res.json
case_001,5,233110,47502,47502,4.9073723211654245,4608,baseline,baseline_results/case_001/q1_n5/case_001_multicore_res.json
case_002,2,261945,261945,139290,1.8805729054490632,611328,first_join,q1_optimization/case_002/n2/first_join/case_002_multicore_res.json
case_002,3,261945,261945,96229,2.7221004063224186,611328,first_join,q1_optimization/case_002/n3/first_join/case_002_multicore_res.json
case_002,4,261945,261945,74162,3.5320649389175047,611328,first_join,q1_optimization/case_002/n4/first_join/case_002_multicore_res.json
case_002,5,261945,261945,61214,4.279168164145457,611328,first_join,q1_optimization/case_002/n5/first_join/case_002_multicore_res.json
case_003,2,602212,538381,334673,1.799404194542135,1692218,valley_merge_40_heft,q1_optimization/case_003/n2/valley_merge_40_heft/case_003_multicore_res.json
case_003,3,602212,538764,229451,2.6245777965665873,2471380,valley_merge_40_heft,q1_optimization/case_003/n3/valley_merge_40_heft/case_003_multicore_res.json
case_003,4,602212,539155,213063,2.8264503926068816,3189486,valley_merge_40_heft,q1_optimization/case_003/n4/valley_merge_40_heft/case_003_multicore_res.json
case_003,5,602212,539607,168388,3.5763356058626505,4050696,valley_merge_40_heft,q1_optimization/case_003/n5/valley_merge_40_heft/case_003_multicore_res.json
case_004,2,392357,199074,199074,1.9709103147573264,110592,baseline,baseline_results/case_004/q1_n2/case_004_multicore_res.json
case_004,3,392357,134043,134043,2.927098020784375,221184,baseline,baseline_results/case_004/q1_n3/case_004_multicore_res.json
case_004,4,392357,104188,104188,3.765855952700887,331776,baseline,baseline_results/case_004/q1_n4/case_004_multicore_res.json
case_004,5,392357,88341,88341,4.441391879195391,442368,baseline,baseline_results/case_004/q1_n5/case_004_multicore_res.json
case_005,2,95618,95618,56091,1.7046941577080101,599742,valley_merge_32_heft,q1_optimization/case_005/n2/valley_merge_32_heft/case_005_multicore_res.json
case_005,3,95618,95618,45163,2.1171755640679315,852140,valley_merge_32_heft,q1_optimization/case_005/n3/valley_merge_32_heft/case_005_multicore_res.json
case_005,4,95618,95618,39415,2.425929214765952,1080058,valley_merge_32_heft,q1_optimization/case_005/n4/valley_merge_32_heft/case_005_multicore_res.json
case_005,5,95618,95618,38428,2.488237743312168,1266408,valley_merge_32_heft,q1_optimization/case_005/n5/valley_merge_32_heft/case_005_multicore_res.json
case_006,2,82837,46100,46100,1.7968980477223426,29576,baseline,baseline_results/case_006/q1_n2/case_006_multicore_res.json
case_006,3,82837,31153,31153,2.6590376528745225,30080,baseline,baseline_results/case_006/q1_n3/case_006_multicore_res.json
case_006,4,82837,31428,31153,2.6590376528745225,30080,baseline_k3,q1_optimization/case_006/n4/baseline_k3/case_006_multicore_res.json
case_006,5,82837,31733,31153,2.6590376528745225,30080,baseline_k3,q1_optimization/case_006/n5/baseline_k3/case_006_multicore_res.json
case_007,2,1012562,507494,507494,1.9952196479170197,27648,baseline,baseline_results/case_007/q1_n2/case_007_multicore_res.json
case_007,3,1012562,338094,338094,2.994912657426633,55296,baseline,baseline_results/case_007/q1_n3/case_007_multicore_res.json
case_007,4,1012562,254398,254398,3.980227831979811,82944,baseline,baseline_results/case_007/q1_n4/case_007_multicore_res.json
case_007,5,1012562,203834,203834,4.967581463347626,110592,baseline,baseline_results/case_007/q1_n5/case_007_multicore_res.json
case_008,2,487605,244266,244266,1.9962049568912579,0,baseline,baseline_results/case_008/q1_n2/case_008_multicore_res.json
case_008,3,487605,163359,163359,2.984867684057811,0,baseline,baseline_results/case_008/q1_n3/case_008_multicore_res.json
case_008,4,487605,123060,123060,3.962335446123842,0,baseline,baseline_results/case_008/q1_n4/case_008_multicore_res.json
case_008,5,487605,100603,100603,4.846823653370178,0,baseline,baseline_results/case_008/q1_n5/case_008_multicore_res.json
