scope,case,cores,selected,selected_cycles,component_cycles,oracle_cycles,selected_added_copy_bytes,component_added_copy_bytes,selected_boundary_bytes,selected_proxy_cycles,ratio
development,case_010,5,data_band_1_local_merge,28622,31015,26220,716874,145152,1101024,18350.4,0.9228437852651943
development,case_018,5,component_vector,203865,203865,203865,5693440,5693440,6221328,194408,1.0
development,case_023,5,component_vector,25191,25191,25191,280992,280992,724436,14026,1.0
development,case_037,5,component_vector,43800,43800,43800,1925120,1925120,2539520,42325.333333333336,1.0
development,case_061,5,data_band_4_ready_schedule,21240,22283,21240,147464,83712,691652,18912,0.9531930170982363
development,case_070,5,component_vector,27664,27664,27664,462848,462848,882812,18444,1.0
development,case_078,5,mask_sink_4,573730,663941,573730,16722816,13620024,19067904,413244,0.8641279872759778
development,case_096,5,component_vector,27053,27053,26984,134784,134784,354342,26707,1.0
holdout,case_006,5,data_band_2,27152,31733,27133,858920,63616,1402268,23371.133333333335,0.8556392399079822
holdout,case_015,5,component_vector,43437,43437,43437,321536,321536,1197958,29170,1.0
holdout,case_019,5,data_band_4_ready_schedule,24228,24169,24099,97356,73728,284340,15838,1.0024411436137202
holdout,case_094,5,component_vector,25530,25530,25530,259200,259200,785892,14532,1.0
