case,cores,singlecore_cycles,initial_cycles,makespan_cycles,initial_speedup,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,locality_ratio,internalized_bytes,buffer85_ok,evaluations,wall_seconds,selected
case_001,2,233110,116868,116868,1.9946435294520313,1.9946435294520313,0.0,1152,0,13440,8192,1.0,1638400,True,8,1.9496087179868482,base_w0_k2
case_001,3,233110,78545,78545,2.9678528232223567,2.9678528232223567,0.0,2304,0,13440,8192,1.0,1638400,True,8,2.1333784800372086,base_w0_k3
case_001,4,233110,58984,58984,3.952088702020887,3.952088702020887,0.0,3456,0,13440,8192,1.0,1638400,True,8,2.108553548983764,base_w0_k4
case_001,5,233110,47502,47502,4.9073723211654245,4.9073723211654245,0.0,4608,0,13440,8192,1.0,1638400,True,8,2.1022519069956616,base_w0_k5
case_002,2,261945,261945,124255,1.0,2.1081244215524526,52.5644696405734,1121280,178176,463872,130560,0.9126321647189761,2519040,False,8,6.828730152978096,eft_placement
case_002,3,261945,261945,83772,1.0,3.1268801031370863,68.01924068029548,1003008,0,311808,102912,0.902615470228158,2491392,True,8,6.965808023000136,eft_placement
case_002,4,261945,261945,67434,1.0,3.88446481003648,74.25642787608086,508416,0,233472,76800,0.9087367835281024,2508288,True,8,8.325389595003799,band_w4_k4
case_002,5,261945,261945,53115,1.0,4.931657723806834,79.72284258145794,1362432,0,53760,19968,0.885920979410128,2445312,True,8,8.320347410975955,data_w4_k5
case_003,2,602212,538381,317215,1.1185610190552786,1.8984348155036805,41.07983008315672,1059210,0,119424,37924,0.8889104169731725,11552230,True,8,78.45356638997328,valley_w1_k2
case_003,3,602212,538764,217704,1.1177658492401126,2.7661963032374235,59.59195491903691,2458894,0,118784,29060,0.8548320922281598,11109350,True,8,81.25776221102569,valley_w1_k3
case_003,4,602212,539155,180280,1.1169552355074144,3.3404260039937874,66.5624913058397,2854806,0,118272,21252,0.8363647919689404,10869350,True,8,77.30060679098824,valley_w1_k4
case_003,5,602212,539607,157729,1.1160196216876357,3.81801697848842,70.76965272874519,4863512,0,116736,19204,0.8223690406791534,10687462,True,8,79.1263673559879,valley_w1_k5
