active_cores,added_copy_bytes,band_width,candidate_dir,case,cores,makespan_cycles,partition_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,seed_makespan,seed_width,spill_added_copy_bytes,status
5,332364,9,case_006/n5/w9,case_006,5,31193,332364,180224,47114,27575,8,0,ok
5,481768,7,case_006/n5/w7,case_006,5,27228,350696,88192,131072,27575,8,131072,ok
5,2686976,11,case_011/n5/w11,case_011,5,56045,2686976,83968,0,45978,12,0,ok
3,184188,7,case_012/n3/w7,case_012,3,19092,184188,28224,39438,20332,8,0,ok
5,2416640,13,case_011/n5/w13,case_011,5,51453,2416640,88064,0,45978,12,0,ok
3,156188,9,case_012/n3/w9,case_012,3,21386,156188,28224,55308,20332,8,0,ok
4,228752,11,case_012/n4/w11,case_012,4,16881,228752,28224,34828,16548,12,0,ok
4,120608,13,case_012/n4/w13,case_012,4,16384,120608,28224,40974,16548,12,0,ok
3,66718248,11,case_014/n3/w11,case_014,3,5903600,18497064,523776,202,5929977,12,48221184,ok
2,64927048,13,case_014/n2/w13,case_014,2,8819166,9893704,523776,272,8810735,12,55033344,ok
2,63748300,11,case_014/n2/w11,case_014,2,8821704,11233228,523776,294,8810735,12,52515072,ok
3,70902100,13,case_014/n3/w13,case_014,3,5905068,18155860,523776,196,5929977,12,52746240,ok
4,72662464,11,case_014/n4/w11,case_014,4,4503936,31609792,523776,176,4484418,12,41052672,ok
4,76569888,13,case_014/n4/w13,case_014,4,4477460,29726496,523776,200,4484418,12,46843392,ok
4,8818994,11,case_031/n4/w11,case_031,4,370207,5939250,524288,73218,363420,12,2879744,ok
4,8615972,13,case_031/n4/w13,case_031,4,363680,5803972,524288,119428,363420,12,2812000,ok
2,6083420,7,case_033/n2/w7,case_033,2,891680,2310352,524288,129032,893740,8,3773068,ok
2,6531196,9,case_033/n2/w9,case_033,2,891957,2379876,523776,128012,893740,8,4151320,ok
5,9733320,7,case_033/n5/w7,case_033,5,360956,8848584,523776,122884,358066,8,884736,ok
5,8971488,9,case_033/n5/w9,case_033,5,359801,7546592,524288,124938,358066,8,1424896,ok
3,850224,7,case_035/n3/w7,case_035,3,83012,850224,131232,61858,80298,8,0,ok
3,866420,9,case_035/n3/w9,case_035,3,80314,866420,83968,45158,80298,8,0,ok
4,931792,7,case_055/n4/w7,case_055,4,31862,931792,73728,82950,30952,8,0,ok
4,625476,9,case_055/n4/w9,case_055,4,35367,609092,49152,128010,30952,8,16384,ok
5,748084,11,case_055/n5/w11,case_055,5,27549,748084,53760,53258,26682,12,0,ok
5,652328,13,case_055/n5/w13,case_055,5,26264,652328,43008,69640,26682,12,0,ok
5,210228,11,case_065/n5/w11,case_065,5,11561,210228,32256,36872,11645,12,0,ok
5,81380,13,case_065/n5/w13,case_065,5,12109,81380,32256,24586,11645,12,0,ok
3,376344,11,case_070/n3/w11,case_070,3,40995,376344,116224,30734,42239,12,0,ok
3,311364,13,case_070/n3/w13,case_070,3,44026,311364,116224,25612,42239,12,0,ok
4,1278378,3,case_070/n4/w3,case_070,4,40842,1278378,75520,70724,33350,4,0,ok
4,615594,5,case_070/n4/w5,case_070,4,39597,615594,116736,33542,33350,4,0,ok
5,75628244,11,case_014/n5/w11,case_014,5,3641449,36437204,523776,156,3643027,12,39191040,ok
5,83093316,13,case_014/n5/w13,case_014,5,3636000,36403524,523776,160,3643027,12,46689792,ok
3,4423680,3,case_080/n5/w3,case_080,5,107289,4423680,229376,0,100247,4,0,ok
3,983040,5,case_080/n5/w5,case_080,5,100098,983040,491520,0,100247,4,0,ok
5,38248728,11,case_076/n5/w11,case_076,5,1239331,16298264,524288,8208,1231409,12,21950464,ok
5,37194752,13,case_076/n5/w13,case_076,5,1238120,16297984,524288,8192,1231409,12,20896768,ok
5,71677684,11,case_091/n5/w11,case_091,5,1872241,26069236,523776,10242,1859555,12,45608448,ok
5,71410188,13,case_091/n5/w13,case_091,5,1857347,25962508,523776,10240,1859555,12,45447680,ok
