case,cores,strategy,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,peak_l1_bytes,peak_ub_bytes,wall_seconds,error
case_001,5,q1_selected,ok,47502,4608,0,1644160,,,0.086,
case_002,5,q1_selected,ok,60061,491520,0,1715712,,,0.243,
case_044,5,q1_selected,ok,84213,3721600,0,4697056,,,0.168,
case_048,5,q1_selected,ok,96524,783760,0,1198550,,,0.311,
case_054,5,q1_selected,ok,192335,2732950,0,4339226,,,3.822,
case_056,5,q1_selected,ok,70177,1067204,0,1288804,,,1.525,
case_003,5,q1_selected,ok,159542,4421404,0,5705668,,,3.058,
case_004,5,q1_selected,ok,88341,442368,0,1234944,,,0.109,
case_005,5,q1_selected,ok,32820,1307352,0,1640766,,,0.775,
case_006,5,q1_selected,ok,31153,30080,0,573428,,,0.095,
case_007,5,q1_selected,ok,203834,110592,0,1843200,,,0.732,
case_008,5,q1_selected,ok,100603,0,0,2654424,,,0.153,
case_009,5,q1_selected,ok,42204,789448,0,1284780,,,1.16,
case_010,5,q1_selected,ok,29856,96768,0,480918,,,0.085,
case_011,5,q1_selected,ok,47287,1622016,0,2228224,,,0.147,
case_012,5,q1_selected,ok,14300,49536,0,604434,,,0.14,
case_013,5,q1_selected,ok,54363,32768,0,2560000,,,0.395,
case_014,5,q1_selected,ok,3694640,87765000,55180632,97697740,,,11.906,
case_015,5,q1_selected,ok,43437,321536,8192,1206150,,,0.197,
case_016,5,q1_selected,ok,2118172,212452,0,605670,,,7.12,
case_017,5,q1_selected,ok,35496,340992,0,984854,,,0.234,
case_018,5,q1_selected,ok,203865,5693440,1064960,7286288,,,0.6,
case_019,5,q1_selected,ok,24169,73728,0,260712,,,0.105,
case_020,5,q1_selected,ok,107650,0,0,2359296,,,1.27,
case_021,5,q1_selected,ok,1250168,11431936,2011136,14770176,,,1.257,
case_022,5,q1_selected,ok,11828,20736,0,234422,,,0.237,
case_023,5,q1_selected,ok,25191,280992,0,724436,,,0.18,
case_024,5,q1_selected,ok,703840,201844,0,595062,,,1.711,
case_025,5,q1_selected,ok,975282,110592,0,8328192,,,5.198,
case_026,5,q1_selected,ok,41655,95664,0,624518,,,0.099,
case_027,5,q1_selected,ok,558753,5529600,0,7569408,,,0.319,
case_028,5,q1_selected,ok,10693661,232734528,213565248,238643136,,,7.57,
case_029,5,q1_selected,ok,9383,0,0,430164,,,0.124,
case_030,5,q1_selected,ok,561192,11644416,3974656,14038476,,,2.93,
case_031,5,q1_selected,ok,308135,8217600,1496064,10402640,,,1.615,
case_032,5,q1_selected,ok,10415,12360,0,305448,,,0.133,
case_033,5,q1_selected,ok,376794,8297088,1290240,11269998,,,0.746,
case_034,5,q1_selected,ok,178096,3536896,49152,5817282,,,1.006,
case_035,5,q1_selected,ok,47399,560392,0,971246,,,0.831,
case_036,5,q1_selected,ok,187182,4608,0,6559360,,,0.557,
case_037,5,q1_selected,ok,43800,1925120,0,2539520,,,0.173,
case_038,5,q1_selected,ok,280919,9070080,1477632,11873030,,,1.63,
case_039,5,q1_selected,ok,431161,20480000,3670016,24969216,,,1.707,
case_040,5,q1_selected,ok,95425,912880,0,1824118,,,0.657,
case_041,5,q1_selected,ok,1213259,38200320,19897344,43150300,,,5.718,
case_042,5,q1_selected,ok,362266,10073088,2171904,12462052,,,1.235,
case_043,5,q1_selected,ok,175302,4716778,0,6147900,,,2.625,
case_045,5,q1_selected,ok,26164,0,0,557056,,,0.26,
case_046,5,q1_selected,ok,96819,3721600,0,4783072,,,0.173,
case_047,5,q1_selected,ok,92091,2182936,0,2646878,,,4.654,
case_049,5,q1_selected,ok,85632,470100,0,622640,,,1.037,
case_050,5,q1_selected,ok,38528,682208,0,1001584,,,1.057,
case_051,5,q1_selected,ok,169999,197840,0,591058,,,0.342,
case_052,5,q1_selected,ok,40822,416844,0,1227048,,,0.248,
case_053,5,q1_selected,ok,370991,8302434,0,11297722,,,4.487,
case_055,5,q1_selected,ok,26781,198656,0,824466,,,0.202,
case_057,5,q1_selected,ok,16538,27936,0,370396,,,0.128,
case_058,5,q1_selected,ok,1004819,32104448,13721600,39772160,,,6.326,
case_059,5,q1_selected,ok,150782,4325376,0,5668864,,,0.725,
case_060,5,q1_selected,ok,183272,4290944,81920,6389950,,,1.401,
case_061,5,q1_selected,ok,22283,83712,0,627900,,,0.197,
case_062,5,q1_selected,ok,650815,6445056,1084416,19846656,,,8.052,
case_063,5,q1_selected,ok,244633,2257920,248832,7279104,,,2.249,
case_064,5,q1_selected,ok,7896,105492,0,142906,,,0.195,
case_065,5,q1_selected,ok,12156,55584,0,371786,,,0.111,
case_066,5,q1_selected,ok,97018,2263674,0,3370708,,,1.253,
case_067,5,q1_selected,ok,14379259,259423744,238884864,265471872,,,2.341,
case_068,5,q1_selected,ok,116294,3076416,0,5847666,,,1.535,
case_069,5,q1_selected,ok,9385,307984,0,434038,,,0.222,
case_070,5,q1_selected,ok,27664,462848,0,882812,,,0.208,
case_071,5,q1_selected,ok,7648,266512,0,387958,,,0.151,
case_072,5,q1_selected,ok,4863110,121488048,81879040,132591232,,,11.983,
case_073,5,q1_selected,ok,3389292,137418240,121757696,141459328,,,1.199,
case_074,5,q1_selected,ok,347042,9035776,1277952,12812504,,,0.877,
case_075,5,q1_selected,ok,360593,5792024,0,7629214,,,2.499,
case_076,5,q1_selected,ok,1238120,37194752,20896768,41465426,,,14.672,
case_077,5,q1_selected,ok,121081,172032,0,2313392,,,0.949,
case_078,5,q1_selected,ok,534221,11932800,3500160,14277888,,,0.248,
case_079,5,q1_selected,ok,6075976,47677440,24428544,57028608,,,9.489,
case_080,5,q1_selected,ok,100325,3047424,0,5025792,,,0.271,
case_081,5,q1_selected,ok,30943,0,0,1741140,,,0.79,
case_082,5,q1_selected,ok,184992,2697752,0,3289758,,,1.005,
case_083,5,q1_selected,ok,214373,3721600,0,5159904,,,0.686,
case_084,5,q1_selected,ok,503472,0,0,13236330,,,2.861,
case_085,5,q1_selected,ok,744387,9371160,0,11060894,,,8.095,
case_086,5,q1_selected,ok,39990,1583256,0,1921278,,,1.341,
case_087,5,q1_selected,ok,888504,11773440,5483520,17692538,,,12.819,
