case,cores,strategy,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,q1_cycles,wall_seconds,error
case_044,5,data_band_12,duplicate,,,,91544,0.0,
case_044,5,band_12,ok,84038,3721600,0,91881,0.235,
case_044,5,band_12_heft,duplicate,,,,91881,0.0,
case_044,5,band_16,ok,85281,3721600,0,91980,0.18,
case_044,5,band_16_heft,duplicate,,,,91980,0.0,
case_044,5,data_band_8,ok,83694,3721600,0,92751,0.19,
case_044,5,band_8,ok,83485,3721600,0,94167,0.178,
case_044,5,band_6,ok,83215,3721600,0,96403,0.183,
case_098,5,valley_merge_10_heft,duplicate,,,,82703,0.0,
case_098,5,valley_merge_14_heft,duplicate,,,,82703,0.0,
case_098,5,valley_merge_6_heft,duplicate,,,,82703,0.0,
case_098,5,valley_merge_8_heft,duplicate,,,,82703,0.0,
case_098,5,valley_merge_4_heft,ok,79513,819380,0,82854,0.215,
case_098,5,valley_mode_heft,ok,78617,1253592,0,87242,0.238,
case_098,5,band_24,ok,87626,32788,0,88081,0.177,
case_098,5,valley_merge_24_heft,ok,87965,286852,0,88217,0.246,
case_049,5,valley_merge_20_heft,duplicate,,,,93035,0.0,
case_049,5,mask_stage_16,ok,86957,966596,0,94098,0.799,
case_049,5,valley_merge_24_heft,ok,85352,653908,0,94346,0.711,
case_049,5,valley_merge_32_heft,duplicate,,,,94346,0.0,
case_049,5,valley_merge_12_heft,ok,84594,619412,0,96827,0.679,
case_049,5,valley_merge_12,ok,87086,884884,0,97104,0.808,
case_049,5,mask_stage_16_heft,ok,90003,1140660,0,97313,0.751,
case_049,5,valley_merge_10_heft,ok,86255,809620,0,98099,0.741,
case_048,5,valley_merge_10_heft,duplicate,,,,111155,0.0,
case_048,5,valley_merge_6_heft,ok,93714,614544,0,112126,0.326,
case_048,5,valley_merge_8_heft,duplicate,,,,112126,0.0,
case_048,5,valley_merge_32_heft,ok,99374,608270,0,112716,0.36,
case_048,5,valley_merge_16_heft,ok,98245,665010,0,115540,0.342,
case_048,5,valley_merge_16,ok,100150,752274,0,117758,0.339,
case_048,5,valley_merge_20_heft,ok,104559,640302,0,121111,0.323,
case_048,5,valley_merge_24_heft,duplicate,,,,121111,0.0,
case_026,5,baseline_k3,duplicate,,,,41655,0.0,
case_026,5,baseline_k4,ok,42226,170832,0,42226,0.081,
case_026,5,valley_merge_16_heft,ok,44114,211680,0,44114,0.095,
case_026,5,valley_merge_8_heft,duplicate,,,,44114,0.0,
case_026,5,valley_mode_heft,duplicate,,,,44114,0.0,
case_026,5,band_24,ok,44697,194024,0,45283,0.085,
case_026,5,mask_band_32,ok,48940,198164,0,47582,0.103,
case_026,5,band_12,ok,47514,337544,0,48197,0.095,
case_064,5,valley_merge_32_heft,duplicate,,,,10789,0.0,
case_064,5,valley_merge_10_heft,ok,7831,109648,0,11410,0.146,
case_064,5,valley_merge_8_heft,ok,7307,100564,0,11569,0.144,
case_064,5,valley_merge_16_heft,ok,8359,107920,0,12133,0.135,
case_064,5,valley_merge_16,ok,8855,134356,0,12369,0.139,
case_064,5,valley_merge_40_heft,ok,12139,71060,0,13700,0.129,
case_064,5,valley_merge_48_heft,duplicate,,,,13700,0.0,
case_064,5,valley_merge_20_heft,ok,10661,77740,0,14216,0.128,
case_071,5,terminal_branch,duplicate,,,,7854,0.0,
case_071,5,terminal_branch_heft,duplicate,,,,7854,0.0,
case_071,5,mask_band_32,ok,7554,252402,0,8478,0.126,
case_071,5,terminal_branch_k4,ok,8966,198732,0,9190,0.139,
case_071,5,valley_merge_16_heft,ok,8075,254898,0,9396,0.125,
case_071,5,terminal_branch_k3,ok,9654,181832,0,10106,0.1,
case_071,5,mask_stage_16,ok,9212,354960,0,10768,0.133,
case_071,5,valley_merge_8_heft,ok,9693,363864,0,12363,0.128,
case_100,5,baseline_k3,duplicate,,,,57811,0.0,
case_100,5,valley_merge_16_heft,ok,58085,211968,0,58085,0.178,
case_100,5,valley_merge_8_heft,duplicate,,,,58085,0.0,
case_100,5,valley_mode_heft,duplicate,,,,58085,0.0,
case_100,5,baseline_k4,ok,58086,144384,0,58086,0.211,
case_100,5,band_24,ok,60801,331904,0,60909,0.211,
case_100,5,band_12,ok,63240,438660,0,63876,0.242,
case_100,5,mask_stage_16,ok,60389,1126812,0,65251,0.213,
case_040,5,valley_merge_32_heft,duplicate,,,,95187,0.0,
case_040,5,valley_merge_40_heft,duplicate,,,,95187,0.0,
case_040,5,valley_merge_20_heft,ok,95400,933520,0,95187,0.646,
case_040,5,valley_merge_24_heft,duplicate,,,,95187,0.0,
case_040,5,valley_merge_16_heft,ok,95398,873200,0,95187,0.546,
case_040,5,valley_merge_8_heft,ok,95425,1105712,0,95187,0.563,
case_040,5,valley_mode_heft,ok,95424,1434864,0,95187,0.747,
case_040,5,mask_band_32,ok,106301,763496,0,108955,0.561,
case_006,5,terminal_branch_heft,ok,31728,262488,0,30877,0.115,
case_006,5,baseline_k3,duplicate,,,,31153,0.0,
case_006,5,baseline_k4,ok,31428,33536,0,31428,0.092,
case_006,5,fork_join_heft,ok,31733,63616,0,31733,0.096,
case_006,5,valley_merge_16_heft,duplicate,,,,31733,0.0,
case_006,5,valley_merge_24_heft,duplicate,,,,31733,0.0,
case_006,5,valley_merge_32_heft,duplicate,,,,31733,0.0,
case_006,5,valley_merge_40_heft,duplicate,,,,31733,0.0,
case_069,5,terminal_branch_heft,duplicate,,,,9133,0.0,
case_069,5,terminal_branch,ok,11229,310288,0,11254,0.143,
case_069,5,terminal_branch_k3,ok,11338,205064,0,11285,0.136,
case_069,5,terminal_branch_k4,ok,10947,284172,0,11326,0.155,
case_069,5,valley_merge_16_heft,ok,10288,262766,0,11645,0.145,
case_069,5,mask_band_32,ok,9942,352624,0,11931,0.145,
case_069,5,valley_merge_8_heft,ok,10658,430296,0,14312,0.165,
case_069,5,mask_stage_16,ok,12429,446352,0,14673,0.178,
case_046,5,data_band_12,duplicate,,,,116275,0.0,
case_046,5,data_band_16,ok,103558,4127104,405504,118257,0.145,
case_046,5,data_band_8,ok,96175,3721600,0,120144,0.134,
case_046,5,band_12,ok,96787,3721600,0,120642,0.135,
case_046,5,data_band_32,ok,112382,4618624,897024,123775,0.141,
case_046,5,baseline_k4,ok,124612,4513952,1722752,124612,0.143,
case_046,5,fork_join_k4_heft,duplicate,,,,124612,0.0,
case_046,5,data_band_24,ok,111136,4563328,841728,125920,0.141,
case_080,5,baseline_k3,duplicate,,,,100325,0.0,
case_080,5,baseline_k4,ok,111314,4190208,0,111314,0.262,
case_080,5,band_6,ok,110202,4595712,0,113730,0.264,
case_080,5,valley_split,duplicate,,,,113730,0.0,
case_080,5,mask_band_32,ok,113455,4571136,0,119170,0.254,
case_080,5,mask_stage_16,duplicate,,,,119170,0.0,
case_080,5,baseline_k2,ok,145926,2191360,286720,145926,0.266,
case_080,5,valley_mode_heft,ok,169579,8110080,0,188209,0.4,
case_010,5,baseline_k4,duplicate,,,,29856,0.0,
case_010,5,baseline_k3,ok,30856,48384,0,30856,0.081,
case_010,5,fork_join_heft,ok,31015,145152,0,31015,0.081,
case_010,5,terminal_branch_heft,duplicate,,,,31015,0.0,
case_010,5,valley_merge_16_heft,duplicate,,,,31015,0.0,
case_010,5,valley_merge_24_heft,duplicate,,,,31015,0.0,
case_010,5,valley_merge_32_heft,duplicate,,,,31015,0.0,
case_010,5,valley_merge_40_heft,duplicate,,,,31015,0.0,
case_005,5,valley_merge_32_heft,duplicate,,,,38428,0.0,
case_005,5,valley_merge_24_heft,ok,33546,1373204,0,39450,0.72,
case_005,5,valley_merge_20_heft,ok,33341,1404884,0,40029,0.684,
case_005,5,valley_merge_10_heft,ok,33344,1444820,0,40563,0.769,
case_005,5,valley_merge_14_heft,duplicate,,,,40563,0.0,
case_005,5,valley_merge_16_heft,duplicate,,,,40563,0.0,
case_005,5,valley_merge_4_heft,ok,34150,1532376,0,43683,0.73,
case_005,5,valley_merge_6_heft,duplicate,,,,43683,0.0,
case_086,5,valley_merge_32_heft,duplicate,,,,45811,0.0,
case_086,5,valley_merge_24_heft,ok,42587,1633174,0,46644,0.938,
case_086,5,valley_merge_20_heft,ok,44347,1748566,0,47745,0.963,
case_086,5,valley_merge_16_heft,ok,42848,1811350,0,48342,1.09,
case_086,5,valley_merge_8_heft,ok,41866,1908504,0,51774,1.078,
case_086,5,valley_split_aff100,ok,43922,1858392,0,52775,1.028,
case_086,5,valley_split_aff025,ok,41749,1917144,0,52926,0.959,
case_086,5,valley_mode_heft,ok,41683,1911576,0,53291,1.017,
case_073,5,mask_band_32,duplicate,,,,3435158,0.0,
case_073,5,band_12,ok,3397199,110056960,95170560,3436246,0.906,
