case,cores,strategy,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,source_strategy,wall_seconds,error
case_044,2,band_w4_k2_trimmed,ok,47049,930400,0,band_w4_k2,0.191,
case_044,3,band_w4_k2_trimmed,ok,47049,930400,0,band_w4_k2,0.185,
case_044,4,band_w4_k2_trimmed,ok,47049,930400,0,band_w4_k2,0.199,
case_048,2,band_w4_k2_trimmed,ok,147659,346022,0,band_w4_k2,0.38,
case_048,3,band_w4_k3_trimmed,ok,127741,495820,0,band_w4_k3,0.299,
case_048,4,band_w4_k4_trimmed,ok,125014,506224,0,band_w4_k4,0.321,
case_064,2,band_w12_k2_trimmed,ok,13632,40068,0,band_w12_k2,0.116,
case_064,3,band_w12_k3_trimmed,ok,11923,65544,0,band_w12_k3,0.119,
case_064,4,band_w12_k4_trimmed,ok,11252,83018,0,band_w12_k4,0.126,
case_098,2,band_w4_k2_trimmed,ok,96471,2258252,447534,band_w4_k2,0.269,
case_098,3,band_w4_k3_trimmed,ok,82551,2514306,0,band_w4_k3,0.28,
case_098,4,band_w4_k4_trimmed,ok,78911,2902486,0,band_w4_k4,0.289,
case_001,2,band_w4_k2_trimmed,ok,116868,1152,0,band_w4_k2,0.106,
case_001,3,band_w4_k3_trimmed,ok,78545,2304,0,band_w4_k3,0.09,
case_001,4,band_w4_k4_trimmed,ok,58984,3456,0,band_w4_k4,0.092,
case_002,2,band_w12_k2_trimmed,ok,132196,27648,0,band_w12_k2,0.268,
case_002,3,band_w12_k3_trimmed,ok,89027,41472,0,band_w12_k3,0.233,
case_002,4,band_w4_k4_trimmed,ok,67434,508416,0,band_w4_k4,0.271,
case_003,2,band_w12_k2_trimmed,ok,368951,1673582,0,band_w12_k2,4.35,
case_003,3,band_w12_k3_trimmed,ok,278284,1994508,0,band_w12_k3,3.876,
case_003,4,band_w4_k4_trimmed,ok,254436,4500934,0,band_w4_k4,4.631,
case_004,2,band_w4_k2_trimmed,ok,196032,983040,872448,band_w4_k2,0.13,
case_004,3,band_w4_k3_trimmed,ok,131412,847872,626688,band_w4_k3,0.116,
case_004,4,band_w4_k4_trimmed,ok,101428,712704,380928,band_w4_k4,0.105,
case_005,2,band_w8_k2_trimmed,ok,60979,601094,0,band_w8_k2,0.779,
case_005,3,band_w8_k3_trimmed,ok,51121,891404,0,band_w8_k3,0.747,
case_005,4,band_w8_k4_trimmed,ok,48522,1242226,0,band_w8_k4,0.784,
case_006,2,band_w4_k2_trimmed,ok,40084,820626,119848,band_w4_k2,0.111,
case_006,3,band_w12_k3_trimmed,ok,31178,256896,131072,band_w12_k3,0.094,
case_006,4,band_w12_k3_trimmed,ok,31178,256896,131072,band_w12_k3,0.093,
case_007,2,band_w4_k2_trimmed,ok,490814,2933760,2906112,band_w4_k2,0.96,
case_007,3,band_w4_k3_trimmed,ok,326994,2709504,2654208,band_w4_k3,0.883,
case_007,4,band_w4_k4_trimmed,ok,246058,2485248,2402304,band_w4_k4,0.731,
case_008,2,band_w4_k2_trimmed,ok,136244,3538944,3538944,band_w4_k2,0.177,
case_008,3,band_w4_k3_trimmed,ok,110229,3317760,3317760,band_w4_k3,0.173,
case_008,4,band_w4_k4_trimmed,ok,104264,3096576,3096576,band_w4_k4,0.157,
case_009,2,band_w4_k2_trimmed,ok,88429,740494,7616,band_w4_k2,1.377,
case_009,3,band_w8_k3_trimmed,ok,70920,618700,0,band_w8_k3,1.173,
case_009,4,band_w8_k4_trimmed,ok,64259,747262,0,band_w8_k4,1.18,
case_010,2,band_w12_k2_trimmed,ok,45249,253824,201216,band_w12_k2,0.097,
case_010,3,band_w12_k3_trimmed,ok,31413,272776,196608,band_w12_k3,0.087,
case_010,4,band_w12_k3_trimmed,ok,31413,272776,196608,band_w12_k3,0.09,
case_011,2,band_w12_k2_trimmed,ok,95483,753664,0,band_w12_k2,0.121,
case_011,3,band_w12_k3_trimmed,ok,63552,1978368,0,band_w12_k3,0.18,
case_011,4,band_w12_k4_trimmed,ok,49668,1359872,0,band_w12_k4,0.155,
case_012,2,band_w4_k2_trimmed,ok,29291,340804,0,band_w4_k2,0.174,
case_012,3,band_w8_k3_trimmed,ok,20332,191960,0,band_w8_k3,0.156,
case_012,4,band_w12_k4_trimmed,ok,16548,172336,0,band_w12_k4,0.149,
