case,cores,strategy,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,source_strategy,wall_seconds,error
case_005,2,data_band_w8_k2_trimmed,ok,65448,497956,0,data_band_w8_k2,0.703,
case_005,3,data_band_w4_k3_trimmed,ok,56376,814284,0,data_band_w4_k3,0.651,
case_005,4,data_band_w4_k4_trimmed,ok,50557,1094512,0,data_band_w4_k4,0.651,
case_006,2,data_band_w4_k2_trimmed,ok,40831,308812,0,data_band_w4_k2,0.098,
case_006,3,data_band_w12_k3_trimmed,ok,31152,30084,0,data_band_w12_k3,0.086,
case_006,4,data_band_w4_k4_trimmed,ok,24586,637248,0,data_band_w4_k4,0.109,
case_010,2,data_band_w12_k2_trimmed,ok,43584,20740,0,data_band_w12_k2,0.076,
case_010,3,data_band_w12_k3_trimmed,ok,31754,55684,0,data_band_w12_k3,0.08,
case_010,4,data_band_w4_k4_trimmed,ok,25173,365144,0,data_band_w4_k4,0.101,
case_026,2,data_band_w12_k2_trimmed,ok,56007,23336,0,data_band_w12_k2,0.079,
case_026,3,data_band_w12_k3_trimmed,ok,42203,105656,0,data_band_w12_k3,0.079,
case_026,4,data_band_w12_k3_trimmed,ok,42203,105656,0,data_band_w12_k3,0.079,
case_040,2,data_band_w8_k2_trimmed,ok,165594,512398,34432,data_band_w8_k2,0.542,
case_040,3,data_band_w4_k3_trimmed,ok,136795,1951620,132870,data_band_w4_k3,0.552,
case_040,4,data_band_w4_k4_trimmed,ok,122116,2344452,99842,data_band_w4_k4,0.572,
case_044,2,data_band_w4_k2_trimmed,ok,47056,930400,0,data_band_w4_k2,0.188,
case_044,3,data_band_w4_k2_trimmed,ok,47056,930400,0,data_band_w4_k2,0.179,
case_044,4,data_band_w4_k2_trimmed,ok,47056,930400,0,data_band_w4_k2,0.203,
case_046,2,data_band_w4_k2_trimmed,ok,111408,930400,0,data_band_w4_k2,0.12,
case_046,3,data_band_w4_k3_trimmed,ok,83766,1860800,0,data_band_w4_k3,0.119,
case_046,4,data_band_w4_k4_trimmed,ok,79548,2791200,0,data_band_w4_k4,0.117,
case_048,2,data_band_w4_k2_trimmed,ok,143644,299590,0,data_band_w4_k2,0.278,
case_048,3,data_band_w4_k3_trimmed,ok,127277,414220,0,data_band_w4_k3,0.295,
case_048,4,data_band_w4_k4_trimmed,ok,126825,415310,0,data_band_w4_k4,0.293,
