case,cores,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_added_copy_bytes,plan_sha256,seconds,error,speedup
case_001,2,ok,116868,1152,1640704,0,1c6cf2db91449c12c3f74d32318e7eb99bc2b42e8e9d12be444e905170f9c7b9,0.09274419999564998,,1.9946435294520313
case_001,3,ok,78545,2304,1641856,0,615c13f2ec631ff23820de604f6b709a649e3e6e7d9e7f88769397c5311404a2,0.09559289999015164,,2.9678528232223567
case_001,4,ok,58984,3456,1643008,0,24e0f017ce3f83737422c6595a29d122fe67b93a2fb3278d0dbecde6ce1ecadc,0.09539919999951962,,3.952088702020887
case_001,5,ok,47502,4608,1644160,0,5bc2ca2ae4423fdc659215ac6f3a876f85f88764538eaf3752d0a4901f62a878,0.09133830000064336,,4.9073723211654245
case_002,2,ok,127902,681984,1906176,267264,5504bb93a7bbbc58b422c3683fe28b2fb11a0b4868a95bd583e528e28a68536a,0.3764930000033928,,2.0480133227001924
case_002,3,ok,86524,479232,1703424,0,6795ca3da437fee90a3074de6b88c018bebd6ffb8446fbcc621563d52b00d837,0.32345499999064486,,3.0274259165087143
case_002,4,ok,71836,615936,1840128,0,bd6b886092661e2b037a9912fe193cb81b4ca073e36cd073a1b91d5043ed76f2,0.28524290000495967,,3.646430758950944
case_002,5,ok,62725,662016,1886208,0,f5f140d9ee27c4125e7e1e40d30d2da4cf00a4de38ac65b47346d93683d69198,0.27224539998860564,,4.176086090075727
case_003,2,ok,317215,1059210,2343474,0,ed87e8a76450068a869623d3921fcd280d213b53d29d36439f098915200d7d80,4.361556300005759,,1.8984348155036805
case_003,3,ok,217704,2458894,3743158,0,33b3ac0a1e248aaa11f6b045bf061752a609474953eb55d786254296e1a7440e,4.1079466999945,,2.7661963032374235
case_003,4,ok,180280,2854806,4139070,0,4c051abf71059d77bf7f345fa15505d3a737e5d3b2474c6b480385c87c9acfd8,3.843951599992579,,3.3404260039937874
case_003,5,ok,157729,4863512,6147776,0,994eed962bf061e0f32ba212259e5caa14ae1e9c43b6258b8953c7cd2eab5d07,3.967938800007687,,3.81801697848842
case_004,2,ok,199074,110592,903168,0,9988fe599fad0f2caf2b70c989fa5f054a5f07c606699de1b132096170aab6e3,0.10220039999694563,,1.9709103147573264
case_004,3,ok,134043,221184,1013760,0,c6380c9f79c67c63fc0afb1aa0442d26baa646556142c3690856816a511bf384,0.09435510000912473,,2.927098020784375
case_004,4,ok,104188,331776,1124352,0,5f0ad1404f00cbab6a0ab7b4563ea12b3489768efb878552d04665f147b59bf5,0.08969259999867063,,3.765855952700887
case_004,5,ok,88341,442368,1234944,0,61a9582e96cfb601f07f8be3748989df9185c158a912eda430b1dedf0658190a,0.08438089999253862,,4.441391879195391
case_005,2,ok,52497,324774,658188,0,7587a3aded8df988ab927fa7698585bec669353166237fbc648207510253f91a,0.918797899998026,,1.82139931805627
case_005,3,ok,40393,900684,1234098,0,ca8112116e48403662bff39210bb2f4c43accb4c4511f02a859321f2e7ccaf99,0.9270976000116207,,2.367192335305622
case_005,4,ok,34791,948786,1282200,0,eb7875e225ed1b9f58e7eefbd8a4d8dac418596c380a6c89d2d8c23a2e66bee0,0.7093240999965928,,2.7483544594866487
case_005,5,ok,55110,1426582,1759996,0,6c5d2b3eb35c0d77eec2a8168a60b4aba54ded139d5cc2d36f3d9d891fcb3bcd,0.8123506999982055,,1.7350390128833242
case_006,2,ok,46100,29576,572924,12296,0907767061f23cafcb97280a4e0abfe609f3644c996104e484a64674312c4c21,0.08647570000903215,,1.7968980477223426
case_006,3,ok,31153,30080,573428,0,41afe776a9cdf46f708e2275fe6c5f81cae0301ad10f4691d0b7e2e80119342b,0.08801319998747203,,2.6590376528745225
case_006,4,ok,24586,637248,1180596,0,0c2ced26814e342bbaa181780209d0d35b6a2189f758edd492966fd89c01479e,0.13828800000192132,,3.369275197266737
case_006,5,ok,22039,483828,1027176,0,fb6001b5beed76b978d41efb6fa07776b6c7bb463d871fa8b81a5fef0a51f767,0.11279610000201501,,3.758655111393439
case_007,2,ok,507494,27648,1760256,0,52aa1f97cf1fa06190d3174d72460f81c27f12823ae206d812d0bffcfe849811,0.843411499998183,,1.9952196479170197
case_007,3,ok,338094,55296,1787904,0,d20378d444bc7d56eeb2e595c0b1302ce6cef4879fa599bb2bf2a04ec28c1d7a,0.704232400006731,,2.994912657426633
case_007,4,ok,254398,82944,1815552,0,589758759dabf6d3e6074eb11040ff599ab83dd833132e3d60ce78b9901b3e96,0.6674358000018401,,3.980227831979811
case_007,5,ok,203834,110592,1843200,0,8de95c02ab9d47e7a9c4c97ef5f10fd6c26f1c90b7978fa9fe4744b7332ef71f,0.6270760000043083,,4.967581463347626
case_008,2,ok,244266,0,2654424,0,af37836db1a0d98ee189c59118c62497aa444e874523f14049b6e466a3c44705,0.17236879999109078,,1.9962049568912579
case_008,3,ok,163359,0,2654424,0,012571a3b509f712b79c71d362fc65d3a60489be5cb7963d5911b8363ef19fc1,0.14051729999482632,,2.984867684057811
case_008,4,ok,123060,0,2654424,0,70d7ed600c2b1eef7945bbb9910043e313ac6bc397d5771f91b5848fc6725930,0.1421944000030635,,3.962335446123842
case_008,5,ok,100603,0,2654424,0,07a18d1888b2516c41957b36c86a05ecdc8ce35652d4130f728c3fafd007ff54,0.15945530000317376,,4.846823653370178
case_009,2,ok,90813,515502,1010834,0,029737efc8faf42b5975c3bf97ce363370a611d0bd72d6919be5c0d540330b31,1.4470181000069715,,1.6876548511776948
case_009,3,ok,73832,1008868,1504200,0,5f9975d2669fc5e0f2f1345596a4400f2f1997f6fc6f77a7dacef70454d63ab1,1.5785749000060605,,2.0758072380539603
