case,cores,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_added_copy_bytes,plan_sha256,seconds,error
case_001,5,ok,47502,4608,1644160,0,5bc2ca2ae4423fdc659215ac6f3a876f85f88764538eaf3752d0a4901f62a878,0.08941140001115855,
case_002,5,ok,62725,662016,1886208,0,f5f140d9ee27c4125e7e1e40d30d2da4cf00a4de38ac65b47346d93683d69198,0.3268701000051806,
case_003,5,ok,157729,4863512,6147776,0,994eed962bf061e0f32ba212259e5caa14ae1e9c43b6258b8953c7cd2eab5d07,4.038896700003534,
case_004,5,ok,88341,442368,1234944,0,61a9582e96cfb601f07f8be3748989df9185c158a912eda430b1dedf0658190a,0.09490460000233725,
case_005,5,ok,55110,1426582,1759996,0,6c5d2b3eb35c0d77eec2a8168a60b4aba54ded139d5cc2d36f3d9d891fcb3bcd,0.8361760999978287,
case_006,5,ok,22039,483828,1027176,0,fb6001b5beed76b978d41efb6fa07776b6c7bb463d871fa8b81a5fef0a51f767,0.1136932999943383,
case_007,5,ok,203834,110592,1843200,0,8de95c02ab9d47e7a9c4c97ef5f10fd6c26f1c90b7978fa9fe4744b7332ef71f,0.688354400001117,
case_008,5,ok,100603,0,2654424,0,07a18d1888b2516c41957b36c86a05ecdc8ce35652d4130f728c3fafd007ff54,0.15306909999344498,
case_009,5,ok,61215,1109614,1604946,0,a96e349ac76843a66aacd5a6653d048d77fb763c08705e03ad22669f79754536,1.2428843999950914,
case_010,5,ok,23614,418324,802474,0,5a317295f3d49ee4f4f1ff1c34a064e944f6ec7872b1146afac9b1e7f425ab25,0.12524919999123085,
case_011,5,ok,47287,1622016,2228224,0,63f3bbe4a51929751b810e7a2f322a220f60fd65f93352358ea0ceeaa8c90511,0.16881780000403523,
case_012,5,ok,14300,49536,604434,0,cd97ba94f38ff80ec19ae0a96478afb5189714ac4630b848af543a58d8aeac72,0.15994339999451768,
case_013,5,ok,54363,32768,2560000,0,5ddfcd4283c7a16c47e466899301f1846a18d1695cde56169bb0025a7f578e3d,0.40303810000477824,
case_014,5,ok,3694640,87765000,97697740,55180632,c57638a718f3afb047cce4dbfcc647c47eece03f2613552ce6ebccd8a41b625d,13.502286599992658,
case_015,5,ok,43437,321536,1206150,8192,22ad2e4fe016ef73cf9556ddc712d0323150fb36f78970d7b75faa8b71818672,0.1476124000037089,
case_016,5,ok,2393034,19504,412722,0,f420d7ece606cbac254c766df5733df62f18baac072f9d9eb738f8971295f810,8.541210100011085,
case_017,5,ok,35496,340992,984854,0,20dc89e18ca5224f0a2d7646898a26081d6c5c8d1c387c02dfbdc0d75d3e4764,0.2009230999974534,
case_018,5,ok,203865,5693440,7286288,1064960,d71d2a1e4d48793f2e7cece2cbbd0ed53ea4cd83af2d3bb69c9bab39a2f964ce,0.551624300002004,
case_019,5,ok,24169,73728,260712,0,cfa13fc39f09a823398dfb0fd47d69c36fa90d41ae9bac0b614d7d4fcb34a2bd,0.08413730000029318,
case_020,5,ok,107650,0,2359296,0,e7becef51f5bdcb7e86664b3eef600e7d40c2d4bcdaa6e90e581c1041c049385,1.0480229999957373,
case_021,5,ok,1250168,11431936,14770176,2011136,d120d190005cf3010e5b717421fa4196509d94c730201d723ed9518ae7bc3158,1.0173085999995237,
case_022,5,ok,11828,20736,234422,0,0607e249cf936a9dc341e62b189d8fa06e3f0646a76e6814bc0edcc4d8ababdb,0.18913670000620186,
case_023,5,ok,25191,280992,724436,0,87fe7e47b1da5f384331823dae640a2845e310bfcb7fa803ac0e99121fb4acc5,0.11957920000713784,
case_024,5,ok,795102,6448,399666,0,2a8e612f993aefeb82336305f36ba0c450bb1b563cb58b4017eb6307cb82c866,1.7474393000011332,
case_025,5,ok,975282,110592,8328192,0,3863b182c24ce4f308900690c0c83e40425641ccc478f12574bce2d3ece14536,6.367621699988376,
case_026,5,ok,44114,211680,740534,0,694c6a66d7bd505d9ca81992871424e4134c66b1d27fc21a43dce28e398d45b4,0.09495749999769032,
case_027,5,ok,558753,5529600,7569408,0,2347557edea8cf5ea4afb5b03523bd30ca73924f876cab0187f28922319c55ce,0.304814199989778,
case_028,5,ok,8242960,21778944,27687552,13185024,b95256669f76c505500eeef6ba378fdc3131e3a2dea51bbfcb55fe4602753df7,6.739013900005375,
case_029,5,ok,9383,0,430164,0,fe50dd6711824f67b6cdd8a164fa1c3f17ef9d224032948de3e75e0153b0f539,0.11949500000628177,
case_030,5,ok,565628,8543636,10937696,1093632,97dd193e2b0916fb722788937cda6ac2b40bdf8fca512cf24cac49f3bc90eec3,2.8456568000110565,
case_031,5,ok,308135,8217600,10402640,1496064,eb856411e30dd5cb003861aede56738eaefaa359452970f1067f5fb875fc2315,1.3765140999894356,
case_032,5,ok,10415,12360,305448,0,07f86d797d43e1bfed97cbc8ee174678f1e6da5926769783bb19e09ff9ea6aaa,0.10871660000702832,
case_033,5,ok,362856,8163996,11136906,1402880,1a0ee8b5de2ca6f385c8ed6178bcd7d14a32ab0f2d1a5aa36e31755cb0167222,0.8227156000066316,
case_034,5,ok,178096,3536896,5817282,49152,806c10d4431d08eb22870d06d30ee02f2ab1c0ae00a504ec0254644a536b3b26,0.7539313000015682,
case_035,5,ok,74644,1568002,1978856,0,db4a94f213acd7c43361c8616624824b6546298b338a7d05ca05efd1257d5658,0.8981104999984382,
case_036,5,ok,187182,4608,6559360,0,44eb0fd5643141ae77ce2094f9599928fea4c7cd89fc95841cadaf777e070f3e,0.45598370001243893,
case_037,5,ok,44890,655360,1269760,0,cfdd02844e2d85eec05f8e608c13be781e7d22da859b5ef70878a2b6d556fe36,0.12503989999822807,
case_038,5,ok,280919,9070080,11873030,1477632,0434423df29ca06c7aa213da205b7265f0bd1d410dcb4f20084ed7d8babcf021,1.5065272999927402,
case_039,5,ok,431161,20480000,24969216,3670016,3114ed4362763ae1593a971bbdfa0dbf162e339a37908c1086c080f0cd915290,1.5094342999946093,
case_040,5,ok,110337,66048,977286,0,bf9b5fff87f206f7257230e6c2e3f579be01b554e1a1b18eb1feddd150387b31,0.5173229999927571,
case_041,5,ok,1229991,31212092,36162072,13876224,fe407bd869ede40a162da7e06e7ca07463747b07b79ad2b6be741b5a86451d50,6.454279500001576,
case_042,5,ok,362266,10073088,12462052,2171904,16463ba3fdf7ad2083552e659007181f14c09f4f47bee4514bd7d5632f89303c,1.135851899991394,
case_043,5,ok,269612,1155080,2586202,49160,3e2698e004a197e2edc3108f4653b86b057b9a4cbfed6cf975dad302ad03926f,2.0703481000091415,
case_044,5,ok,83237,3721600,4697056,0,037635b4b1ba83a6ec558b22468b0f1c19e0f4ca324d7def8141fb9e0a5033c8,0.1880718999891542,
case_045,5,ok,26164,0,557056,0,16c8ee2138dbbf5b3f98a086cfe11187e5ed434b81052b1a0fe1d3026ab8eda2,0.16167629999108613,
case_046,5,ok,95335,3721600,4783072,0,a16b928e56cd55900a92b9729703ca028450b3086baf8d9761a8d74c9692dc05,0.12976939999498427,
case_047,5,ok,94756,2385816,2849758,0,8fe9267dbbeddc2d932692355b6938065e7dab41d73991220774cdaa2ba67bed,3.867394200002309,
