case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error
case_001,1,ok,233110,233110,0,0,0.0,0,820352,1.0,0.22333400000024994,50ee5d5a1d65b90f3298dc6e32de3972542cb3a3903552e5ee94b938440c57e5,
case_001,2,ok,116868,116868,1152,1152,0.0,0,821504,1.0,0.20881610000014916,1c6cf2db91449c12c3f74d32318e7eb99bc2b42e8e9d12be444e905170f9c7b9,
case_001,3,ok,78545,78545,2304,2304,0.0,0,822656,1.0,0.20311899999978777,615c13f2ec631ff23820de604f6b709a649e3e6e7d9e7f88769397c5311404a2,
case_001,4,ok,58984,58984,3456,3456,0.0,0,823808,1.0,0.20770290000018576,24e0f017ce3f83737422c6595a29d122fe67b93a2fb3278d0dbecde6ce1ecadc,
case_002,1,ok,261945,261945,0,0,0.0,0,1222656,1.0,0.5719904000002316,e3b62ca3a137a835cd48a9365ff8a72f02cc6f05daf538356623df26b00b0468,
case_002,2,ok,125242,125242,1133568,1133568,0.22585551330798478,456192,1563648,1.0,0.7571570000000065,cf3cab9466aca079f33fa27edeee9678302adf44826141748ced71d1161d230f,
case_002,3,ok,83970,83970,1264128,1264128,0.24520255863539445,529920,1631232,1.0,0.7063978999999563,eff3fee97118166c2a48861f203b2c64a51cc1183cfdb944d66e674486a6f2d9,
case_002,4,ok,65970,65970,1271808,1271808,0.3079608938547486,677376,1522176,1.0,0.6673052999999527,ff150eb31d29ae18ee53957c8a6c9ee5679a698b00ef96a14b4e7dd9a86c500c,
case_003,1,ok,602212,602212,0,0,0.0,0,1284230,1.0,9.220976200000223,1a473b4de23105137ec62861de072fbac05405b853d55658bffcd8e75908dd9a,
case_003,2,ok,317215,317214,1059210,1059210,0.14431350760561323,284676,1687946,1.000003152445983,7.50031590000026,ed87e8a76450068a869623d3921fcd280d213b53d29d36439f098915200d7d80,
case_003,3,ok,217704,217584,2458894,2458894,0.39019380334301246,1168266,1825800,1.000551511140525,7.057620799999768,33b3ac0a1e248aaa11f6b045bf061752a609474953eb55d786254296e1a7440e,
