case,cores,returncode,makespan_cycles,cache_hit_rate,process_wall_s
case_001,1,0,233110,0.0,0.929271000000881
case_001,2,0,116868,0.0,2.6791062999982387
case_001,3,0,78545,0.0,3.8079729000019142
case_001,4,0,58984,0.0,3.760053899997729
case_002,1,0,255084,0.34597875569044007,4.9958683000004385
case_002,2,0,124209,0.22654462242562928,13.818243400004576
case_002,3,0,83772,0.23547880690737832,10.730921399997897
case_002,4,0,65958,0.3077459874389393,15.029855999993742
case_003,1,0,560895,0.0,181.51183969998965
case_003,2,0,313319,0.14431350760561323,159.36259170000267
case_003,3,0,217174,0.39288095826541225,163.93174329999601
case_003,4,0,180034,0.39155151940493926,137.0918601000012
case_004,1,0,386363,0.0,2.5703076999925543
case_004,2,0,196032,0.036923076923076927,5.7424545000103535
case_004,3,0,131412,0.0,5.717670400001225
case_004,4,0,101428,0.0,6.590475400007563
case_005,1,0,84309,0.0,29.307497299989336
case_005,2,0,49399,0.10863961776331817,29.568926199994166
case_005,3,0,38266,0.37085760002026474,35.06787520000944
case_005,4,0,32964,0.3372090016952971,30.574845600000117
case_006,1,0,78005,0.08481681816787492,3.702676300003077
case_006,2,0,38837,0.18666405629617702,6.766346500007785
case_006,3,0,27650,0.28947184945147886,8.196676000006846
case_006,4,0,24163,0.15313239353312302,6.317136700003175
case_007,1,0,1012562,0.0,13.968604399997275
case_007,2,0,490814,0.003903708523096942,46.39644150000822
case_007,3,0,326994,0.0,47.73015280000982
case_007,4,0,246058,0.0127750177430802,44.27080909999495
case_008,1,0,269325,0.0,3.2790185999911046
case_008,2,0,136244,0.0,9.219786300003761
case_008,3,0,110229,0.0,10.449243700000807
case_008,4,0,104264,0.0,10.899502000000211
case_009,1,0,139480,0.16929634221946682,24.0274289999943
case_009,2,0,88229,0.20426350396617082,64.92397049999272
case_009,3,0,70895,0.15021510653937706,73.39752879999287
case_009,4,0,64120,0.1813215940258603,63.369511799988686
case_010,1,0,75821,0.007643359644703204,3.7806803999992553
case_010,2,0,43852,0.10607464382484048,5.695078899996588
case_010,3,0,30457,0.11343619900798285,4.598451099998783
