case,cores,stage1_cycles,final_cycles,branch_called,feedback_calls,status,reused_checkpoint
case_001,1,233110,233110,False,0,ok,True
case_001,2,116868,116868,False,0,ok,True
case_001,3,78545,78545,False,0,ok,True
case_001,4,58984,58984,False,0,ok,True
case_002,1,255084,255084,False,0,ok,True
case_002,2,124209,124209,False,0,ok,True
case_002,3,83772,83772,False,0,ok,True
case_002,4,65958,65958,False,0,ok,True
case_003,1,560895,560895,False,0,ok,True
case_003,2,313319,313319,False,0,ok,True
case_003,3,217174,217174,False,0,ok,True
case_003,4,180034,180034,False,0,ok,True
case_004,1,386363,386363,False,0,ok,True
case_004,2,196032,196032,False,0,ok,True
case_004,3,131412,131412,False,0,ok,True
case_004,4,101428,101428,False,0,ok,True
case_005,1,84309,84309,False,0,ok,True
case_005,2,49399,49399,False,0,ok,True
case_005,3,38266,38266,False,1,ok,True
case_005,4,32964,32964,True,0,ok,True
case_006,1,78005,78005,False,0,ok,True
case_006,2,38837,38837,False,0,ok,True
case_006,3,27650,27650,False,0,ok,True
case_006,4,24163,24163,False,0,ok,True
case_007,1,1012562,1012562,False,0,ok,True
case_007,2,490814,490814,False,0,ok,True
case_007,3,326994,326994,False,0,ok,True
case_007,4,246058,246058,False,0,ok,True
case_008,1,269325,269325,False,0,ok,True
case_008,2,136244,136244,False,0,ok,True
case_008,3,110229,110229,False,0,ok,True
case_008,4,104264,104264,False,0,ok,True
case_009,1,139480,139480,False,0,ok,True
case_009,2,88229,88229,False,0,ok,True
case_009,3,70895,70895,True,0,ok,True
case_009,4,64120,64120,True,0,ok,True
case_010,1,75821,75821,False,0,ok,True
case_010,2,43852,43852,False,0,ok,True
case_010,3,30457,30457,False,0,ok,True
case_010,4,25000,25000,False,0,ok,True
case_011,1,184697,184697,False,0,ok,True
case_011,2,92646,92646,False,0,ok,True
case_011,3,63552,63552,False,0,ok,True
case_011,4,46880,46880,False,0,ok,True
case_012,1,55507,55507,False,0,ok,True
case_012,2,28446,28446,False,0,ok,True
case_012,3,20613,20613,False,0,ok,True
case_012,4,17109,17109,False,0,ok,True
case_013,1,263949,263949,False,0,ok,True
case_013,2,132198,132198,False,0,ok,True
case_013,3,88351,88351,False,0,ok,True
case_013,4,66982,66982,False,0,ok,True
case_014,1,17688336,17688336,False,0,ok,True
case_014,2,8866290,8866290,False,0,ok,True
case_014,3,5911200,5911200,False,2,ok,True
case_014,4,4426975,4426975,False,3,ok,True
case_015,1,174218,174218,False,0,ok,True
case_015,2,85502,85502,False,0,ok,True
case_015,3,60807,60807,False,0,ok,True
case_015,4,47474,47474,False,0,ok,True
case_016,1,7715523,7715523,False,0,ok,True
case_016,2,4033396,4033396,False,0,ok,True
case_016,3,2876681,2876681,False,0,ok,True
case_016,4,2241799,2241799,False,0,ok,True
case_017,1,150093,150093,False,0,ok,True
case_017,2,82890,82890,False,0,ok,True
case_017,3,55437,55437,False,0,ok,True
case_017,4,42233,42233,False,0,ok,True
case_018,1,1003110,1003110,False,0,ok,True
case_018,2,500561,500561,False,0,ok,True
case_018,3,337768,337768,False,0,ok,True
case_018,4,255589,255589,False,0,ok,True
case_019,1,62370,62370,False,0,ok,True
case_019,2,37105,37105,False,0,ok,True
case_019,3,29109,29109,False,0,ok,True
case_019,4,22371,22371,False,0,ok,True
case_020,1,532746,532746,False,0,ok,True
case_020,2,266580,266580,False,0,ok,True
case_020,3,177950,177950,False,0,ok,True
case_020,4,133704,133704,False,0,ok,True
case_021,1,6558837,6558837,False,0,ok,True
case_021,2,3193634,3193634,False,0,ok,True
case_021,3,2141468,2141468,False,0,ok,True
case_021,4,1550324,1550324,False,0,ok,True
case_022,1,56780,56780,False,0,ok,True
case_022,2,28228,28228,False,0,ok,True
case_022,3,18907,18907,False,0,ok,True
case_022,4,14654,14654,False,0,ok,True
case_023,1,106169,106169,False,0,ok,True
case_023,2,52696,52696,False,0,ok,True
case_023,3,36179,36179,False,0,ok,True
case_023,4,30309,30309,False,0,ok,True
case_024,1,2555343,2555343,False,0,ok,True
case_024,2,1336312,1336312,False,0,ok,True
case_024,3,953369,953369,False,0,ok,True
case_024,4,743623,743623,False,0,ok,True
case_025,1,4863026,4863026,False,0,ok,True
case_025,2,2431840,2431840,False,0,ok,True
case_025,3,1622164,1622164,False,0,ok,True
case_025,4,1217444,1217444,False,0,ok,True
case_026,1,95268,95268,False,0,ok,True
case_026,2,54379,54379,False,0,ok,True
case_026,3,39633,39633,False,0,ok,True
case_026,4,39669,39669,True,0,ok,True
case_027,1,2359515,2359515,False,0,ok,True
case_027,2,1120962,1120962,False,0,ok,True
case_027,3,778952,778952,False,0,ok,True
case_027,4,559196,559196,False,0,ok,True
case_028,1,41093839,41093839,False,0,ok,True
case_028,2,20446265,20446265,False,0,ok,True
case_028,3,13548624,13548624,False,0,ok,True
case_028,4,10143313,10143313,False,0,ok,True
case_029,1,37555,37555,False,0,ok,True
case_029,2,19009,19009,False,0,ok,True
case_029,3,12743,12743,False,0,ok,True
case_029,4,11028,11028,False,0,ok,True
case_030,1,2807891,2807891,False,0,ok,True
case_030,2,1396787,1396787,False,0,ok,True
case_030,3,933208,933208,False,0,ok,True
case_030,4,697872,697872,False,0,ok,True
case_031,1,1405969,1405969,False,0,ok,True
case_031,2,710197,710197,False,0,ok,True
case_031,3,483293,483293,False,0,ok,True
case_031,4,364695,364695,False,0,ok,True
case_032,1,37094,37094,False,0,ok,True
case_032,2,19129,19129,False,0,ok,True
case_032,3,13399,13399,False,0,ok,True
case_032,4,12791,12791,False,0,ok,True
case_033,1,1774080,1774080,False,0,ok,True
case_033,2,894719,894719,False,1,ok,True
case_033,3,592230,592230,False,1,ok,True
case_033,4,447805,447805,False,3,ok,True
case_034,1,842733,842733,False,0,ok,True
case_034,2,417299,417299,False,0,ok,True
case_034,3,281348,281348,False,0,ok,True
case_034,4,212928,212928,False,0,ok,True
case_035,1,157542,157542,False,0,ok,True
case_035,2,95406,95406,False,0,ok,True
case_035,3,91278,91278,True,0,ok,True
case_035,4,70276,70276,True,0,ok,True
