case,cores,stage1_cycles,final_cycles,branch_called,feedback_calls,status
case_072,5,4809646,4809646,False,3,ok
case_076,5,1232145,1232145,False,0,ok
case_079,5,6075472,6075472,False,0,ok
case_081,5,30943,30943,False,0,ok
case_082,5,185171,185171,False,4,ok
case_083,5,181628,181628,False,0,ok
case_084,5,375094,375094,False,0,ok
case_085,5,744845,744845,False,4,ok
case_086,5,34630,34630,True,1,ok
case_087,5,852871,852871,False,1,ok
case_088,5,75845,75845,True,1,ok
case_089,5,120170,120170,False,0,ok
case_090,5,196947,196947,False,0,ok
case_091,5,1846939,1846939,False,0,ok
case_092,5,798824,798824,False,0,ok
case_093,5,15876,15876,False,0,ok
case_094,5,25370,20019,True,0,ok
case_095,5,420852,420852,False,0,ok
case_096,5,26984,26984,True,0,ok
case_097,5,2102004,2102004,False,0,ok
case_098,5,68795,68795,True,0,ok
case_099,5,326037,326037,False,0,ok
case_100,5,40014,40014,False,0,ok
