phase,case,cores,hit_percent,cache_speedup_percent,with_l2_cycles,no_l2_cycles
development,case_036,1,0.0,0.0,931510,931510
development,case_036,2,0.0,0.0,466068,466068
development,case_036,5,0.0,0.0,187182,187182
development,case_082,1,0.0,0.0,709178,709178
development,case_082,2,15.42611816838327,0.0,572591,572591
development,case_082,5,38.18824264977741,0.0,513840,513840
development,case_100,1,0.0,0.0,139277,139277
development,case_100,2,2.741058323332456,0.0,82364,82364
development,case_100,5,32.7124236466278,0.0,58085,58085
confirmation,case_008,1,0.0,0.0,269325,269325
confirmation,case_008,2,0.0,0.0,136244,136244
confirmation,case_008,5,0.0,0.0,97488,97488
confirmation,case_074,1,16.680485013829855,0.24545324529829937,1678120,1682239
confirmation,case_074,2,26.188621340017676,0.20967629926813558,820789,822510
confirmation,case_074,5,34.93624053995719,2.2304667210803597,336925,344440
confirmation,case_095,1,0.0,0.0,1144413,1144413
confirmation,case_095,2,0.0,0.0,573788,573788
confirmation,case_095,5,0.0,0.0,420852,420852
diagnostic,case_044,1,0.0,0.0,86719,86719
diagnostic,case_044,2,17.487341557073435,11.752276390885719,45906,51301
diagnostic,case_044,5,0.0424427878065978,0.1141267520239575,84117,84213
