case,q3_cycles,added_copy_bytes,hit_rate,singlecore_cycles,speedup
case_001,47502,4608,0.0,233110.0,4.9073723211654245
case_002,53071,1287168,0.3125,261945.0,4.93574645286503
case_003,151659,4863512,0.5487943414425035,602212.0,3.9708292946676425
case_004,85236,577536,0.0,392357.0,4.603184100614763
case_005,32639,977392,0.41610246496291897,95618.0,2.929562792977726
case_006,29795,390540,0.039916451469928636,82837.0,2.780231582480282
case_007,197052,2260992,0.0,1012562.0,5.1385522603170735
case_008,97488,2875392,0.0,487605.0,5.001692516001969
case_009,52461,861326,0.17412034867003573,153261.0,2.9214273460284783
case_010,21389,411780,0.2405697445972495,86969.0,4.066061994483146
case_011,46880,540672,0.0,184697.0,3.9397824232081913
case_012,14022,49552,0.07483696874297278,59088.0,4.213949507916132
case_013,54363,32768,0.0,263949.0,4.855305998565201
case_014,3616531,90875376,0.3788007486237308,17698626.0,4.89381288311921
case_015,43286,313376,0.2615904267841669,177362.0,4.097444901353787
case_016,2241799,14628,0.0030359773300377,7715523.0,3.441665822850309
case_017,35470,340992,0.3024277773338964,162810.0,4.590076120665351
case_018,201533,5115980,0.6011776178319982,1004367.0,4.983635434395359
case_019,17830,60004,0.13609402737697607,81144.0,4.550981491867639
case_020,107650,0,0.0,532746.0,4.948871342313051
case_021,1247669,12322816,0.5804235030150049,6567937.0,5.264166217161764
case_022,11685,20748,0.08850872026019925,56780.0,4.859221223791185
case_023,25191,280992,0.32420005761319176,122614.0,4.867373268230717
case_024,743623,4836,0.0010110354519581228,2555343.0,3.43634207118392
case_025,975282,110592,0.0,4863026.0,4.986276789687495
case_026,34829,1408692,0.27795889202737556,99203.0,2.8482873467512704
case_027,474308,9207808,0.35209662716499546,2363952.0,4.984001956534573
case_028,8070683,33177600,0.344419013270449,43836040.0,5.43151552353128
case_029,9383,0,0.0,37555.0,4.002451241607162
case_030,560289,7835504,0.6198171478093012,2808034.0,5.011760002427319
case_031,292431,8696372,0.5421473684210526,1414369.0,4.836590511949828
case_032,10391,12360,0.028348358237626752,41443.0,3.988355307477625
case_033,358366,8182426,0.32497229012617485,1774196.0,4.9507933230272965
case_034,177145,3536896,0.5708077182269533,842996.0,4.758790821078778
case_035,57687,1089220,0.21906860416761104,169571.0,2.9395011007679375
case_036,187182,4608,0.0,931510.0,4.976493466252097
case_037,43013,1925120,0.6425,210001.0,4.882268151489085
case_038,276022,8981516,0.43245908510052555,1364555.0,4.943645796349566
case_039,368565,17776640,0.4627143922445936,1435262.0,3.8941896273384615
case_040,98827,3505998,0.2236337817514977,253454.0,2.5646230281198457
case_041,1199098,38810672,0.2849987192480112,6003957.0,5.00706114095762
case_042,361263,10058752,0.3138899721844145,1686740.0,4.669008450906957
case_043,185370,4990160,0.5298160326286951,677656.0,3.655694017370664
case_044,43882,930400,0.0015122166717640262,154407.0,3.5186864773711317
case_045,26164,0,0.0,125614.0,4.801024308209754
case_046,78210,2791200,0.0,276455.0,3.53477816136044
case_047,91032,2350744,0.5413755976327239,326508.0,3.58673872923807
case_048,93685,634002,0.14301576394905346,222220.0,2.3719912472647704
case_049,80847,2060912,0.22138697205500904,196276.0,2.42774623671874
case_050,40643,958336,0.382791333758995,149690.0,3.683045050808257
case_051,178135,1140,0.00023362943324546835,607628.0,3.4110534145451483
case_052,37921,808652,0.19832097516244804,180301.0,4.754647820468869
case_053,355133,7309256,0.48330845439702264,1472686.0,4.146857656145726
case_054,198353,2980344,0.33810338644752214,815051.0,4.109093384017383
case_055,26781,198656,0.24098560316759426,118835.0,4.437287629289422
case_056,93868,3976084,0.30292541793528865,277285.0,2.9539885797076746
case_057,16209,85822,0.1855262465873938,59726.0,3.684743043987908
case_058,925176,30380032,0.25880406523280547,4539717.0,4.906868530960596
case_059,150736,4325376,0.7378787878787879,829473.0,5.502819498991615
case_060,182782,4290948,0.5159123924006138,888789.0,4.862563053254697
case_061,20739,157028,0.1936428115735355,77191.0,3.7220213125030135
case_062,567755,15037440,0.0036957191253464737,2854809.0,5.028241054680276
case_063,212149,5555712,0.0034676354029062086,1070397.0,5.04549632569562
case_064,10292,83728,0.30798470165888453,19116.0,1.85736494364555
case_065,12156,55584,0.156440681782361,53068.0,4.365580783152352
case_066,91757,2420422,0.3422966436208212,359070.0,3.913270922109485
case_067,12300408,18799872,0.517582670067927,63834834.0,5.189651757892909
case_068,113388,3065990,0.25018838395548343,362095.0,3.193415528980139
case_069,9200,262578,0.2805420227351383,25144.0,2.7330434782608695
case_070,26572,462852,0.2737756993252582,117300.0,4.414421195243113
case_071,8312,179442,0.24732934999094694,18919.0,2.2761068334937438
case_072,4809646,129444980,0.19647711186272657,23897828.0,4.968729091496547
case_073,1707944,14886400,0.7365283754936128,10081626.0,5.902784868824739
case_074,341808,9453568,0.34928463437238827,1682239.0,4.921590483546319
case_075,354698,5720854,0.28835119373724066,1441809.0,4.0648918234667235
case_076,1232145,37194752,0.3573792354045244,6185113.0,5.019793124997464
case_077,121081,172032,0.0,495320.0,4.090815239385205
case_078,520320,6445440,0.0,2296143.0,4.4129439575645755
case_079,6074919,47900672,0.24173183292008393,31052251.0,5.11154980008787
case_080,100325,3047424,0.0,292138.0,2.9119162721156244
case_081,30943,0,0.0,151795.0,4.905632937982743
case_082,185171,2773528,0.5339353935274856,721041.0,3.8939196742470474
case_083,181628,4179488,0.7354909879590158,1057993.0,5.825054507014337
case_084,375094,8681472,0.0,2507412.0,6.6847563544071615
case_085,744845,10855448,0.5254370581022013,3187899.0,4.27994951969873
case_086,34525,996404,0.31627722580995715,118403.0,3.4294858797972485
case_087,852871,25908378,0.5069576856598562,3974071.0,4.659639030990618
case_088,78057,2154682,0.23560766804548103,243623.0,3.121090997604315
case_089,120170,954880,0.0,693092.0,5.767595905800117
case_090,196947,8593920,0.49158401296342463,1178363.0,5.983147750410009
case_091,1865348,71422980,0.1929102638417091,9186769.0,4.924962527099501
case_092,789927,3950976,0.16450183745163535,4815554.0,6.096201294550003
case_093,15876,32768,0.0,74205.0,4.674036281179139
case_094,25370,259204,0.1529629173339904,94892.0,3.7403232163973197
case_095,420852,0,0.0,2084853.0,4.953886401870491
case_096,26984,78336,0.2714382735727453,84194.0,3.120145271271865
case_097,2102004,21950464,0.20251572327044026,11491509.0,5.466930129533531
case_098,68795,1396952,0.3107102929815594,177430.0,2.5791118540591613
case_099,326045,10706048,0.5316262293179642,1622999.0,4.9778374150807405
case_100,42420,1578556,0.3837221624068374,151223.0,3.564898632720415
