case,cores,method,seed,makespan,construction_best,construction_ratio,no_l2_same_plan,same_plan_cache_ratio,added_copy_bytes,cache_miss_bytes,hit_rate,official_calls,invalid,seconds,rechecked
case_044,5,nsga3_generic,17,68239,84117,1.2326821905362035,80359,1.1776110435381526,3479936,3653856,0.1705132396207911,30,0,5.527439999990747,True
case_044,5,nsga3_npu,17,75446,84117,1.1149298836253745,80093,1.0615937226625667,3309056,4012864,0.054932135563075114,30,0,5.871425299992552,True
case_044,5,unsga3_npu,17,59036,84117,1.424842469001965,74250,1.2577071617318247,2763680,2600768,0.2910749799378947,30,0,5.895639900001697,True
case_044,5,nsga3_generic,29,75524,84117,1.1137784015677137,79119,1.0476007626714687,3226144,4033344,0.030804010826771654,30,0,5.562790900003165,True
case_044,5,nsga3_npu,29,56358,84117,1.4925476418609602,80144,1.4220518826076156,3530880,2598176,0.417850305798338,30,0,5.658300799987046,True
case_044,5,unsga3_npu,29,70925,84117,1.1859992950299612,82564,1.164102925625661,3537312,3784768,0.15346846459961636,30,0,5.769085399995674,True
case_044,5,nsga3_generic,43,73135,84117,1.1501606617898408,74423,1.0176112668353046,2837504,3706944,0.019708727183488334,30,0,5.548265999997966,True
case_044,5,nsga3_npu,43,83709,84117,1.0048740278823065,140760,1.681539619395764,7236224,3387328,0.5861634875892833,30,0,5.883707100001629,True
case_044,5,unsga3_npu,43,78326,84117,1.073934581109721,80662,1.0298240686362128,3409696,4118240,0.05273811276313853,30,0,5.944238199997926,True
case_074,5,nsga3_generic,17,335148,336925,1.0053021351761013,338510,1.0100313891176436,8986624,8593432,0.32626785108359346,30,0,24.099959700004547,True
case_074,5,nsga3_npu,17,336925,336925,1.0,344440,1.0223046672108036,9084928,8368152,0.3493624053995719,30,0,24.93545190000441,True
case_074,5,unsga3_npu,17,336458,336925,1.0013879889911965,338433,1.0058699748557027,9027584,8118296,0.36596220591497114,30,0,24.151506700000027,True
case_074,5,nsga3_generic,29,336925,336925,1.0,344440,1.0223046672108036,9084928,8368152,0.3493624053995719,30,0,26.874875199995586,True
case_074,5,nsga3_npu,29,336925,336925,1.0,344440,1.0223046672108036,9084928,8368152,0.3493624053995719,30,0,28.958181099995272,True
case_074,5,unsga3_npu,29,336925,336925,1.0,344440,1.0223046672108036,9084928,8368152,0.3493624053995719,30,0,27.764626200005296,True
case_074,5,nsga3_generic,43,333519,336925,1.0102123117423596,335996,1.0074268632371768,9084928,7000088,0.4557316336616111,30,0,23.906107899994822,True
case_074,5,nsga3_npu,43,332923,336925,1.0120207976018478,343714,1.032412900280245,8445952,7467032,0.3888695009948936,30,0,24.59710320000886,True
case_074,5,unsga3_npu,43,333664,336925,1.0097733048815576,337026,1.0100760046034334,9084928,7888920,0.3866234823656156,30,0,24.730745799999568,True
case_082,5,nsga3_generic,17,513720,513840,1.0002335902826442,513769,1.0000953826987464,1088526,913670,0.3203902993445423,30,0,22.93970809999155,True
case_082,5,nsga3_npu,17,510283,513840,1.0069706417811293,510373,1.0001763727186679,1037198,863622,0.33892381130261456,30,0,22.817968400006066,True
case_082,5,unsga3_npu,17,513840,513840,1.0,513840,1.0,1020174,822534,0.3818824264977741,30,0,22.54839229999925,True
case_082,5,nsga3_generic,29,513771,513840,1.000134301079664,513771,1.0,1019406,837766,0.36264998645823504,30,0,22.222994099996868,True
case_082,5,nsga3_npu,29,513840,513840,1.0,513840,1.0,1020174,822534,0.3818824264977741,30,0,22.48976669998956,True
case_082,5,unsga3_npu,29,511311,513840,1.0049461091194987,511439,1.0002503368791205,1134990,998470,0.2610778744453292,30,0,23.641028099998948,True
case_082,5,nsga3_generic,43,508066,513840,1.0113646652206603,508080,1.0000275554750762,1073292,846982,0.37687548280301636,30,0,23.08010189999186,True
case_082,5,nsga3_npu,43,508038,513840,1.011420405560214,508052,1.0000275569937682,1073292,846982,0.37687548280301636,30,0,22.57209880001028,True
case_082,5,unsga3_npu,43,506716,513840,1.0140591573978324,506877,1.00031773222081,1092624,858758,0.3717633770174712,30,0,23.0627758000046,True
