case,event_order,tensor_id,alias,time,event,core_id,op_id
case_080,4,1000000099,tau_2,0.0,miss,4,1000002173
case_080,9,1000000099,tau_2,345.0,insert,4,1000002173
case_080,93,1000000033,tau_3,5150.0,miss,3,1000001841
case_080,98,1000000033,tau_3,5495.0,insert,3,1000001841
case_080,130,1000000141,tau_1,7210.0,miss,4,1000002383
case_080,135,1000000141,tau_1,7555.0,insert,4,1000002383
case_080,357,1000000033,tau_3,17844.0,hit,0,1000001835
case_080,429,1000000099,tau_2,20841.0,evict,3,1000002859
case_080,514,1000000099,tau_2,25053.0,miss,0,1000002165
case_080,516,1000000033,tau_3,25111.0,evict,2,1000003589
case_080,523,1000000099,tau_2,25418.0,insert,0,1000002165
case_080,557,1000000141,tau_1,26664.0,evict,3,1000001771
case_080,580,1000000141,tau_1,27901.0,miss,0,1000002375
case_080,584,1000000033,tau_3,28005.0,miss,1,1000001837
case_080,588,1000000141,tau_1,28242.0,insert,0,1000002375
case_080,594,1000000033,tau_3,28325.0,insert,1,1000001837
case_080,686,1000000099,tau_2,31268.0,hit,3,1000002171
case_080,723,1000000033,tau_3,33347.0,hit,2,1000001839
case_080,805,1000000141,tau_1,36353.0,hit,3,1000002381
case_080,1115,1000000099,tau_2,48291.0,evict,2,1000003193
case_080,1190,1000000099,tau_2,51036.0,miss,2,1000002169
case_080,1191,1000000141,tau_1,51103.0,evict,3,1000003445
case_080,1194,1000000033,tau_3,51298.0,evict,0,1000003287
case_080,1199,1000000033,tau_3,51348.0,miss,4,1000001843
case_080,1200,1000000099,tau_2,51357.0,insert,2,1000002169
case_080,1204,1000000099,tau_2,51435.0,hit,1,1000002167
case_080,1207,1000000033,tau_3,51673.0,insert,4,1000001843
case_080,1261,1000000141,tau_1,53646.0,miss,2,1000002379
case_080,1266,1000000141,tau_1,54051.0,insert,2,1000002379
case_080,1285,1000000141,tau_1,54380.0,hit,1,1000002377
