case,cores,q1_speedup,q2_speedup,q1_cycles,q2_cycles,q1_extra_bytes,q2_extra_bytes
case_001,2,1.9946435294520313,1.9946435294520313,116868,116868,1152,1152
case_001,3,2.9678528232223567,2.9678528232223567,78545,78545,2304,2304
case_001,4,3.952088702020887,3.952088702020887,58984,58984,3456,3456
case_001,5,4.9073723211654245,4.9073723211654245,47502,47502,4608,4608
case_002,2,1.9718092513831909,2.0480133227001924,132845,127902,56832,681984
case_002,3,2.918672282390694,3.0274259165087143,89748,86524,56832,479232
case_002,4,3.811162357597009,3.646430758950944,68731,71836,56832,615936
case_002,5,4.570508793969849,4.176086090075727,57312,62725,1714176,662016
case_003,2,1.7880456889717606,1.8984348155036805,336799,317215,1965240,1059210
case_003,3,2.489755081115944,2.7661963032374235,241876,217704,3010640,2458894
case_003,4,2.877487051088473,3.3404260039937874,209284,180280,3196140,2854806
case_003,5,3.359676870463662,3.81801697848842,179247,157729,4404992,4863512
case_004,2,1.9709103147573264,1.9709103147573264,199074,199074,110592,110592
case_004,3,2.927098020784375,2.927098020784375,134043,134043,221184,221184
case_004,4,3.765855952700887,3.765855952700887,104188,104188,331776,331776
case_004,5,4.441391879195391,4.441391879195391,88341,88341,442368,442368
case_005,2,1.6111953627877196,1.82139931805627,59346,52497,712540,324774
case_005,3,1.991377874041986,2.367192335305622,48016,40393,1050090,900684
case_005,4,2.2398219723588664,2.7483544594866487,42690,34791,1122676,948786
case_005,5,2.3907488436054507,1.7350390128833242,39995,55110,1323714,1426582
case_006,2,1.7968980477223426,1.7968980477223426,46100,46100,29576,29576
case_006,3,2.4389647862442585,2.6590376528745225,33964,31153,797604,30080
case_006,4,2.8094624385280653,3.369275197266737,29485,24586,864038,637248
case_006,5,3.0508618149675897,3.758655111393439,27152,22039,858920,483828
case_007,2,1.9952196479170197,1.9952196479170197,507494,507494,27648,27648
case_007,3,2.994912657426633,2.994912657426633,338094,338094,55296,55296
case_007,4,3.980227831979811,3.980227831979811,254398,254398,82944,82944
case_007,5,4.967581463347626,4.967581463347626,203834,203834,110592,110592
case_008,2,1.9962049568912579,1.9962049568912579,244266,244266,0,0
case_008,3,2.984867684057811,2.984867684057811,163359,163359,0,0
case_008,4,3.962335446123842,3.962335446123842,123060,123060,0,0
case_008,5,4.846823653370178,4.846823653370178,100603,100603,0,0
case_009,2,1.5922889913975813,1.6876548511776948,96252,90813,691132,515502
case_009,3,2.1463322409881522,2.0758072380539603,71406,73832,647448,1008868
case_009,4,2.643479310761164,2.293811269924418,57977,66815,702550,1027874
case_009,5,2.9473269230769232,2.503651065915217,52000,61215,777248,1109614
case_010,2,1.8426025975126592,1.9242632091335516,47199,45196,575046,206328
case_010,3,2.4996838353644515,2.4988937735252708,34792,34803,627528,341144
case_010,4,2.6478611660831177,3.4548524212449845,32845,25173,853738,365144
case_010,5,3.038536789881909,3.6829423223511477,28622,23614,716874,418324
case_011,2,1.9935777043801135,1.9935777043801135,92646,92646,180224,180224
case_011,3,2.4247361235099514,2.6527396768402154,76172,69625,2502656,1081344
