case,compute_ops,op_edges,components,depth,branches,joins,max_layer_width,compute_cycles,largest_component_fraction,direct_op_edges,input_sha256
case_001,600,400,200,3,0,0,200,263200,0.005,0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
case_002,1798,1797,1,24,0,198,199,275928,1.0,0,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
case_003,13455,20540,10,305,3640,7166,325,763981,0.8997252549474398,0,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
case_004,777,777,111,6,111,222,222,433566,0.009009009009009009,0,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
case_005,4113,6258,1,138,1166,2170,196,124812,1.0,0,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
case_006,678,695,27,22,26,133,116,87660,0.3459730778005932,0,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
case_007,3885,3885,555,6,555,1110,1110,1232100,0.0018018018018018018,0,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518
case_008,864,972,108,8,216,216,108,487296,0.009259259259259259,0,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d
case_009,5671,8056,25,366,1435,2585,217,185152,0.6151054268924991,0,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a
case_010,667,700,36,62,58,113,80,100106,0.2872854773939624,0,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
case_011,688,672,16,22,0,336,352,209984,0.0625,0,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
case_012,972,986,50,19,44,209,195,67809,0.17357577902638294,0,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
case_013,1968,1722,246,4,0,738,984,307008,0.0040650406504065045,0,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
case_014,35705,34509,1340,124,144,14725,15921,18877172,0.0020250384962323805,0,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
case_015,1013,1063,46,29,68,222,172,196477,0.14846521475796148,0,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
case_016,17995,21338,1,2440,304,3355,12,7714975,1.0,0,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
case_017,1373,1428,60,18,60,288,233,177802,0.04665864275992396,0,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
case_018,2727,2653,126,28,52,1010,1084,1084051,0.026754276320948,0,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
case_019,647,694,31,79,78,104,57,88712,0.27186851835151954,0,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
case_020,7008,8064,288,24,1344,1344,576,532608,0.003995433789954338,0,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
case_021,3920,3840,80,7,0,1920,2000,6975360,0.0125,0,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
case_022,1356,1483,32,36,91,276,149,58571,0.12212528384354032,0,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
case_023,1011,1123,43,31,142,207,96,132942,0.07332520948985272,0,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
case_024,5959,7058,1,808,100,1111,12,2554795,1.0,0,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec
case_025,18662,18662,2666,6,2666,5332,5332,5918520,0.00037509377344336085,0,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb
case_026,636,679,31,49,42,119,76,111760,0.3652827487473157,0,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b
case_027,1424,1408,16,45,0,704,720,2516352,0.0625,0,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b
case_028,19584,23103,153,124,3672,3672,306,40950144,0.006535947712418301,0,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212
case_029,861,924,21,12,42,231,168,37485,0.047619047619047616,0,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b
case_030,10070,9584,486,12,0,3986,4472,3183302,0.007273893585968281,0,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90
case_031,6135,7166,107,136,749,2690,1659,1555517,0.07235922204643215,0,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82
case_032,827,870,25,30,30,180,137,44145,0.21542643560992183,0,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385
case_033,3465,3437,95,34,65,1411,1439,1920150,0.02141759758352212,0,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b
case_034,3745,3691,155,24,64,1320,1374,944116,0.0186756712098937,0,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6
case_035,3857,5067,16,333,750,1434,224,206101,0.5982794843304982,0,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2
case_036,2400,1600,800,3,0,0,800,1052800,0.00125,0,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21
case_037,780,760,20,6,0,380,400,238480,0.05,0,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3
case_038,5907,5855,130,36,78,2542,2594,1492776,0.019798013901616854,0,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac
case_039,5250,5180,70,8,0,2590,2660,1476300,0.014285714285714285,0,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed
case_040,3083,4149,28,229,662,1262,196,297723,0.47310419416706134,0,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57
