case,cores,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,wall_seconds,selected,bound_pruned,invalid_candidates,stop_reason,global_lower_bound_cycles,certified_gap,singlecore_cycles,baseline_cycles,speedup,baseline_speedup,reduction_percent
case_001,2,116868,1152,1640704,0,13440,8192,1,0.394924499996705,component_baseline,0,0,certified_gap,116400.0,0.0040206185567011055,233110,116868,1.9946435294520313,1.9946435294520313,0.0
case_001,3,78545,2304,1641856,0,13440,8192,1,0.3941717999987304,component_baseline,0,0,certified_gap,77600.0,0.01217783505154646,233110,78545,2.9678528232223567,2.9678528232223567,0.0
case_001,4,58984,3456,1643008,0,13440,8192,1,0.38924129999941215,component_baseline,0,0,certified_gap,58200.0,0.013470790378006914,233110,58984,3.952088702020887,3.952088702020887,0.0
case_001,5,47502,4608,1644160,0,13440,8192,1,0.3953466000020853,component_baseline,0,0,certified_gap,46560.0,0.020231958762886526,233110,47502,4.9073723211654245,4.9073723211654245,0.0
case_002,2,127559,4968960,6193152,0,10752,9216,2,2.0522529000008944,greedy_schedule,1,0,fixed_candidate_budget,120000.0,0.06299166666666656,261945,261945,2.0535203317680444,1.0,51.303136154536254
case_002,3,108524,4968960,6193152,0,10752,9216,3,2.6285750000024564,data_band_w2,1,0,fixed_candidate_budget,80000.0,0.3565499999999999,261945,261945,2.4137057240794664,1.0,58.569928801847716
case_002,4,108574,4968960,6193152,0,10752,9216,3,2.317525200000091,data_band_w2,1,0,fixed_candidate_budget,60000.0,0.8095666666666668,261945,261945,2.412594175401109,1.0,58.550840825364105
case_002,5,108635,4968960,6193152,0,10752,9216,3,2.2325382999988506,data_band_w2,1,0,fixed_candidate_budget,48000.0,1.2632291666666666,261945,261945,2.411239471625167,1.0,58.5275534940541
case_003,2,335900,1965240,3249504,0,116736,18562,3,21.388914899995143,valley_w3,2,0,fixed_candidate_budget,219396.0,0.5310215318419662,602212,538381,1.7928311997618338,1.1185610190552786,37.60923955340177
case_003,3,241876,3010640,4294904,0,116736,18560,2,13.668640500000038,greedy_schedule,3,0,fixed_candidate_budget,146264.0,0.6536946890554067,602212,538764,2.489755081115944,1.1177658492401126,55.10538937271235
case_003,4,209284,3196140,4480404,0,116736,18560,2,12.373973599998862,greedy_schedule,3,0,fixed_candidate_budget,109698.0,0.9078196503126765,602212,539155,2.877487051088473,1.1169552355074144,61.18296222793074
case_003,5,182936,4572928,5857192,0,116736,18560,2,12.662399699998787,greedy_schedule,3,0,fixed_candidate_budget,87758.4,1.0845411949169539,602212,539607,3.2919272313814667,1.1160196216876357,66.09829005183401
case_004,2,199074,110592,903168,0,125952,12288,2,0.6610314999998081,component_baseline,1,0,fixed_candidate_budget,192807.0,0.03250400659727082,392357,199074,1.9709103147573264,1.9709103147573264,0.0
case_004,3,134043,221184,1013760,0,125952,12288,2,0.6241927999944892,component_baseline,1,0,fixed_candidate_budget,128538.0,0.042827801895159334,392357,134043,2.927098020784375,2.927098020784375,0.0
case_004,4,104188,331776,1124352,0,125952,12288,2,0.6120351000063238,component_baseline,1,0,fixed_candidate_budget,96403.5,0.08074914292530866,392357,104188,3.765855952700887,3.765855952700887,0.0
case_004,5,88341,442368,1234944,0,125952,12288,2,0.6156832000051509,component_baseline,1,0,fixed_candidate_budget,77122.8,0.1454589304330236,392357,88341,4.441391879195391,4.441391879195391,0.0
case_005,2,62419,708794,1042208,0,23136,16226,3,4.233494299995073,valley_w3,1,0,fixed_candidate_budget,31941.0,0.9541968003506465,95618,95618,1.5318733078069178,1.0,34.72045012445355
case_005,3,50611,1117674,1451088,0,41856,13922,2,2.5267002999971737,greedy_schedule,2,0,fixed_candidate_budget,21294.0,1.3767727998497228,95618,95618,1.8892730829266364,1.0,47.06958940785208
case_005,4,44678,1115866,1449280,0,23136,13922,2,2.2221108000012464,valley_w5,3,0,fixed_candidate_budget,15970.5,1.7975329513791052,95618,95618,2.1401584672545773,1.0,53.274488067100336
