case,cores,singlecore_cycles,baseline_cycles,makespan_cycles,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,bound_pruned,invalid_candidates,wall_seconds,stop_reason,selected
case_001,2,233110,116868,116868,1.9946435294520313,0.0,1152,0,13440,8192,15,5,0,1.7959295000000566,no_new_candidate,base_w0_k2
case_001,3,233110,78545,78545,2.9678528232223567,0.0,2304,0,13440,8192,24,9,0,2.5547062999976333,evaluation_budget,base_w0_k3
case_001,4,233110,58984,58984,3.952088702020887,0.0,3456,0,13440,8192,24,12,0,2.55815640000219,evaluation_budget,base_w0_k4
case_001,5,233110,47502,47502,4.9073723211654245,0.0,4608,0,13440,8192,24,15,0,2.5259157000000414,evaluation_budget,base_w0_k5
case_002,2,261945,261945,124255,2.1081244215524526,52.5644696405734,1121280,178176,463872,130560,16,12,0,5.971310499997344,no_new_candidate,eft_placement
case_002,3,261945,261945,83772,3.1268801031370863,68.01924068029548,1003008,0,311808,102912,17,21,0,6.101019699999597,no_new_candidate,eft_placement
case_002,4,261945,261945,65958,3.9713908851087054,74.81990494187711,1274880,0,67584,24576,24,64,0,9.76910670000143,evaluation_budget,move_s8_c3
case_002,5,261945,261945,53071,4.93574645286503,79.73964000076353,1287168,0,53760,21504,24,31,0,9.172337600000901,evaluation_budget,eft_placement
case_003,2,602212,538381,310518,1.9393787155656033,42.32374470867285,1059210,0,174720,70350,24,5,0,152.12767539999913,evaluation_budget,split_s2_d20_c0
case_003,3,602212,538764,217191,2.7727299934159335,59.68717286232933,2471182,0,118784,29058,24,6,0,144.56024770000295,evaluation_budget,critical_order
case_003,4,602212,539155,180280,3.3404260039937874,66.56249130583969,2854806,0,118272,21252,24,3,0,132.56154489999972,evaluation_budget,valley_w1_k4
case_003,5,602212,539607,157729,3.81801697848842,70.76965272874519,4863512,0,116736,19204,24,3,0,139.57674829999814,evaluation_budget,valley_w1_k5
case_004,2,392357,199074,196032,2.0014946539340515,1.5280749871906973,983040,872448,258048,129024,24,12,0,3.755163400001038,evaluation_budget,band_w4_k2
case_004,3,392357,134043,131412,2.985701458009923,1.9628029811329162,847872,626688,199680,129024,24,21,0,3.8591735000009066,evaluation_budget,band_w4_k3
case_004,4,392357,104188,101428,3.8683302441140515,2.6490574730295258,712704,380928,172032,129024,24,41,0,4.24933609999789,evaluation_budget,band_w4_k4
case_004,5,392357,88341,85236,4.603184100614763,3.5147892824396343,577536,135168,156672,129024,24,45,0,4.4242210000011255,evaluation_budget,band_w4_k5
case_005,2,95618,95618,49399,1.9356262272515639,48.337133175761885,324966,0,38400,55988,24,4,0,28.35177769999791,evaluation_budget,split_s19_d112_c1
case_005,3,95618,95618,39595,2.4149008713221365,58.59043276370558,879756,0,47232,21844,24,1,0,30.521305199999915,evaluation_budget,eft_placement
case_005,4,95618,95618,33060,2.8922565033272836,65.42491999414337,976336,0,32256,18484,24,3,0,30.61535069999809,evaluation_budget,eft_placement
case_005,5,95618,95618,33341,2.8678803875108727,65.1310422723755,977392,0,32256,18484,24,4,0,33.927273099998274,evaluation_budget,eft_placement
