case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,strategy,source_plan,source_result
case_001,2,233110,116868,116868,1.9946435294520313,1152,1152,0,13440,8192,band_w4_k2_trimmed,q2_optimization/transfer/case_001/n2/band_w4_k2_trimmed/case_001_multicore_res.json,q2_optimization/transfer/case_001/n2/band_w4_k2_trimmed/result.json.gz
case_001,3,233110,78545,78545,2.9678528232223567,2304,2304,0,13440,8192,band_w4_k3_trimmed,q2_optimization/transfer/case_001/n3/band_w4_k3_trimmed/case_001_multicore_res.json,q2_optimization/transfer/case_001/n3/band_w4_k3_trimmed/result.json.gz
case_001,4,233110,58984,58984,3.952088702020887,3456,3456,0,13440,8192,band_w4_k4_trimmed,q2_optimization/transfer/case_001/n4/band_w4_k4_trimmed/case_001_multicore_res.json,q2_optimization/transfer/case_001/n4/band_w4_k4_trimmed/result.json.gz
case_001,5,233110,47502,47502,4.9073723211654245,4608,4608,0,13440,8192,baseline,baseline_results/case_001/q2_n5/case_001_multicore_res.json,baseline_results/case_001/q2_n5/result.json.gz
case_002,2,261945,261945,132196,1.9814896063420981,27648,27648,0,12288,19968,band_w12_k2_trimmed,q2_optimization/transfer/case_002/n2/band_w12_k2_trimmed/case_002_multicore_res.json,q2_optimization/transfer/case_002/n2/band_w12_k2_trimmed/result.json.gz
case_002,3,261945,261945,89027,2.94230963640244,41472,41472,0,7680,15360,band_w12_k3_trimmed,q2_optimization/transfer/case_002/n3/band_w12_k3_trimmed/case_002_multicore_res.json,q2_optimization/transfer/case_002/n3/band_w12_k3_trimmed/result.json.gz
case_002,4,261945,261945,67434,3.88446481003648,508416,508416,0,233472,76800,band_w4_k4_trimmed,q2_optimization/transfer/case_002/n4/band_w4_k4_trimmed/case_002_multicore_res.json,q2_optimization/transfer/case_002/n4/band_w4_k4_trimmed/result.json.gz
case_002,5,261945,261945,54745,4.784820531555393,517632,517632,0,187392,61440,band_w4_k5,q2_optimization/band/case_002/n5/band_w4_k5/case_002_multicore_res.json,q2_optimization/band/case_002/n5/band_w4_k5/result.json.gz
case_003,2,602212,538381,338772,1.7776321537789428,1221510,1221510,0,118016,33286,q1_selected,q2_optimization/case_003/n2/q1_selected/case_003_multicore_res.json,q2_optimization/case_003/n2/q1_selected/result.json.gz
case_003,3,602212,538764,218198,2.7599336382551627,2209040,2209040,0,116736,32134,q1_selected,q2_optimization/case_003/n3/q1_selected/case_003_multicore_res.json,q2_optimization/case_003/n3/q1_selected/result.json.gz
case_003,4,602212,539155,195722,3.0768743421792135,3244694,3244694,0,118528,26886,q1_selected,q2_optimization/case_003/n4/q1_selected/case_003_multicore_res.json,q2_optimization/case_003/n4/q1_selected/result.json.gz
case_003,5,602212,539607,159542,3.774629878025849,4421404,4421404,0,118016,20484,q1_selected,q2_optimization/case_003/n5/q1_selected/case_003_multicore_res.json,q2_optimization/case_003/n5/q1_selected/result.json.gz
case_004,2,392357,199074,196032,2.0014946539340515,983040,110592,872448,258048,129024,band_w4_k2_trimmed,q2_optimization/transfer/case_004/n2/band_w4_k2_trimmed/case_004_multicore_res.json,q2_optimization/transfer/case_004/n2/band_w4_k2_trimmed/result.json.gz
case_004,3,392357,134043,131412,2.985701458009923,847872,221184,626688,199680,129024,band_w4_k3_trimmed,q2_optimization/transfer/case_004/n3/band_w4_k3_trimmed/case_004_multicore_res.json,q2_optimization/transfer/case_004/n3/band_w4_k3_trimmed/result.json.gz
case_004,4,392357,104188,101428,3.8683302441140515,712704,331776,380928,172032,129024,band_w4_k4_trimmed,q2_optimization/transfer/case_004/n4/band_w4_k4_trimmed/case_004_multicore_res.json,q2_optimization/transfer/case_004/n4/band_w4_k4_trimmed/result.json.gz
case_004,5,392357,88341,85236,4.603184100614763,577536,442368,135168,156672,129024,band_w4_k5,q2_optimization/band/case_004/n5/band_w4_k5/case_004_multicore_res.json,q2_optimization/band/case_004/n5/band_w4_k5/result.json.gz
case_005,2,95618,95618,55420,1.725333814507398,398118,398118,0,67488,23476,q1_selected,q2_optimization/case_005/n2/q1_selected/case_005_multicore_res.json,q2_optimization/case_005/n2/q1_selected/result.json.gz
case_005,3,95618,95618,41929,2.2804741348470032,795084,795084,0,70752,19252,q1_selected,q2_optimization/case_005/n3/q1_selected/case_005_multicore_res.json,q2_optimization/case_005/n3/q1_selected/result.json.gz
case_005,4,95618,95618,33901,2.820506769711808,1080882,1080882,0,63840,17812,q1_selected,q2_optimization/case_005/n4/q1_selected/case_005_multicore_res.json,q2_optimization/case_005/n4/q1_selected/result.json.gz
case_005,5,95618,95618,32820,2.9134064594759295,1307352,1307352,0,44544,16276,q1_selected,q2_optimization/case_005/n5/q1_selected/case_005_multicore_res.json,q2_optimization/case_005/n5/q1_selected/result.json.gz
case_006,2,82837,46100,40084,2.0665851711406047,820626,700778,119848,145024,123926,band_w4_k2_trimmed,q2_optimization/transfer/case_006/n2/band_w4_k2_trimmed/case_006_multicore_res.json,q2_optimization/transfer/case_006/n2/band_w4_k2_trimmed/result.json.gz
case_006,3,82837,31153,31152,2.659123009758603,30084,30084,0,196608,94220,data_band_w12_k3_trimmed,q2_optimization/transfer_data_band/case_006/n3/data_band_w12_k3_trimmed/case_006_multicore_res.json,q2_optimization/transfer_data_band/case_006/n3/data_band_w12_k3_trimmed/result.json.gz
case_006,4,82837,31428,24586,3.369275197266737,637248,637248,0,100992,51200,data_band_w4_k4_trimmed,q2_optimization/transfer_data_band/case_006/n4/data_band_w4_k4_trimmed/case_006_multicore_res.json,q2_optimization/transfer_data_band/case_006/n4/data_band_w4_k4_trimmed/result.json.gz
case_006,5,82837,31733,22039,3.758655111393439,483828,483828,0,55424,70146,data_band_w4_k5,q2_optimization/data_band/case_006/n5/data_band_w4_k5/case_006_multicore_res.json,q2_optimization/data_band/case_006/n5/data_band_w4_k5/result.json.gz
case_007,2,1012562,507494,490814,2.063025912056298,2933760,27648,2906112,451584,129024,band_w4_k2_trimmed,q2_optimization/transfer/case_007/n2/band_w4_k2_trimmed/case_007_multicore_res.json,q2_optimization/transfer/case_007/n2/band_w4_k2_trimmed/result.json.gz
case_007,3,1012562,338094,326994,3.096576695596861,2709504,55296,2654208,308736,129024,band_w4_k3_trimmed,q2_optimization/transfer/case_007/n3/band_w4_k3_trimmed/case_007_multicore_res.json,q2_optimization/transfer/case_007/n3/band_w4_k3_trimmed/result.json.gz
case_007,4,1012562,254398,246058,4.115135455868129,2485248,82944,2402304,238080,129024,band_w4_k4_trimmed,q2_optimization/transfer/case_007/n4/band_w4_k4_trimmed/case_007_multicore_res.json,q2_optimization/transfer/case_007/n4/band_w4_k4_trimmed/result.json.gz
case_007,5,1012562,203834,197052,5.1385522603170735,2260992,110592,2150400,195072,129024,band_w4_k5,q2_optimization/band/case_007/n5/band_w4_k5/case_007_multicore_res.json,q2_optimization/band/case_007/n5/band_w4_k5/result.json.gz
case_008,2,487605,244266,136244,3.5789098969495905,3538944,0,3538944,30720,129216,band_w4_k2_trimmed,q2_optimization/transfer/case_008/n2/band_w4_k2_trimmed/case_008_multicore_res.json,q2_optimization/transfer/case_008/n2/band_w4_k2_trimmed/result.json.gz
case_008,3,487605,163359,110229,4.4235636719919444,3317760,0,3317760,30720,129216,band_w4_k3_trimmed,q2_optimization/transfer/case_008/n3/band_w4_k3_trimmed/case_008_multicore_res.json,q2_optimization/transfer/case_008/n3/band_w4_k3_trimmed/result.json.gz
case_008,4,487605,123060,104264,4.676638149313281,3096576,0,3096576,30720,129216,band_w4_k4_trimmed,q2_optimization/transfer/case_008/n4/band_w4_k4_trimmed/case_008_multicore_res.json,q2_optimization/transfer/case_008/n4/band_w4_k4_trimmed/result.json.gz
case_008,5,487605,100603,97488,5.001692516001969,2875392,0,2875392,30720,129216,band_w4_k5,q2_optimization/band/case_008/n5/band_w4_k5/case_008_multicore_res.json,q2_optimization/band/case_008/n5/band_w4_k5/result.json.gz
